loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.04959322,50,18712,1720542167,checkpoint_000000,True,False,1,bf57ecc8,2024-07-09_18-22-47,110.00550937652588,110.00550937652588,863190,lsrosaDiag,10.10.158.167,110.00550937652588,1
0.041864023,100,18712,1720542276,checkpoint_000001,True,False,2,bf57ecc8,2024-07-09_18-24-36,108.74822950363159,218.75373888015747,863190,lsrosaDiag,10.10.158.167,218.75373888015747,2
0.036830366,150,18712,1720542386,checkpoint_000002,True,False,3,bf57ecc8,2024-07-09_18-26-26,109.93241143226624,328.6861503124237,863190,lsrosaDiag,10.10.158.167,328.6861503124237,3
0.031082373,200,18712,1720542494,checkpoint_000003,True,False,4,bf57ecc8,2024-07-09_18-28-14,108.10647535324097,436.7926256656647,863190,lsrosaDiag,10.10.158.167,436.7926256656647,4
0.023216913,250,18712,1720542603,checkpoint_000004,True,False,5,bf57ecc8,2024-07-09_18-30-03,109.5069830417633,546.299608707428,863190,lsrosaDiag,10.10.158.167,546.299608707428,5
0.018068409,300,18712,1720542712,checkpoint_000005,True,False,6,bf57ecc8,2024-07-09_18-31-52,108.37291145324707,654.672520160675,863190,lsrosaDiag,10.10.158.167,654.672520160675,6
0.014778024,350,18712,1720542823,checkpoint_000006,True,False,7,bf57ecc8,2024-07-09_18-33-43,111.1457633972168,765.8182835578918,863190,lsrosaDiag,10.10.158.167,765.8182835578918,7
0.012360906,400,18712,1720542932,checkpoint_000007,True,False,8,bf57ecc8,2024-07-09_18-35-32,109.64307236671448,875.4613559246063,863190,lsrosaDiag,10.10.158.167,875.4613559246063,8
0.010312334,450,18712,1720543039,checkpoint_000008,True,False,9,bf57ecc8,2024-07-09_18-37-19,106.4915726184845,981.9529285430908,863190,lsrosaDiag,10.10.158.167,981.9529285430908,9
0.009411036,500,18712,1720543149,checkpoint_000009,True,False,10,bf57ecc8,2024-07-09_18-39-09,110.42127513885498,1092.3742036819458,863190,lsrosaDiag,10.10.158.167,1092.3742036819458,10
0.008718724,550,18712,1720543259,checkpoint_000010,True,False,11,bf57ecc8,2024-07-09_18-40-59,109.61741423606873,1201.9916179180145,863190,lsrosaDiag,10.10.158.167,1201.9916179180145,11
0.00732228,600,18712,1720543368,checkpoint_000011,True,False,12,bf57ecc8,2024-07-09_18-42-48,109.48714900016785,1311.4787669181824,863190,lsrosaDiag,10.10.158.167,1311.4787669181824,12
0.0070782453,650,18712,1720543478,checkpoint_000012,True,False,13,bf57ecc8,2024-07-09_18-44-38,109.64374732971191,1421.1225142478943,863190,lsrosaDiag,10.10.158.167,1421.1225142478943,13
0.006796194,700,18712,1720543586,checkpoint_000013,True,False,14,bf57ecc8,2024-07-09_18-46-26,108.24015545845032,1529.3626697063446,863190,lsrosaDiag,10.10.158.167,1529.3626697063446,14
0.006390805,750,18712,1720543697,checkpoint_000014,True,False,15,bf57ecc8,2024-07-09_18-48-17,110.92773246765137,1640.290402173996,863190,lsrosaDiag,10.10.158.167,1640.290402173996,15
0.005820541,800,18712,1720543803,checkpoint_000015,True,False,16,bf57ecc8,2024-07-09_18-50-03,106.12247490882874,1746.4128770828247,863190,lsrosaDiag,10.10.158.167,1746.4128770828247,16
0.005436127,850,18712,1720543914,checkpoint_000016,True,False,17,bf57ecc8,2024-07-09_18-51-54,110.19828963279724,1856.611166715622,863190,lsrosaDiag,10.10.158.167,1856.611166715622,17
0.0052798884,900,18712,1720544022,checkpoint_000017,True,False,18,bf57ecc8,2024-07-09_18-53-42,107.89771628379822,1964.5088829994202,863190,lsrosaDiag,10.10.158.167,1964.5088829994202,18
0.0051110247,950,18712,1720544131,checkpoint_000018,True,False,19,bf57ecc8,2024-07-09_18-55-31,109.12356615066528,2073.6324491500854,863190,lsrosaDiag,10.10.158.167,2073.6324491500854,19
0.0052362476,1000,18712,1720544238,checkpoint_000019,True,False,20,bf57ecc8,2024-07-09_18-57-18,107.47004389762878,2181.1024930477142,863190,lsrosaDiag,10.10.158.167,2181.1024930477142,20
0.0051893815,1050,18712,1720544348,checkpoint_000020,True,False,21,bf57ecc8,2024-07-09_18-59-08,110.0437343120575,2291.1462273597717,863190,lsrosaDiag,10.10.158.167,2291.1462273597717,21
0.005141384,1100,18712,1720544457,checkpoint_000021,True,False,22,bf57ecc8,2024-07-09_19-00-57,108.81054186820984,2399.9567692279816,863190,lsrosaDiag,10.10.158.167,2399.9567692279816,22
0.0048744725,1150,18712,1720544566,checkpoint_000022,True,False,23,bf57ecc8,2024-07-09_19-02-46,109.14495277404785,2509.1017220020294,863190,lsrosaDiag,10.10.158.167,2509.1017220020294,23
