loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.072516836,50,14244,1720420672,checkpoint_000000,True,False,1,0b35e7c4,2024-07-08_08-37-52,127.72617959976196,127.72617959976196,813227,lsrosaDiag,10.10.158.167,127.72617959976196,1
0.057934243,100,14244,1720420796,checkpoint_000001,True,False,2,0b35e7c4,2024-07-08_08-39-56,123.5557029247284,251.28188252449036,813227,lsrosaDiag,10.10.158.167,251.28188252449036,2
0.049581993,150,14244,1720420924,checkpoint_000002,True,False,3,0b35e7c4,2024-07-08_08-42-04,128.46379971504211,379.74568223953247,813227,lsrosaDiag,10.10.158.167,379.74568223953247,3
0.043873362,200,14244,1720421052,checkpoint_000003,True,False,4,0b35e7c4,2024-07-08_08-44-12,127.6433961391449,507.38907837867737,813227,lsrosaDiag,10.10.158.167,507.38907837867737,4
0.04054201,250,14244,1720421180,checkpoint_000004,True,False,5,0b35e7c4,2024-07-08_08-46-20,128.5685043334961,635.9575827121735,813227,lsrosaDiag,10.10.158.167,635.9575827121735,5
0.037749253,300,14244,1720421307,checkpoint_000005,True,False,6,0b35e7c4,2024-07-08_08-48-27,126.34243440628052,762.300017118454,813227,lsrosaDiag,10.10.158.167,762.300017118454,6
0.034372296,350,14244,1720421439,checkpoint_000006,True,False,7,0b35e7c4,2024-07-08_08-50-39,132.1152982711792,894.4153153896332,813227,lsrosaDiag,10.10.158.167,894.4153153896332,7
0.032615915,400,14244,1720421562,checkpoint_000007,True,False,8,0b35e7c4,2024-07-08_08-52-42,123.7922613620758,1018.207576751709,813227,lsrosaDiag,10.10.158.167,1018.207576751709,8
0.029917812,450,14244,1720421691,checkpoint_000008,True,False,9,0b35e7c4,2024-07-08_08-54-51,128.03725576400757,1146.2448325157166,813227,lsrosaDiag,10.10.158.167,1146.2448325157166,9
0.027836626,500,14244,1720421818,checkpoint_000009,True,False,10,0b35e7c4,2024-07-08_08-56-58,127.16227412223816,1273.4071066379547,813227,lsrosaDiag,10.10.158.167,1273.4071066379547,10
0.026277944,550,14244,1720421944,checkpoint_000010,True,False,11,0b35e7c4,2024-07-08_08-59-04,126.36853337287903,1399.7756400108337,813227,lsrosaDiag,10.10.158.167,1399.7756400108337,11
0.025155809,600,14244,1720422071,checkpoint_000011,True,False,12,0b35e7c4,2024-07-08_09-01-11,127.00198173522949,1526.7776217460632,813227,lsrosaDiag,10.10.158.167,1526.7776217460632,12
0.024061788,650,14244,1720422201,checkpoint_000012,True,False,13,0b35e7c4,2024-07-08_09-03-21,130.3976812362671,1657.1753029823303,813227,lsrosaDiag,10.10.158.167,1657.1753029823303,13
0.022909574,700,14244,1720422325,checkpoint_000013,True,False,14,0b35e7c4,2024-07-08_09-05-25,123.87240242958069,1781.047705411911,813227,lsrosaDiag,10.10.158.167,1781.047705411911,14
0.022182696,750,14244,1720422453,checkpoint_000014,True,False,15,0b35e7c4,2024-07-08_09-07-33,128.0078525543213,1909.0555579662323,813227,lsrosaDiag,10.10.158.167,1909.0555579662323,15
0.021174854,800,14244,1720422582,checkpoint_000015,True,False,16,0b35e7c4,2024-07-08_09-09-42,129.04407000541687,2038.0996279716492,813227,lsrosaDiag,10.10.158.167,2038.0996279716492,16
0.019767325,850,14244,1720422705,checkpoint_000016,True,False,17,0b35e7c4,2024-07-08_09-11-45,122.79973936080933,2160.8993673324585,813227,lsrosaDiag,10.10.158.167,2160.8993673324585,17
0.01931082,900,14244,1720422836,checkpoint_000017,True,False,18,0b35e7c4,2024-07-08_09-13-56,130.31129336357117,2291.2106606960297,813227,lsrosaDiag,10.10.158.167,2291.2106606960297,18
0.01869369,950,14244,1720422961,checkpoint_000018,True,False,19,0b35e7c4,2024-07-08_09-16-01,125.34864711761475,2416.5593078136444,813227,lsrosaDiag,10.10.158.167,2416.5593078136444,19
0.01778011,1000,14244,1720423091,checkpoint_000019,True,False,20,0b35e7c4,2024-07-08_09-18-11,129.73812294006348,2546.297430753708,813227,lsrosaDiag,10.10.158.167,2546.297430753708,20
0.017808113,1050,14244,1720423215,checkpoint_000020,True,False,21,0b35e7c4,2024-07-08_09-20-15,124.66512107849121,2670.962551832199,813227,lsrosaDiag,10.10.158.167,2670.962551832199,21
0.017099813,1100,14244,1720423342,checkpoint_000021,True,False,22,0b35e7c4,2024-07-08_09-22-22,126.9859528541565,2797.9485046863556,813227,lsrosaDiag,10.10.158.167,2797.9485046863556,22
0.016284674,1150,14244,1720423470,checkpoint_000022,True,False,23,0b35e7c4,2024-07-08_09-24-30,127.58232307434082,2925.5308277606964,813227,lsrosaDiag,10.10.158.167,2925.5308277606964,23
0.016492577,1200,14244,1720423593,checkpoint_000023,True,False,24,0b35e7c4,2024-07-08_09-26-33,123.0323052406311,3048.5631330013275,813227,lsrosaDiag,10.10.158.167,3048.5631330013275,24
0.01575914,1250,14244,1720423720,checkpoint_000024,True,False,25,0b35e7c4,2024-07-08_09-28-40,127.03552675247192,3175.5986597537994,813227,lsrosaDiag,10.10.158.167,3175.5986597537994,25
0.015653929,1300,14244,1720423848,checkpoint_000025,True,False,26,0b35e7c4,2024-07-08_09-30-48,128.17429876327515,3303.7729585170746,813227,lsrosaDiag,10.10.158.167,3303.7729585170746,26
0.015359948,1350,14244,1720423972,checkpoint_000026,True,False,27,0b35e7c4,2024-07-08_09-32-52,123.42661309242249,3427.199571609497,813227,lsrosaDiag,10.10.158.167,3427.199571609497,27
0.014462111,1400,14244,1720424099,checkpoint_000027,True,False,28,0b35e7c4,2024-07-08_09-34-59,127.82778668403625,3555.0273582935333,813227,lsrosaDiag,10.10.158.167,3555.0273582935333,28
0.014102253,1450,14244,1720424224,checkpoint_000028,True,False,29,0b35e7c4,2024-07-08_09-37-04,124.34928250312805,3679.3766407966614,813227,lsrosaDiag,10.10.158.167,3679.3766407966614,29
0.013577496,1500,14244,1720424350,checkpoint_000029,True,False,30,0b35e7c4,2024-07-08_09-39-10,125.8356339931488,3805.21227478981,813227,lsrosaDiag,10.10.158.167,3805.21227478981,30
