loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.36560246,50,852,1720384869,checkpoint_000000,True,False,1,e8e077c3,2024-07-07_22-41-09,116.52897477149963,116.52897477149963,799024,lsrosaDiag,10.10.158.167,116.52897477149963,1
0.23616901,100,852,1720384987,checkpoint_000001,True,False,2,e8e077c3,2024-07-07_22-43-07,117.48385381698608,234.01282858848572,799024,lsrosaDiag,10.10.158.167,234.01282858848572,2
0.19119957,150,852,1720385104,checkpoint_000002,True,False,3,e8e077c3,2024-07-07_22-45-04,117.45105242729187,351.4638810157776,799024,lsrosaDiag,10.10.158.167,351.4638810157776,3
0.15887348,200,852,1720385226,checkpoint_000003,True,False,4,e8e077c3,2024-07-07_22-47-06,122.04591393470764,473.50979495048523,799024,lsrosaDiag,10.10.158.167,473.50979495048523,4
0.1454591,250,852,1720385342,checkpoint_000004,True,False,5,e8e077c3,2024-07-07_22-49-02,116.17023253440857,589.6800274848938,799024,lsrosaDiag,10.10.158.167,589.6800274848938,5
0.13142782,300,852,1720385459,checkpoint_000005,True,False,6,e8e077c3,2024-07-07_22-50-59,116.8282196521759,706.5082471370697,799024,lsrosaDiag,10.10.158.167,706.5082471370697,6
0.12226854,350,852,1720385577,checkpoint_000006,True,False,7,e8e077c3,2024-07-07_22-52-57,117.99673676490784,824.5049839019775,799024,lsrosaDiag,10.10.158.167,824.5049839019775,7
0.1152405,400,852,1720385697,checkpoint_000007,True,False,8,e8e077c3,2024-07-07_22-54-57,120.20173406600952,944.7067179679871,799024,lsrosaDiag,10.10.158.167,944.7067179679871,8
0.110210225,450,852,1720385815,checkpoint_000008,True,False,9,e8e077c3,2024-07-07_22-56-55,118.0301423072815,1062.7368602752686,799024,lsrosaDiag,10.10.158.167,1062.7368602752686,9
0.10580741,500,852,1720385933,checkpoint_000009,True,False,10,e8e077c3,2024-07-07_22-58-53,117.28571391105652,1180.022574186325,799024,lsrosaDiag,10.10.158.167,1180.022574186325,10
0.10085521,550,852,1720386051,checkpoint_000010,True,False,11,e8e077c3,2024-07-07_23-00-51,118.45782494544983,1298.480399131775,799024,lsrosaDiag,10.10.158.167,1298.480399131775,11
0.098478094,600,852,1720386173,checkpoint_000011,True,False,12,e8e077c3,2024-07-07_23-02-53,122.14549660682678,1420.6258957386017,799024,lsrosaDiag,10.10.158.167,1420.6258957386017,12
0.09580908,650,852,1720386288,checkpoint_000012,True,False,13,e8e077c3,2024-07-07_23-04-48,114.79346060752869,1535.4193563461304,799024,lsrosaDiag,10.10.158.167,1535.4193563461304,13
0.09505288,700,852,1720386406,checkpoint_000013,True,False,14,e8e077c3,2024-07-07_23-06-46,117.95066714286804,1653.3700234889984,799024,lsrosaDiag,10.10.158.167,1653.3700234889984,14
0.09126051,750,852,1720386526,checkpoint_000014,True,False,15,e8e077c3,2024-07-07_23-08-46,119.46403741836548,1772.834060907364,799024,lsrosaDiag,10.10.158.167,1772.834060907364,15
0.08832775,800,852,1720386641,checkpoint_000015,True,False,16,e8e077c3,2024-07-07_23-10-41,115.36910963058472,1888.2031705379486,799024,lsrosaDiag,10.10.158.167,1888.2031705379486,16
0.08777746,850,852,1720386763,checkpoint_000016,True,False,17,e8e077c3,2024-07-07_23-12-43,121.73672080039978,2009.9398913383484,799024,lsrosaDiag,10.10.158.167,2009.9398913383484,17
0.08565431,900,852,1720386879,checkpoint_000017,True,False,18,e8e077c3,2024-07-07_23-14-39,116.71247744560242,2126.652368783951,799024,lsrosaDiag,10.10.158.167,2126.652368783951,18
0.08608191,950,852,1720386998,checkpoint_000018,True,False,19,e8e077c3,2024-07-07_23-16-38,118.47169017791748,2245.1240589618683,799024,lsrosaDiag,10.10.158.167,2245.1240589618683,19
0.08330153,1000,852,1720387118,checkpoint_000019,True,False,20,e8e077c3,2024-07-07_23-18-38,120.34731245040894,2365.471371412277,799024,lsrosaDiag,10.10.158.167,2365.471371412277,20
0.082406804,1050,852,1720387234,checkpoint_000020,True,False,21,e8e077c3,2024-07-07_23-20-34,115.59576630592346,2481.0671377182007,799024,lsrosaDiag,10.10.158.167,2481.0671377182007,21
0.08099586,1100,852,1720387353,checkpoint_000021,True,False,22,e8e077c3,2024-07-07_23-22-33,119.46963238716125,2600.536770105362,799024,lsrosaDiag,10.10.158.167,2600.536770105362,22
0.08143321,1150,852,1720387473,checkpoint_000022,True,False,23,e8e077c3,2024-07-07_23-24-33,119.47299337387085,2720.009763479233,799024,lsrosaDiag,10.10.158.167,2720.009763479233,23
0.07948896,1200,852,1720387589,checkpoint_000023,True,False,24,e8e077c3,2024-07-07_23-26-29,115.8244092464447,2835.8341727256775,799024,lsrosaDiag,10.10.158.167,2835.8341727256775,24
0.079508886,1250,852,1720387707,checkpoint_000024,True,False,25,e8e077c3,2024-07-07_23-28-27,118.87147283554077,2954.7056455612183,799024,lsrosaDiag,10.10.158.167,2954.7056455612183,25
0.07720219,1300,852,1720387827,checkpoint_000025,True,False,26,e8e077c3,2024-07-07_23-30-27,119.25279355049133,3073.9584391117096,799024,lsrosaDiag,10.10.158.167,3073.9584391117096,26
0.077004455,1350,852,1720387945,checkpoint_000026,True,False,27,e8e077c3,2024-07-07_23-32-25,118.02969455718994,3191.9881336688995,799024,lsrosaDiag,10.10.158.167,3191.9881336688995,27
0.07492191,1400,852,1720388065,checkpoint_000027,True,False,28,e8e077c3,2024-07-07_23-34-25,119.9898853302002,3311.9780189990997,799024,lsrosaDiag,10.10.158.167,3311.9780189990997,28
0.076136515,1450,852,1720388182,checkpoint_000028,True,False,29,e8e077c3,2024-07-07_23-36-22,117.6880853176117,3429.6661043167114,799024,lsrosaDiag,10.10.158.167,3429.6661043167114,29
0.0747994,1500,852,1720388298,checkpoint_000029,True,False,30,e8e077c3,2024-07-07_23-38-18,115.72952485084534,3545.3956291675568,799024,lsrosaDiag,10.10.158.167,3545.3956291675568,30
0.07530847,1550,852,1720388417,checkpoint_000030,True,False,31,e8e077c3,2024-07-07_23-40-17,118.95263242721558,3664.3482615947723,799024,lsrosaDiag,10.10.158.167,3664.3482615947723,31
0.07352109,1600,852,1720388535,checkpoint_000031,True,False,32,e8e077c3,2024-07-07_23-42-15,118.13887143135071,3782.487133026123,799024,lsrosaDiag,10.10.158.167,3782.487133026123,32
0.07254419,1650,852,1720388654,checkpoint_000032,True,False,33,e8e077c3,2024-07-07_23-44-14,119.00943398475647,3901.4965670108795,799024,lsrosaDiag,10.10.158.167,3901.4965670108795,33
0.072740406,1700,852,1720388771,checkpoint_000033,True,False,34,e8e077c3,2024-07-07_23-46-11,116.65242385864258,4018.148990869522,799024,lsrosaDiag,10.10.158.167,4018.148990869522,34
0.071081966,1750,852,1720388888,checkpoint_000034,True,False,35,e8e077c3,2024-07-07_23-48-08,117.18872904777527,4135.337719917297,799024,lsrosaDiag,10.10.158.167,4135.337719917297,35
0.07236791,1800,852,1720389006,checkpoint_000035,True,False,36,e8e077c3,2024-07-07_23-50-06,118.0933289527893,4253.431048870087,799024,lsrosaDiag,10.10.158.167,4253.431048870087,36
0.07114105,1850,852,1720389125,checkpoint_000036,True,False,37,e8e077c3,2024-07-07_23-52-05,118.33628869056702,4371.767337560654,799024,lsrosaDiag,10.10.158.167,4371.767337560654,37
0.07180883,1900,852,1720389243,checkpoint_000037,True,False,38,e8e077c3,2024-07-07_23-54-03,118.06749224662781,4489.8348298072815,799024,lsrosaDiag,10.10.158.167,4489.8348298072815,38
