loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.32526055,50,761,1719825221,checkpoint_000000,True,False,1,31c6170a,2024-07-01_11-13-41,105.23388314247131,105.23388314247131,565895,lsrosaDiag,10.10.158.167,105.23388314247131,1
0.18879913,100,761,1719825327,checkpoint_000001,True,False,2,31c6170a,2024-07-01_11-15-27,105.31863164901733,210.55251479148865,565895,lsrosaDiag,10.10.158.167,210.55251479148865,2
0.14538427,150,761,1719825433,checkpoint_000002,True,False,3,31c6170a,2024-07-01_11-17-13,106.43503522872925,316.9875500202179,565895,lsrosaDiag,10.10.158.167,316.9875500202179,3
0.12841126,200,761,1719825538,checkpoint_000003,True,False,4,31c6170a,2024-07-01_11-18-58,105.03236413002014,422.01991415023804,565895,lsrosaDiag,10.10.158.167,422.01991415023804,4
0.11841828,250,761,1719825642,checkpoint_000004,True,False,5,31c6170a,2024-07-01_11-20-42,104.27649164199829,526.2964057922363,565895,lsrosaDiag,10.10.158.167,526.2964057922363,5
0.11243001,300,761,1719825746,checkpoint_000005,True,False,6,31c6170a,2024-07-01_11-22-26,104.09144353866577,630.3878493309021,565895,lsrosaDiag,10.10.158.167,630.3878493309021,6
0.10668434,350,761,1719825850,checkpoint_000006,True,False,7,31c6170a,2024-07-01_11-24-10,103.30605864524841,733.6939079761505,565895,lsrosaDiag,10.10.158.167,733.6939079761505,7
0.103879586,400,761,1719825955,checkpoint_000007,True,False,8,31c6170a,2024-07-01_11-25-55,104.76866364479065,838.4625716209412,565895,lsrosaDiag,10.10.158.167,838.4625716209412,8
0.09982383,450,761,1719826058,checkpoint_000008,True,False,9,31c6170a,2024-07-01_11-27-38,103.31124591827393,941.7738175392151,565895,lsrosaDiag,10.10.158.167,941.7738175392151,9
0.09686248,500,761,1719826161,checkpoint_000009,True,False,10,31c6170a,2024-07-01_11-29-21,103.66887021064758,1045.4426877498627,565895,lsrosaDiag,10.10.158.167,1045.4426877498627,10
0.09493284,550,761,1719826267,checkpoint_000010,True,False,11,31c6170a,2024-07-01_11-31-07,105.08002805709839,1150.522715806961,565895,lsrosaDiag,10.10.158.167,1150.522715806961,11
0.09290493,600,761,1719826372,checkpoint_000011,True,False,12,31c6170a,2024-07-01_11-32-52,105.36135363578796,1255.884069442749,565895,lsrosaDiag,10.10.158.167,1255.884069442749,12
0.09157761,650,761,1719826476,checkpoint_000012,True,False,13,31c6170a,2024-07-01_11-34-36,103.72174096107483,1359.6058104038239,565895,lsrosaDiag,10.10.158.167,1359.6058104038239,13
0.090718664,700,761,1719826580,checkpoint_000013,True,False,14,31c6170a,2024-07-01_11-36-20,104.20728635787964,1463.8130967617035,565895,lsrosaDiag,10.10.158.167,1463.8130967617035,14
0.08688165,750,761,1719826683,checkpoint_000014,True,False,15,31c6170a,2024-07-01_11-38-03,103.1499297618866,1566.96302652359,565895,lsrosaDiag,10.10.158.167,1566.96302652359,15
0.08743712,800,761,1719826787,checkpoint_000015,True,False,16,31c6170a,2024-07-01_11-39-47,103.75316858291626,1670.7161951065063,565895,lsrosaDiag,10.10.158.167,1670.7161951065063,16
0.08552449,850,761,1719826891,checkpoint_000016,True,False,17,31c6170a,2024-07-01_11-41-31,104.15980076789856,1774.875995874405,565895,lsrosaDiag,10.10.158.167,1774.875995874405,17
0.08396318,900,761,1719826995,checkpoint_000017,True,False,18,31c6170a,2024-07-01_11-43-15,104.03664374351501,1878.91263961792,565895,lsrosaDiag,10.10.158.167,1878.91263961792,18
0.08378672,950,761,1719827099,checkpoint_000018,True,False,19,31c6170a,2024-07-01_11-44-59,103.62180948257446,1982.5344491004944,565895,lsrosaDiag,10.10.158.167,1982.5344491004944,19
0.084059834,1000,761,1719827204,checkpoint_000019,True,False,20,31c6170a,2024-07-01_11-46-44,105.20314335823059,2087.737592458725,565895,lsrosaDiag,10.10.158.167,2087.737592458725,20
0.08357403,1050,761,1719827308,checkpoint_000020,True,False,21,31c6170a,2024-07-01_11-48-28,104.48983979225159,2192.2274322509766,565895,lsrosaDiag,10.10.158.167,2192.2274322509766,21
0.08026111,1100,761,1719827413,checkpoint_000021,True,False,22,31c6170a,2024-07-01_11-50-13,104.53434753417969,2296.7617797851562,565895,lsrosaDiag,10.10.158.167,2296.7617797851562,22
0.080492586,1150,761,1719827518,checkpoint_000022,True,False,23,31c6170a,2024-07-01_11-51-58,105.46931886672974,2402.231098651886,565895,lsrosaDiag,10.10.158.167,2402.231098651886,23
0.079336934,1200,761,1719827623,checkpoint_000023,True,False,24,31c6170a,2024-07-01_11-53-43,104.61476063728333,2506.8458592891693,565895,lsrosaDiag,10.10.158.167,2506.8458592891693,24
0.078922644,1250,761,1719827728,checkpoint_000024,True,False,25,31c6170a,2024-07-01_11-55-28,104.87911343574524,2611.7249727249146,565895,lsrosaDiag,10.10.158.167,2611.7249727249146,25
0.079259455,1300,761,1719827832,checkpoint_000025,True,False,26,31c6170a,2024-07-01_11-57-12,104.09613490104675,2715.8211076259613,565895,lsrosaDiag,10.10.158.167,2715.8211076259613,26
0.07739714,1350,761,1719827936,checkpoint_000026,True,False,27,31c6170a,2024-07-01_11-58-56,104.01865673065186,2819.839764356613,565895,lsrosaDiag,10.10.158.167,2819.839764356613,27
0.07734762,1400,761,1719828040,checkpoint_000027,True,False,28,31c6170a,2024-07-01_12-00-40,103.55475759506226,2923.3945219516754,565895,lsrosaDiag,10.10.158.167,2923.3945219516754,28
0.07691451,1450,761,1719828143,checkpoint_000028,True,False,29,31c6170a,2024-07-01_12-02-23,103.5964560508728,3026.990978002548,565895,lsrosaDiag,10.10.158.167,3026.990978002548,29
0.07734917,1500,761,1719828247,checkpoint_000029,True,False,30,31c6170a,2024-07-01_12-04-07,104.35759377479553,3131.3485717773438,565895,lsrosaDiag,10.10.158.167,3131.3485717773438,30
0.07569764,1550,761,1719828351,checkpoint_000030,True,False,31,31c6170a,2024-07-01_12-05-51,103.76534104347229,3235.113912820816,565895,lsrosaDiag,10.10.158.167,3235.113912820816,31
0.07632892,1600,761,1719828455,checkpoint_000031,True,False,32,31c6170a,2024-07-01_12-07-35,103.60831236839294,3338.722225189209,565895,lsrosaDiag,10.10.158.167,3338.722225189209,32
0.07559617,1650,761,1719828561,checkpoint_000032,True,False,33,31c6170a,2024-07-01_12-09-21,106.0527617931366,3444.7749869823456,565895,lsrosaDiag,10.10.158.167,3444.7749869823456,33
0.07377161,1700,761,1719828667,checkpoint_000033,True,False,34,31c6170a,2024-07-01_12-11-07,105.80236101150513,3550.5773479938507,565895,lsrosaDiag,10.10.158.167,3550.5773479938507,34
0.073380396,1750,761,1719828771,checkpoint_000034,True,False,35,31c6170a,2024-07-01_12-12-51,104.23646092414856,3654.8138089179993,565895,lsrosaDiag,10.10.158.167,3654.8138089179993,35
0.0737336,1800,761,1719828875,checkpoint_000035,True,False,36,31c6170a,2024-07-01_12-14-35,103.77723264694214,3758.5910415649414,565895,lsrosaDiag,10.10.158.167,3758.5910415649414,36
0.072578184,1850,761,1719828979,checkpoint_000036,True,False,37,31c6170a,2024-07-01_12-16-19,104.19670462608337,3862.787746191025,565895,lsrosaDiag,10.10.158.167,3862.787746191025,37
0.07265032,1900,761,1719829085,checkpoint_000037,True,False,38,31c6170a,2024-07-01_12-18-05,105.6606810092926,3968.4484272003174,565895,lsrosaDiag,10.10.158.167,3968.4484272003174,38
0.07244958,1950,761,1719829190,checkpoint_000038,True,False,39,31c6170a,2024-07-01_12-19-50,104.90457844734192,4073.3530056476593,565895,lsrosaDiag,10.10.158.167,4073.3530056476593,39
0.07132091,2000,761,1719829295,checkpoint_000039,True,False,40,31c6170a,2024-07-01_12-21-35,105.4974012374878,4178.850406885147,565895,lsrosaDiag,10.10.158.167,4178.850406885147,40
