loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.19022313,50,761,1719887603,checkpoint_000000,True,False,1,3fb4410b,2024-07-02_04-33-23,103.6708493232727,103.6708493232727,591160,lsrosaDiag,10.10.158.167,103.6708493232727,1
0.12958851,100,761,1719887706,checkpoint_000001,True,False,2,3fb4410b,2024-07-02_04-35-06,103.1569995880127,206.8278489112854,591160,lsrosaDiag,10.10.158.167,206.8278489112854,2
0.112099364,150,761,1719887806,checkpoint_000002,True,False,3,3fb4410b,2024-07-02_04-36-46,100.19052052497864,307.01836943626404,591160,lsrosaDiag,10.10.158.167,307.01836943626404,3
0.099807665,200,761,1719887908,checkpoint_000003,True,False,4,3fb4410b,2024-07-02_04-38-28,101.88817930221558,408.9065487384796,591160,lsrosaDiag,10.10.158.167,408.9065487384796,4
0.09537756,250,761,1719888010,checkpoint_000004,True,False,5,3fb4410b,2024-07-02_04-40-10,101.31581449508667,510.2223632335663,591160,lsrosaDiag,10.10.158.167,510.2223632335663,5
0.08903599,300,761,1719888113,checkpoint_000005,True,False,6,3fb4410b,2024-07-02_04-41-53,103.22169756889343,613.4440608024597,591160,lsrosaDiag,10.10.158.167,613.4440608024597,6
0.08656607,350,761,1719888214,checkpoint_000006,True,False,7,3fb4410b,2024-07-02_04-43-34,100.82483506202698,714.2688958644867,591160,lsrosaDiag,10.10.158.167,714.2688958644867,7
0.08448945,400,761,1719888316,checkpoint_000007,True,False,8,3fb4410b,2024-07-02_04-45-16,102.22812080383301,816.4970166683197,591160,lsrosaDiag,10.10.158.167,816.4970166683197,8
0.08217138,450,761,1719888416,checkpoint_000008,True,False,9,3fb4410b,2024-07-02_04-46-56,100.6759467124939,917.1729633808136,591160,lsrosaDiag,10.10.158.167,917.1729633808136,9
0.07984,500,761,1719888518,checkpoint_000009,True,False,10,3fb4410b,2024-07-02_04-48-38,102.02371263504028,1019.1966760158539,591160,lsrosaDiag,10.10.158.167,1019.1966760158539,10
0.07766067,550,761,1719888622,checkpoint_000010,True,False,11,3fb4410b,2024-07-02_04-50-22,103.8923544883728,1123.0890305042267,591160,lsrosaDiag,10.10.158.167,1123.0890305042267,11
0.07555399,600,761,1719888726,checkpoint_000011,True,False,12,3fb4410b,2024-07-02_04-52-06,103.18897104263306,1226.2780015468597,591160,lsrosaDiag,10.10.158.167,1226.2780015468597,12
0.07457088,650,761,1719888825,checkpoint_000012,True,False,13,3fb4410b,2024-07-02_04-53-45,99.76333618164062,1326.0413377285004,591160,lsrosaDiag,10.10.158.167,1326.0413377285004,13
0.07368083,700,761,1719888927,checkpoint_000013,True,False,14,3fb4410b,2024-07-02_04-55-27,101.56727004051208,1427.6086077690125,591160,lsrosaDiag,10.10.158.167,1427.6086077690125,14
0.07256585,750,761,1719889030,checkpoint_000014,True,False,15,3fb4410b,2024-07-02_04-57-10,102.75421619415283,1530.3628239631653,591160,lsrosaDiag,10.10.158.167,1530.3628239631653,15
0.07165913,800,761,1719889132,checkpoint_000015,True,False,16,3fb4410b,2024-07-02_04-58-52,102.03569102287292,1632.3985149860382,591160,lsrosaDiag,10.10.158.167,1632.3985149860382,16
0.071316674,850,761,1719889234,checkpoint_000016,True,False,17,3fb4410b,2024-07-02_05-00-34,102.7624683380127,1735.160983324051,591160,lsrosaDiag,10.10.158.167,1735.160983324051,17
0.070463456,900,761,1719889337,checkpoint_000017,True,False,18,3fb4410b,2024-07-02_05-02-17,102.89814043045044,1838.0591237545013,591160,lsrosaDiag,10.10.158.167,1838.0591237545013,18
0.069750845,950,761,1719889439,checkpoint_000018,True,False,19,3fb4410b,2024-07-02_05-03-59,101.48158431053162,1939.540708065033,591160,lsrosaDiag,10.10.158.167,1939.540708065033,19
0.0675544,1000,761,1719889540,checkpoint_000019,True,True,20,3fb4410b,2024-07-02_05-05-40,101.28252053260803,2040.823228597641,591160,lsrosaDiag,10.10.158.167,2040.823228597641,20
