loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.2338542,50,257,1719866181,checkpoint_000000,True,False,1,84699b52,2024-07-01_22-36-21,105.36884427070618,105.36884427070618,582765,lsrosaDiag,10.10.158.167,105.36884427070618,1
0.13694343,100,257,1719866285,checkpoint_000001,True,False,2,84699b52,2024-07-01_22-38-05,103.86620783805847,209.23505210876465,582765,lsrosaDiag,10.10.158.167,209.23505210876465,2
0.113794066,150,257,1719866387,checkpoint_000002,True,False,3,84699b52,2024-07-01_22-39-47,102.41395044326782,311.64900255203247,582765,lsrosaDiag,10.10.158.167,311.64900255203247,3
0.10343508,200,257,1719866491,checkpoint_000003,True,False,4,84699b52,2024-07-01_22-41-31,103.16916227340698,414.81816482543945,582765,lsrosaDiag,10.10.158.167,414.81816482543945,4
0.09741552,250,257,1719866593,checkpoint_000004,True,False,5,84699b52,2024-07-01_22-43-13,102.81684589385986,517.6350107192993,582765,lsrosaDiag,10.10.158.167,517.6350107192993,5
0.09260681,300,257,1719866696,checkpoint_000005,True,False,6,84699b52,2024-07-01_22-44-56,102.97588610649109,620.6108968257904,582765,lsrosaDiag,10.10.158.167,620.6108968257904,6
0.091070086,350,257,1719866800,checkpoint_000006,True,False,7,84699b52,2024-07-01_22-46-40,103.99619436264038,724.6070911884308,582765,lsrosaDiag,10.10.158.167,724.6070911884308,7
0.08916521,400,257,1719866904,checkpoint_000007,True,False,8,84699b52,2024-07-01_22-48-24,103.47783088684082,828.0849220752716,582765,lsrosaDiag,10.10.158.167,828.0849220752716,8
0.08791495,450,257,1719867007,checkpoint_000008,True,False,9,84699b52,2024-07-01_22-50-07,103.20014691352844,931.2850689888,582765,lsrosaDiag,10.10.158.167,931.2850689888,9
0.08752846,500,257,1719867111,checkpoint_000009,True,False,10,84699b52,2024-07-01_22-51-51,104.18106150627136,1035.4661304950714,582765,lsrosaDiag,10.10.158.167,1035.4661304950714,10
0.08487517,550,257,1719867212,checkpoint_000010,True,False,11,84699b52,2024-07-01_22-53-32,100.9558174610138,1136.4219479560852,582765,lsrosaDiag,10.10.158.167,1136.4219479560852,11
0.08408698,600,257,1719867316,checkpoint_000011,True,False,12,84699b52,2024-07-01_22-55-16,103.65317797660828,1240.0751259326935,582765,lsrosaDiag,10.10.158.167,1240.0751259326935,12
0.08422659,650,257,1719867419,checkpoint_000012,True,False,13,84699b52,2024-07-01_22-56-59,103.2479920387268,1343.3231179714203,582765,lsrosaDiag,10.10.158.167,1343.3231179714203,13
0.08299051,700,257,1719867523,checkpoint_000013,True,False,14,84699b52,2024-07-01_22-58-43,103.68906784057617,1447.0121858119965,582765,lsrosaDiag,10.10.158.167,1447.0121858119965,14
0.08271219,750,257,1719867627,checkpoint_000014,True,False,15,84699b52,2024-07-01_23-00-27,103.6882574558258,1550.7004432678223,582765,lsrosaDiag,10.10.158.167,1550.7004432678223,15
0.08198756,800,257,1719867730,checkpoint_000015,True,False,16,84699b52,2024-07-01_23-02-10,103.52772665023804,1654.2281699180603,582765,lsrosaDiag,10.10.158.167,1654.2281699180603,16
0.08131195,850,257,1719867834,checkpoint_000016,True,False,17,84699b52,2024-07-01_23-03-54,103.85229420661926,1758.0804641246796,582765,lsrosaDiag,10.10.158.167,1758.0804641246796,17
0.08176914,900,257,1719867939,checkpoint_000017,True,False,18,84699b52,2024-07-01_23-05-39,105.50178956985474,1863.5822536945343,582765,lsrosaDiag,10.10.158.167,1863.5822536945343,18
0.08055165,950,257,1719868042,checkpoint_000018,True,False,19,84699b52,2024-07-01_23-07-22,102.80318450927734,1966.3854382038116,582765,lsrosaDiag,10.10.158.167,1966.3854382038116,19
0.080154285,1000,257,1719868146,checkpoint_000019,True,True,20,84699b52,2024-07-01_23-09-06,104.11736917495728,2070.502807378769,582765,lsrosaDiag,10.10.158.167,2070.502807378769,20
