loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.18480292,50,1644,1719813359,checkpoint_000000,True,False,1,0019bb67,2024-07-01_07-55-59,109.92639231681824,109.92639231681824,561216,lsrosaDiag,10.10.158.167,109.92639231681824,1
0.1587681,100,1644,1719813467,checkpoint_000001,True,False,2,0019bb67,2024-07-01_07-57-47,108.09039640426636,218.0167887210846,561216,lsrosaDiag,10.10.158.167,218.0167887210846,2
0.15051797,150,1644,1719813576,checkpoint_000002,True,False,3,0019bb67,2024-07-01_07-59-36,108.53319525718689,326.5499839782715,561216,lsrosaDiag,10.10.158.167,326.5499839782715,3
0.14466262,200,1644,1719813687,checkpoint_000003,True,False,4,0019bb67,2024-07-01_08-01-27,111.23076820373535,437.78075218200684,561216,lsrosaDiag,10.10.158.167,437.78075218200684,4
0.14134851,250,1644,1719813796,checkpoint_000004,True,False,5,0019bb67,2024-07-01_08-03-16,109.08979201316833,546.8705441951752,561216,lsrosaDiag,10.10.158.167,546.8705441951752,5
0.13873756,300,1644,1719813905,checkpoint_000005,True,False,6,0019bb67,2024-07-01_08-05-05,108.70852589607239,655.5790700912476,561216,lsrosaDiag,10.10.158.167,655.5790700912476,6
0.13831535,350,1644,1719814012,checkpoint_000006,True,False,7,0019bb67,2024-07-01_08-06-52,106.8048312664032,762.3839013576508,561216,lsrosaDiag,10.10.158.167,762.3839013576508,7
0.13611673,400,1644,1719814120,checkpoint_000007,True,False,8,0019bb67,2024-07-01_08-08-40,108.36220645904541,870.7461078166962,561216,lsrosaDiag,10.10.158.167,870.7461078166962,8
0.13375601,450,1644,1719814230,checkpoint_000008,True,False,9,0019bb67,2024-07-01_08-10-30,110.00654602050781,980.752653837204,561216,lsrosaDiag,10.10.158.167,980.752653837204,9
0.13281871,500,1644,1719814341,checkpoint_000009,True,False,10,0019bb67,2024-07-01_08-12-21,110.44949960708618,1091.2021534442902,561216,lsrosaDiag,10.10.158.167,1091.2021534442902,10
0.1325495,550,1644,1719814451,checkpoint_000010,True,False,11,0019bb67,2024-07-01_08-14-11,109.96777176856995,1201.16992521286,561216,lsrosaDiag,10.10.158.167,1201.16992521286,11
0.13222332,600,1644,1719814559,checkpoint_000011,True,False,12,0019bb67,2024-07-01_08-15-59,108.75076270103455,1309.9206879138947,561216,lsrosaDiag,10.10.158.167,1309.9206879138947,12
0.12951067,650,1644,1719814670,checkpoint_000012,True,False,13,0019bb67,2024-07-01_08-17-50,110.13593101501465,1420.0566189289093,561216,lsrosaDiag,10.10.158.167,1420.0566189289093,13
0.1292282,700,1644,1719814779,checkpoint_000013,True,False,14,0019bb67,2024-07-01_08-19-39,109.44552183151245,1529.5021407604218,561216,lsrosaDiag,10.10.158.167,1529.5021407604218,14
0.12894471,750,1644,1719814889,checkpoint_000014,True,False,15,0019bb67,2024-07-01_08-21-29,110.2168447971344,1639.7189855575562,561216,lsrosaDiag,10.10.158.167,1639.7189855575562,15
0.1273792,800,1644,1719814997,checkpoint_000015,True,False,16,0019bb67,2024-07-01_08-23-17,108.21831512451172,1747.9373006820679,561216,lsrosaDiag,10.10.158.167,1747.9373006820679,16
0.12733509,850,1644,1719815108,checkpoint_000016,True,False,17,0019bb67,2024-07-01_08-25-08,110.31291270256042,1858.2502133846283,561216,lsrosaDiag,10.10.158.167,1858.2502133846283,17
0.12426905,900,1644,1719815218,checkpoint_000017,True,False,18,0019bb67,2024-07-01_08-26-58,110.2947928905487,1968.545006275177,561216,lsrosaDiag,10.10.158.167,1968.545006275177,18
0.12321776,950,1644,1719815328,checkpoint_000018,True,False,19,0019bb67,2024-07-01_08-28-48,109.46497869491577,2078.009984970093,561216,lsrosaDiag,10.10.158.167,2078.009984970093,19
0.122474946,1000,1644,1719815436,checkpoint_000019,True,True,20,0019bb67,2024-07-01_08-30-36,108.51883625984192,2186.5288212299347,561216,lsrosaDiag,10.10.158.167,2186.5288212299347,20
