loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.18779953,50,1644,1719817749,checkpoint_000000,True,False,1,c2f78267,2024-07-01_09-09-09,111.45957708358765,111.45957708358765,562946,lsrosaDiag,10.10.158.167,111.45957708358765,1
0.16203468,100,1644,1719817861,checkpoint_000001,True,False,2,c2f78267,2024-07-01_09-11-01,111.5318455696106,222.99142265319824,562946,lsrosaDiag,10.10.158.167,222.99142265319824,2
0.15017815,150,1644,1719817973,checkpoint_000002,True,False,3,c2f78267,2024-07-01_09-12-53,112.37185668945312,335.36327934265137,562946,lsrosaDiag,10.10.158.167,335.36327934265137,3
0.14699174,200,1644,1719818084,checkpoint_000003,True,False,4,c2f78267,2024-07-01_09-14-44,111.54675078392029,446.91003012657166,562946,lsrosaDiag,10.10.158.167,446.91003012657166,4
0.14220075,250,1644,1719818195,checkpoint_000004,True,False,5,c2f78267,2024-07-01_09-16-35,110.8144052028656,557.7244353294373,562946,lsrosaDiag,10.10.158.167,557.7244353294373,5
0.14049265,300,1644,1719818305,checkpoint_000005,True,False,6,c2f78267,2024-07-01_09-18-25,109.92818784713745,667.6526231765747,562946,lsrosaDiag,10.10.158.167,667.6526231765747,6
0.13781889,350,1644,1719818417,checkpoint_000006,True,False,7,c2f78267,2024-07-01_09-20-17,111.47227311134338,779.1248962879181,562946,lsrosaDiag,10.10.158.167,779.1248962879181,7
0.13582094,400,1644,1719818528,checkpoint_000007,True,False,8,c2f78267,2024-07-01_09-22-08,110.82479643821716,889.9496927261353,562946,lsrosaDiag,10.10.158.167,889.9496927261353,8
0.13380352,450,1644,1719818640,checkpoint_000008,True,False,9,c2f78267,2024-07-01_09-24-00,112.73328924179077,1002.682981967926,562946,lsrosaDiag,10.10.158.167,1002.682981967926,9
0.13264668,500,1644,1719818751,checkpoint_000009,True,False,10,c2f78267,2024-07-01_09-25-51,110.33086633682251,1113.0138483047485,562946,lsrosaDiag,10.10.158.167,1113.0138483047485,10
0.13220698,550,1644,1719818864,checkpoint_000010,True,False,11,c2f78267,2024-07-01_09-27-44,113.04975914955139,1226.0636074543,562946,lsrosaDiag,10.10.158.167,1226.0636074543,11
0.13021895,600,1644,1719818975,checkpoint_000011,True,False,12,c2f78267,2024-07-01_09-29-35,111.37352180480957,1337.4371292591095,562946,lsrosaDiag,10.10.158.167,1337.4371292591095,12
0.13051018,650,1644,1719819086,checkpoint_000012,True,False,13,c2f78267,2024-07-01_09-31-26,111.35882067680359,1448.795949935913,562946,lsrosaDiag,10.10.158.167,1448.795949935913,13
0.12894711,700,1644,1719819196,checkpoint_000013,True,False,14,c2f78267,2024-07-01_09-33-16,109.26268863677979,1558.0586385726929,562946,lsrosaDiag,10.10.158.167,1558.0586385726929,14
0.12781198,750,1644,1719819308,checkpoint_000014,True,False,15,c2f78267,2024-07-01_09-35-08,112.74674034118652,1670.8053789138794,562946,lsrosaDiag,10.10.158.167,1670.8053789138794,15
0.12756073,800,1644,1719819419,checkpoint_000015,True,False,16,c2f78267,2024-07-01_09-36-59,110.38746094703674,1781.1928398609161,562946,lsrosaDiag,10.10.158.167,1781.1928398609161,16
0.12603757,850,1644,1719819529,checkpoint_000016,True,False,17,c2f78267,2024-07-01_09-38-49,109.87699913978577,1891.069839000702,562946,lsrosaDiag,10.10.158.167,1891.069839000702,17
0.1271039,900,1644,1719819640,checkpoint_000017,True,False,18,c2f78267,2024-07-01_09-40-40,111.5362606048584,2002.6060996055603,562946,lsrosaDiag,10.10.158.167,2002.6060996055603,18
0.12374876,950,1644,1719819752,checkpoint_000018,True,False,19,c2f78267,2024-07-01_09-42-32,112.13064384460449,2114.736743450165,562946,lsrosaDiag,10.10.158.167,2114.736743450165,19
0.12229661,1000,1644,1719819865,checkpoint_000019,True,True,20,c2f78267,2024-07-01_09-44-25,112.5460638999939,2227.2828073501587,562946,lsrosaDiag,10.10.158.167,2227.2828073501587,20
