loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.19273953,50,22159,1719668888,checkpoint_000000,True,False,1,3c01f3d7,2024-06-29_15-48-08,121.60666561126709,121.60666561126709,503274,lsrosaDiag,10.10.158.167,121.60666561126709,1
0.17749092,100,22159,1719669010,checkpoint_000001,True,False,2,3c01f3d7,2024-06-29_15-50-10,122.38092422485352,243.9875898361206,503274,lsrosaDiag,10.10.158.167,243.9875898361206,2
0.16890663,150,22159,1719669128,checkpoint_000002,True,False,3,3c01f3d7,2024-06-29_15-52-08,117.7426061630249,361.7301959991455,503274,lsrosaDiag,10.10.158.167,361.7301959991455,3
0.16634662,200,22159,1719669247,checkpoint_000003,True,False,4,3c01f3d7,2024-06-29_15-54-07,118.78973269462585,480.51992869377136,503274,lsrosaDiag,10.10.158.167,480.51992869377136,4
0.16467299,250,22159,1719669367,checkpoint_000004,True,False,5,3c01f3d7,2024-06-29_15-56-07,120.38932609558105,600.9092547893524,503274,lsrosaDiag,10.10.158.167,600.9092547893524,5
0.16054209,300,22159,1719669486,checkpoint_000005,True,False,6,3c01f3d7,2024-06-29_15-58-06,118.64853572845459,719.557790517807,503274,lsrosaDiag,10.10.158.167,719.557790517807,6
0.15924594,350,22159,1719669609,checkpoint_000006,True,False,7,3c01f3d7,2024-06-29_16-00-09,123.1317994594574,842.6895899772644,503274,lsrosaDiag,10.10.158.167,842.6895899772644,7
0.15734217,400,22159,1719669727,checkpoint_000007,True,False,8,3c01f3d7,2024-06-29_16-02-07,118.52910017967224,961.2186901569366,503274,lsrosaDiag,10.10.158.167,961.2186901569366,8
0.15440619,450,22159,1719669846,checkpoint_000008,True,False,9,3c01f3d7,2024-06-29_16-04-06,118.430837392807,1079.6495275497437,503274,lsrosaDiag,10.10.158.167,1079.6495275497437,9
0.15313211,500,22159,1719669967,checkpoint_000009,True,False,10,3c01f3d7,2024-06-29_16-06-07,121.08481335639954,1200.7343409061432,503274,lsrosaDiag,10.10.158.167,1200.7343409061432,10
0.15024975,550,22159,1719670088,checkpoint_000010,True,False,11,3c01f3d7,2024-06-29_16-08-08,121.05917191505432,1321.7935128211975,503274,lsrosaDiag,10.10.158.167,1321.7935128211975,11
0.15164438,600,22159,1719670212,checkpoint_000011,True,False,12,3c01f3d7,2024-06-29_16-10-12,124.51105380058289,1446.3045666217804,503274,lsrosaDiag,10.10.158.167,1446.3045666217804,12
0.1474311,650,22159,1719670332,checkpoint_000012,True,False,13,3c01f3d7,2024-06-29_16-12-12,119.4357340335846,1565.740300655365,503274,lsrosaDiag,10.10.158.167,1565.740300655365,13
0.14580247,700,22159,1719670451,checkpoint_000013,True,False,14,3c01f3d7,2024-06-29_16-14-11,118.89623928070068,1684.6365399360657,503274,lsrosaDiag,10.10.158.167,1684.6365399360657,14
0.14262554,750,22159,1719670572,checkpoint_000014,True,False,15,3c01f3d7,2024-06-29_16-16-12,121.37552285194397,1806.0120627880096,503274,lsrosaDiag,10.10.158.167,1806.0120627880096,15
0.14125696,800,22159,1719670692,checkpoint_000015,True,False,16,3c01f3d7,2024-06-29_16-18-12,119.92945981025696,1925.9415225982666,503274,lsrosaDiag,10.10.158.167,1925.9415225982666,16
0.13945691,850,22159,1719670811,checkpoint_000016,True,False,17,3c01f3d7,2024-06-29_16-20-11,119.14522433280945,2045.086746931076,503274,lsrosaDiag,10.10.158.167,2045.086746931076,17
0.13639514,900,22159,1719670932,checkpoint_000017,True,False,18,3c01f3d7,2024-06-29_16-22-12,121.3500452041626,2166.4367921352386,503274,lsrosaDiag,10.10.158.167,2166.4367921352386,18
0.13663596,950,22159,1719671052,checkpoint_000018,True,False,19,3c01f3d7,2024-06-29_16-24-12,119.06755423545837,2285.504346370697,503274,lsrosaDiag,10.10.158.167,2285.504346370697,19
0.13262579,1000,22159,1719671175,checkpoint_000019,True,False,20,3c01f3d7,2024-06-29_16-26-15,123.51455569267273,2409.0189020633698,503274,lsrosaDiag,10.10.158.167,2409.0189020633698,20
0.13087916,1050,22159,1719671296,checkpoint_000020,True,False,21,3c01f3d7,2024-06-29_16-28-16,121.08700942993164,2530.1059114933014,503274,lsrosaDiag,10.10.158.167,2530.1059114933014,21
0.12562433,1100,22159,1719671417,checkpoint_000021,True,False,22,3c01f3d7,2024-06-29_16-30-17,121.26822280883789,2651.3741343021393,503274,lsrosaDiag,10.10.158.167,2651.3741343021393,22
0.12249832,1150,22159,1719671537,checkpoint_000022,True,False,23,3c01f3d7,2024-06-29_16-32-17,119.17481803894043,2770.5489523410797,503274,lsrosaDiag,10.10.158.167,2770.5489523410797,23
0.119928576,1200,22159,1719671657,checkpoint_000023,True,False,24,3c01f3d7,2024-06-29_16-34-17,120.06031656265259,2890.6092689037323,503274,lsrosaDiag,10.10.158.167,2890.6092689037323,24
0.1176075,1250,22159,1719671777,checkpoint_000024,True,False,25,3c01f3d7,2024-06-29_16-36-17,120.80831336975098,3011.4175822734833,503274,lsrosaDiag,10.10.158.167,3011.4175822734833,25
0.11490514,1300,22159,1719671896,checkpoint_000025,True,False,26,3c01f3d7,2024-06-29_16-38-16,118.61582517623901,3130.0334074497223,503274,lsrosaDiag,10.10.158.167,3130.0334074497223,26
0.11171421,1350,22159,1719672019,checkpoint_000026,True,False,27,3c01f3d7,2024-06-29_16-40-19,122.45323753356934,3252.4866449832916,503274,lsrosaDiag,10.10.158.167,3252.4866449832916,27
0.110175274,1400,22159,1719672137,checkpoint_000027,True,False,28,3c01f3d7,2024-06-29_16-42-17,117.99881744384766,3370.4854624271393,503274,lsrosaDiag,10.10.158.167,3370.4854624271393,28
0.10626932,1450,22159,1719672259,checkpoint_000028,True,False,29,3c01f3d7,2024-06-29_16-44-19,121.96359634399414,3492.4490587711334,503274,lsrosaDiag,10.10.158.167,3492.4490587711334,29
0.10531386,1500,22159,1719672382,checkpoint_000029,True,False,30,3c01f3d7,2024-06-29_16-46-22,123.0600802898407,3615.509139060974,503274,lsrosaDiag,10.10.158.167,3615.509139060974,30
0.103589736,1550,22159,1719672500,checkpoint_000030,True,False,31,3c01f3d7,2024-06-29_16-48-20,118.714919090271,3734.224058151245,503274,lsrosaDiag,10.10.158.167,3734.224058151245,31
0.10090083,1600,22159,1719672619,checkpoint_000031,True,False,32,3c01f3d7,2024-06-29_16-50-19,119.04320478439331,3853.2672629356384,503274,lsrosaDiag,10.10.158.167,3853.2672629356384,32
0.09748615,1650,22159,1719672740,checkpoint_000032,True,False,33,3c01f3d7,2024-06-29_16-52-20,120.97183752059937,3974.239100456238,503274,lsrosaDiag,10.10.158.167,3974.239100456238,33
0.09622851,1700,22159,1719672860,checkpoint_000033,True,False,34,3c01f3d7,2024-06-29_16-54-20,119.21157932281494,4093.4506797790527,503274,lsrosaDiag,10.10.158.167,4093.4506797790527,34
0.09487273,1750,22159,1719672979,checkpoint_000034,True,False,35,3c01f3d7,2024-06-29_16-56-19,119.76580572128296,4213.216485500336,503274,lsrosaDiag,10.10.158.167,4213.216485500336,35
0.09274705,1800,22159,1719673102,checkpoint_000035,True,False,36,3c01f3d7,2024-06-29_16-58-22,123.17443871498108,4336.390924215317,503274,lsrosaDiag,10.10.158.167,4336.390924215317,36
0.09283692,1850,22159,1719673222,checkpoint_000036,True,False,37,3c01f3d7,2024-06-29_17-00-22,119.39532542228699,4455.786249637604,503274,lsrosaDiag,10.10.158.167,4455.786249637604,37
0.09023031,1900,22159,1719673342,checkpoint_000037,True,False,38,3c01f3d7,2024-06-29_17-02-22,120.58195281028748,4576.368202447891,503274,lsrosaDiag,10.10.158.167,4576.368202447891,38
0.08811255,1950,22159,1719673463,checkpoint_000038,True,False,39,3c01f3d7,2024-06-29_17-04-23,120.73158621788025,4697.0997886657715,503274,lsrosaDiag,10.10.158.167,4697.0997886657715,39
0.087450854,2000,22159,1719673584,checkpoint_000039,True,False,40,3c01f3d7,2024-06-29_17-06-24,121.25483870506287,4818.354627370834,503274,lsrosaDiag,10.10.158.167,4818.354627370834,40
