loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.53871787,50,13839,1719614228,checkpoint_000000,True,False,1,b8caf5bb,2024-06-29_00-37-08,113.95879077911377,113.95879077911377,480727,lsrosaDiag,10.10.158.167,113.95879077911377,1
0.45889348,100,13839,1719614345,checkpoint_000001,True,False,2,b8caf5bb,2024-06-29_00-39-05,116.43392992019653,230.3927206993103,480727,lsrosaDiag,10.10.158.167,230.3927206993103,2
0.3775651,150,13839,1719614460,checkpoint_000002,True,False,3,b8caf5bb,2024-06-29_00-41-00,115.8173897266388,346.2101104259491,480727,lsrosaDiag,10.10.158.167,346.2101104259491,3
0.3270343,200,13839,1719614577,checkpoint_000003,True,False,4,b8caf5bb,2024-06-29_00-42-57,116.40459442138672,462.6147048473358,480727,lsrosaDiag,10.10.158.167,462.6147048473358,4
0.28535736,250,13839,1719614691,checkpoint_000004,True,False,5,b8caf5bb,2024-06-29_00-44-51,114.51011252403259,577.1248173713684,480727,lsrosaDiag,10.10.158.167,577.1248173713684,5
0.25792348,300,13839,1719614807,checkpoint_000005,True,False,6,b8caf5bb,2024-06-29_00-46-47,115.28928971290588,692.4141070842743,480727,lsrosaDiag,10.10.158.167,692.4141070842743,6
0.24051276,350,13839,1719614925,checkpoint_000006,True,False,7,b8caf5bb,2024-06-29_00-48-45,118.47067356109619,810.8847806453705,480727,lsrosaDiag,10.10.158.167,810.8847806453705,7
0.22334237,400,13839,1719615040,checkpoint_000007,True,False,8,b8caf5bb,2024-06-29_00-50-40,114.73368263244629,925.6184632778168,480727,lsrosaDiag,10.10.158.167,925.6184632778168,8
0.21497416,450,13839,1719615156,checkpoint_000008,True,False,9,b8caf5bb,2024-06-29_00-52-36,116.34266114234924,1041.961124420166,480727,lsrosaDiag,10.10.158.167,1041.961124420166,9
0.20784752,500,13839,1719615271,checkpoint_000009,True,False,10,b8caf5bb,2024-06-29_00-54-31,114.54685640335083,1156.5079808235168,480727,lsrosaDiag,10.10.158.167,1156.5079808235168,10
0.203199,550,13839,1719615383,checkpoint_000010,True,False,11,b8caf5bb,2024-06-29_00-56-23,112.54681491851807,1269.054795742035,480727,lsrosaDiag,10.10.158.167,1269.054795742035,11
0.19807616,600,13839,1719615498,checkpoint_000011,True,False,12,b8caf5bb,2024-06-29_00-58-18,114.39549160003662,1383.4502873420715,480727,lsrosaDiag,10.10.158.167,1383.4502873420715,12
0.19607504,650,13839,1719615615,checkpoint_000012,True,False,13,b8caf5bb,2024-06-29_01-00-15,117.1721887588501,1500.6224761009216,480727,lsrosaDiag,10.10.158.167,1500.6224761009216,13
0.19417149,700,13839,1719615731,checkpoint_000013,True,False,14,b8caf5bb,2024-06-29_01-02-11,116.46798872947693,1617.0904648303986,480727,lsrosaDiag,10.10.158.167,1617.0904648303986,14
0.19038837,750,13839,1719615843,checkpoint_000014,True,False,15,b8caf5bb,2024-06-29_01-04-03,112.21842861175537,1729.308893442154,480727,lsrosaDiag,10.10.158.167,1729.308893442154,15
0.18933736,800,13839,1719615957,checkpoint_000015,True,False,16,b8caf5bb,2024-06-29_01-05-57,113.22166013717651,1842.5305535793304,480727,lsrosaDiag,10.10.158.167,1842.5305535793304,16
0.18959466,850,13839,1719616073,checkpoint_000016,True,False,17,b8caf5bb,2024-06-29_01-07-53,116.22866725921631,1958.7592208385468,480727,lsrosaDiag,10.10.158.167,1958.7592208385468,17
0.18765727,900,13839,1719616188,checkpoint_000017,True,False,18,b8caf5bb,2024-06-29_01-09-48,115.39036512374878,2074.1495859622955,480727,lsrosaDiag,10.10.158.167,2074.1495859622955,18
0.1857749,950,13839,1719616302,checkpoint_000018,True,False,19,b8caf5bb,2024-06-29_01-11-42,113.62500500679016,2187.7745909690857,480727,lsrosaDiag,10.10.158.167,2187.7745909690857,19
0.18537131,1000,13839,1719616416,checkpoint_000019,True,False,20,b8caf5bb,2024-06-29_01-13-36,113.75611901283264,2301.5307099819183,480727,lsrosaDiag,10.10.158.167,2301.5307099819183,20
0.18439797,1050,13839,1719616532,checkpoint_000020,True,False,21,b8caf5bb,2024-06-29_01-15-32,115.97639179229736,2417.5071017742157,480727,lsrosaDiag,10.10.158.167,2417.5071017742157,21
0.18473926,1100,13839,1719616646,checkpoint_000021,True,False,22,b8caf5bb,2024-06-29_01-17-26,114.2061414718628,2531.7132432460785,480727,lsrosaDiag,10.10.158.167,2531.7132432460785,22
0.18344441,1150,13839,1719616761,checkpoint_000022,True,False,23,b8caf5bb,2024-06-29_01-19-21,114.95092630386353,2646.664169549942,480727,lsrosaDiag,10.10.158.167,2646.664169549942,23
0.18379742,1200,13839,1719616876,checkpoint_000023,True,False,24,b8caf5bb,2024-06-29_01-21-16,115.10915756225586,2761.773327112198,480727,lsrosaDiag,10.10.158.167,2761.773327112198,24
0.18022914,1250,13839,1719616990,checkpoint_000024,True,False,25,b8caf5bb,2024-06-29_01-23-10,113.75516057014465,2875.5284876823425,480727,lsrosaDiag,10.10.158.167,2875.5284876823425,25
0.1796442,1300,13839,1719617105,checkpoint_000025,True,False,26,b8caf5bb,2024-06-29_01-25-05,115.52675032615662,2991.055238008499,480727,lsrosaDiag,10.10.158.167,2991.055238008499,26
0.17922977,1350,13839,1719617221,checkpoint_000026,True,False,27,b8caf5bb,2024-06-29_01-27-01,115.40675330162048,3106.4619913101196,480727,lsrosaDiag,10.10.158.167,3106.4619913101196,27
0.17941836,1400,13839,1719617335,checkpoint_000027,True,False,28,b8caf5bb,2024-06-29_01-28-55,114.72572946548462,3221.1877207756042,480727,lsrosaDiag,10.10.158.167,3221.1877207756042,28
0.17868352,1450,13839,1719617452,checkpoint_000028,True,False,29,b8caf5bb,2024-06-29_01-30-52,116.58504319190979,3337.772763967514,480727,lsrosaDiag,10.10.158.167,3337.772763967514,29
0.17971884,1500,13839,1719617569,checkpoint_000029,True,False,30,b8caf5bb,2024-06-29_01-32-49,116.66770124435425,3454.4404652118683,480727,lsrosaDiag,10.10.158.167,3454.4404652118683,30
0.17973652,1550,13839,1719617684,checkpoint_000030,True,False,31,b8caf5bb,2024-06-29_01-34-44,115.05371332168579,3569.494178533554,480727,lsrosaDiag,10.10.158.167,3569.494178533554,31
0.17861396,1600,13839,1719617797,checkpoint_000031,True,False,32,b8caf5bb,2024-06-29_01-36-37,112.92454481124878,3682.418723344803,480727,lsrosaDiag,10.10.158.167,3682.418723344803,32
0.17920434,1650,13839,1719617912,checkpoint_000032,True,False,33,b8caf5bb,2024-06-29_01-38-32,115.58160185813904,3798.000325202942,480727,lsrosaDiag,10.10.158.167,3798.000325202942,33
0.1769055,1700,13839,1719618027,checkpoint_000033,True,False,34,b8caf5bb,2024-06-29_01-40-27,114.90814256668091,3912.908467769623,480727,lsrosaDiag,10.10.158.167,3912.908467769623,34
0.1754631,1750,13839,1719618143,checkpoint_000034,True,False,35,b8caf5bb,2024-06-29_01-42-23,115.58798861503601,4028.496456384659,480727,lsrosaDiag,10.10.158.167,4028.496456384659,35
0.17454837,1800,13839,1719618259,checkpoint_000035,True,False,36,b8caf5bb,2024-06-29_01-44-19,116.59274816513062,4145.089204549789,480727,lsrosaDiag,10.10.158.167,4145.089204549789,36
0.17656244,1850,13839,1719618372,checkpoint_000036,True,False,37,b8caf5bb,2024-06-29_01-46-12,113.14646935462952,4258.235673904419,480727,lsrosaDiag,10.10.158.167,4258.235673904419,37
0.17494883,1900,13839,1719618488,checkpoint_000037,True,False,38,b8caf5bb,2024-06-29_01-48-08,115.54757142066956,4373.7832453250885,480727,lsrosaDiag,10.10.158.167,4373.7832453250885,38
0.17502145,1950,13839,1719618603,checkpoint_000038,True,False,39,b8caf5bb,2024-06-29_01-50-03,115.28883600234985,4489.072081327438,480727,lsrosaDiag,10.10.158.167,4489.072081327438,39
0.17525645,2000,13839,1719618716,checkpoint_000039,True,False,40,b8caf5bb,2024-06-29_01-51-56,113.14384126663208,4602.21592259407,480727,lsrosaDiag,10.10.158.167,4602.21592259407,40
