loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.259036,50,471,1719657510,checkpoint_000000,True,False,1,d6126c43,2024-06-29_12-38-30,114.68895769119263,114.68895769119263,498884,lsrosaDiag,10.10.158.167,114.68895769119263,1
0.20548901,100,471,1719657624,checkpoint_000001,True,False,2,d6126c43,2024-06-29_12-40-24,113.60654401779175,228.29550170898438,498884,lsrosaDiag,10.10.158.167,228.29550170898438,2
0.18628058,150,471,1719657738,checkpoint_000002,True,False,3,d6126c43,2024-06-29_12-42-18,114.38118052482605,342.6766822338104,498884,lsrosaDiag,10.10.158.167,342.6766822338104,3
0.17574279,200,471,1719657850,checkpoint_000003,True,False,4,d6126c43,2024-06-29_12-44-10,112.00015759468079,454.6768398284912,498884,lsrosaDiag,10.10.158.167,454.6768398284912,4
0.17068239,250,471,1719657965,checkpoint_000004,True,False,5,d6126c43,2024-06-29_12-46-05,114.37250351905823,569.0493433475494,498884,lsrosaDiag,10.10.158.167,569.0493433475494,5
0.16898087,300,471,1719658079,checkpoint_000005,True,False,6,d6126c43,2024-06-29_12-47-59,114.63401675224304,683.6833600997925,498884,lsrosaDiag,10.10.158.167,683.6833600997925,6
0.16625062,350,471,1719658193,checkpoint_000006,True,False,7,d6126c43,2024-06-29_12-49-53,113.86607217788696,797.5494322776794,498884,lsrosaDiag,10.10.158.167,797.5494322776794,7
0.1635046,400,471,1719658307,checkpoint_000007,True,False,8,d6126c43,2024-06-29_12-51-47,113.7863199710846,911.335752248764,498884,lsrosaDiag,10.10.158.167,911.335752248764,8
0.16204283,450,471,1719658417,checkpoint_000008,True,False,9,d6126c43,2024-06-29_12-53-37,110.14891290664673,1021.4846651554108,498884,lsrosaDiag,10.10.158.167,1021.4846651554108,9
0.16023502,500,471,1719658531,checkpoint_000009,True,False,10,d6126c43,2024-06-29_12-55-31,113.74524545669556,1135.2299106121063,498884,lsrosaDiag,10.10.158.167,1135.2299106121063,10
0.16075513,550,471,1719658645,checkpoint_000010,True,False,11,d6126c43,2024-06-29_12-57-25,113.88688206672668,1249.116792678833,498884,lsrosaDiag,10.10.158.167,1249.116792678833,11
0.15856579,600,471,1719658757,checkpoint_000011,True,False,12,d6126c43,2024-06-29_12-59-17,112.86723637580872,1361.9840290546417,498884,lsrosaDiag,10.10.158.167,1361.9840290546417,12
0.15915199,650,471,1719658869,checkpoint_000012,True,False,13,d6126c43,2024-06-29_13-01-09,111.39405632019043,1473.3780853748322,498884,lsrosaDiag,10.10.158.167,1473.3780853748322,13
0.15762052,700,471,1719658981,checkpoint_000013,True,False,14,d6126c43,2024-06-29_13-03-01,112.19933605194092,1585.577421426773,498884,lsrosaDiag,10.10.158.167,1585.577421426773,14
0.15843925,750,471,1719659094,checkpoint_000014,True,False,15,d6126c43,2024-06-29_13-04-54,113.00477981567383,1698.582201242447,498884,lsrosaDiag,10.10.158.167,1698.582201242447,15
0.15638547,800,471,1719659207,checkpoint_000015,True,False,16,d6126c43,2024-06-29_13-06-47,113.04613208770752,1811.6283333301544,498884,lsrosaDiag,10.10.158.167,1811.6283333301544,16
0.15732381,850,471,1719659321,checkpoint_000016,True,False,17,d6126c43,2024-06-29_13-08-41,113.40847253799438,1925.0368058681488,498884,lsrosaDiag,10.10.158.167,1925.0368058681488,17
0.15590188,900,471,1719659434,checkpoint_000017,True,False,18,d6126c43,2024-06-29_13-10-34,113.7689414024353,2038.805747270584,498884,lsrosaDiag,10.10.158.167,2038.805747270584,18
0.15664342,950,471,1719659548,checkpoint_000018,True,False,19,d6126c43,2024-06-29_13-12-28,113.77817249298096,2152.583919763565,498884,lsrosaDiag,10.10.158.167,2152.583919763565,19
0.15632842,1000,471,1719659662,checkpoint_000019,True,False,20,d6126c43,2024-06-29_13-14-22,113.67397093772888,2266.257890701294,498884,lsrosaDiag,10.10.158.167,2266.257890701294,20
0.15652174,1050,471,1719659777,checkpoint_000020,True,False,21,d6126c43,2024-06-29_13-16-17,115.29641938209534,2381.5543100833893,498884,lsrosaDiag,10.10.158.167,2381.5543100833893,21
0.15527418,1100,471,1719659887,checkpoint_000021,True,False,22,d6126c43,2024-06-29_13-18-07,110.24427580833435,2491.7985858917236,498884,lsrosaDiag,10.10.158.167,2491.7985858917236,22
0.15504423,1150,471,1719660001,checkpoint_000022,True,False,23,d6126c43,2024-06-29_13-20-01,113.42162108421326,2605.220206975937,498884,lsrosaDiag,10.10.158.167,2605.220206975937,23
0.15486184,1200,471,1719660114,checkpoint_000023,True,False,24,d6126c43,2024-06-29_13-21-54,113.64484882354736,2718.8650557994843,498884,lsrosaDiag,10.10.158.167,2718.8650557994843,24
0.15497784,1250,471,1719660228,checkpoint_000024,True,False,25,d6126c43,2024-06-29_13-23-48,113.76671242713928,2832.6317682266235,498884,lsrosaDiag,10.10.158.167,2832.6317682266235,25
0.15551552,1300,471,1719660341,checkpoint_000025,True,False,26,d6126c43,2024-06-29_13-25-41,112.69125556945801,2945.3230237960815,498884,lsrosaDiag,10.10.158.167,2945.3230237960815,26
0.15252826,1350,471,1719660453,checkpoint_000026,True,False,27,d6126c43,2024-06-29_13-27-33,112.48564076423645,3057.808664560318,498884,lsrosaDiag,10.10.158.167,3057.808664560318,27
0.15462853,1400,471,1719660568,checkpoint_000027,True,False,28,d6126c43,2024-06-29_13-29-28,114.45029330253601,3172.258957862854,498884,lsrosaDiag,10.10.158.167,3172.258957862854,28
0.15384325,1450,471,1719660680,checkpoint_000028,True,False,29,d6126c43,2024-06-29_13-31-20,112.44826650619507,3284.707224369049,498884,lsrosaDiag,10.10.158.167,3284.707224369049,29
0.15537752,1500,471,1719660793,checkpoint_000029,True,False,30,d6126c43,2024-06-29_13-33-13,112.98915457725525,3397.6963789463043,498884,lsrosaDiag,10.10.158.167,3397.6963789463043,30
0.15370066,1550,471,1719660907,checkpoint_000030,True,False,31,d6126c43,2024-06-29_13-35-07,113.84579157829285,3511.542170524597,498884,lsrosaDiag,10.10.158.167,3511.542170524597,31
0.15447572,1600,471,1719661020,checkpoint_000031,True,False,32,d6126c43,2024-06-29_13-37-00,112.7319107055664,3624.2740812301636,498884,lsrosaDiag,10.10.158.167,3624.2740812301636,32
0.15487477,1650,471,1719661132,checkpoint_000032,True,False,33,d6126c43,2024-06-29_13-38-52,112.3976583480835,3736.671739578247,498884,lsrosaDiag,10.10.158.167,3736.671739578247,33
0.15312354,1700,471,1719661244,checkpoint_000033,True,False,34,d6126c43,2024-06-29_13-40-44,111.39656233787537,3848.0683019161224,498884,lsrosaDiag,10.10.158.167,3848.0683019161224,34
0.15475163,1750,471,1719661358,checkpoint_000034,True,False,35,d6126c43,2024-06-29_13-42-38,114.39480471611023,3962.4631066322327,498884,lsrosaDiag,10.10.158.167,3962.4631066322327,35
0.1524566,1800,471,1719661472,checkpoint_000035,True,False,36,d6126c43,2024-06-29_13-44-32,113.73605561256409,4076.1991622447968,498884,lsrosaDiag,10.10.158.167,4076.1991622447968,36
0.15187237,1850,471,1719661585,checkpoint_000036,True,False,37,d6126c43,2024-06-29_13-46-25,113.35181856155396,4189.550980806351,498884,lsrosaDiag,10.10.158.167,4189.550980806351,37
0.15298854,1900,471,1719661698,checkpoint_000037,True,False,38,d6126c43,2024-06-29_13-48-18,112.50363492965698,4302.054615736008,498884,lsrosaDiag,10.10.158.167,4302.054615736008,38
0.15282466,1950,471,1719661809,checkpoint_000038,True,False,39,d6126c43,2024-06-29_13-50-09,111.5155463218689,4413.570162057877,498884,lsrosaDiag,10.10.158.167,4413.570162057877,39
0.15138933,2000,471,1719661922,checkpoint_000039,True,False,40,d6126c43,2024-06-29_13-52-02,113.05782508850098,4526.627987146378,498884,lsrosaDiag,10.10.158.167,4526.627987146378,40
