loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.1817605,50,22152,1720142711,checkpoint_000000,True,False,1,30b7a1b8,2024-07-05_03-25-11,154.03422164916992,154.03422164916992,701409,lsrosaDiag,10.10.158.167,154.03422164916992,1
0.15785211,100,22152,1720142865,checkpoint_000001,True,False,2,30b7a1b8,2024-07-05_03-27-45,154.76760268211365,308.80182433128357,701409,lsrosaDiag,10.10.158.167,308.80182433128357,2
0.14608893,150,22152,1720143015,checkpoint_000002,True,False,3,30b7a1b8,2024-07-05_03-30-15,149.18290638923645,457.98473072052,701409,lsrosaDiag,10.10.158.167,457.98473072052,3
0.13896753,200,22152,1720143164,checkpoint_000003,True,False,4,30b7a1b8,2024-07-05_03-32-44,149.1245310306549,607.1092617511749,701409,lsrosaDiag,10.10.158.167,607.1092617511749,4
0.12929073,250,22152,1720143320,checkpoint_000004,True,False,5,30b7a1b8,2024-07-05_03-35-20,156.4647924900055,763.5740542411804,701409,lsrosaDiag,10.10.158.167,763.5740542411804,5
0.12330868,300,22152,1720143468,checkpoint_000005,True,False,6,30b7a1b8,2024-07-05_03-37-48,148.22720217704773,911.8012564182281,701409,lsrosaDiag,10.10.158.167,911.8012564182281,6
0.119464085,350,22152,1720143621,checkpoint_000006,True,False,7,30b7a1b8,2024-07-05_03-40-21,153.01260662078857,1064.8138630390167,701409,lsrosaDiag,10.10.158.167,1064.8138630390167,7
0.11514231,400,22152,1720143772,checkpoint_000007,True,False,8,30b7a1b8,2024-07-05_03-42-52,150.69091701507568,1215.5047800540924,701409,lsrosaDiag,10.10.158.167,1215.5047800540924,8
0.11195262,450,22152,1720143925,checkpoint_000008,True,False,9,30b7a1b8,2024-07-05_03-45-25,153.01045775413513,1368.5152378082275,701409,lsrosaDiag,10.10.158.167,1368.5152378082275,9
0.10953666,500,22152,1720144074,checkpoint_000009,True,False,10,30b7a1b8,2024-07-05_03-47-54,149.05046010017395,1517.5656979084015,701409,lsrosaDiag,10.10.158.167,1517.5656979084015,10
0.10559674,550,22152,1720144227,checkpoint_000010,True,False,11,30b7a1b8,2024-07-05_03-50-27,152.852530002594,1670.4182279109955,701409,lsrosaDiag,10.10.158.167,1670.4182279109955,11
0.1044016,600,22152,1720144375,checkpoint_000011,True,False,12,30b7a1b8,2024-07-05_03-52-55,148.45704126358032,1818.8752691745758,701409,lsrosaDiag,10.10.158.167,1818.8752691745758,12
