loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.19193274,50,155976,1720100069,checkpoint_000000,True,False,1,3c1c41dc,2024-07-04_15-34-29,176.32934761047363,176.32934761047363,684443,lsrosaDiag,10.10.158.167,176.32934761047363,1
0.16899265,100,155976,1720100246,checkpoint_000001,True,False,2,3c1c41dc,2024-07-04_15-37-26,176.6959924697876,353.02534008026123,684443,lsrosaDiag,10.10.158.167,353.02534008026123,2
0.15999117,150,155976,1720100424,checkpoint_000002,True,False,3,3c1c41dc,2024-07-04_15-40-24,178.49952721595764,531.5248672962189,684443,lsrosaDiag,10.10.158.167,531.5248672962189,3
0.15429708,200,155976,1720100604,checkpoint_000003,True,False,4,3c1c41dc,2024-07-04_15-43-24,179.98268842697144,711.5075557231903,684443,lsrosaDiag,10.10.158.167,711.5075557231903,4
0.14876634,250,155976,1720100779,checkpoint_000004,True,False,5,3c1c41dc,2024-07-04_15-46-19,174.82404494285583,886.3316006660461,684443,lsrosaDiag,10.10.158.167,886.3316006660461,5
0.14185245,300,155976,1720100963,checkpoint_000005,True,False,6,3c1c41dc,2024-07-04_15-49-23,184.0504732131958,1070.382073879242,684443,lsrosaDiag,10.10.158.167,1070.382073879242,6
0.13626567,350,155976,1720101144,checkpoint_000006,True,False,7,3c1c41dc,2024-07-04_15-52-24,181.25982117652893,1251.6418950557709,684443,lsrosaDiag,10.10.158.167,1251.6418950557709,7
0.13483657,400,155976,1720101322,checkpoint_000007,True,False,8,3c1c41dc,2024-07-04_15-55-22,177.9519853591919,1429.5938804149628,684443,lsrosaDiag,10.10.158.167,1429.5938804149628,8
0.12634343,450,155976,1720101495,checkpoint_000008,True,False,9,3c1c41dc,2024-07-04_15-58-15,172.6472351551056,1602.2411155700684,684443,lsrosaDiag,10.10.158.167,1602.2411155700684,9
0.12448367,500,155976,1720101676,checkpoint_000009,True,False,10,3c1c41dc,2024-07-04_16-01-16,181.1260576248169,1783.3671731948853,684443,lsrosaDiag,10.10.158.167,1783.3671731948853,10
0.12210612,550,155976,1720101856,checkpoint_000010,True,False,11,3c1c41dc,2024-07-04_16-04-16,179.80527710914612,1963.1724503040314,684443,lsrosaDiag,10.10.158.167,1963.1724503040314,11
0.11857692,600,155976,1720102035,checkpoint_000011,True,False,12,3c1c41dc,2024-07-04_16-07-15,178.77037024497986,2141.9428205490112,684443,lsrosaDiag,10.10.158.167,2141.9428205490112,12
0.115388654,650,155976,1720102215,checkpoint_000012,True,False,13,3c1c41dc,2024-07-04_16-10-15,180.26920437812805,2322.2120249271393,684443,lsrosaDiag,10.10.158.167,2322.2120249271393,13
0.11352501,700,155976,1720102395,checkpoint_000013,True,False,14,3c1c41dc,2024-07-04_16-13-15,180.45816326141357,2502.670188188553,684443,lsrosaDiag,10.10.158.167,2502.670188188553,14
0.11201376,750,155976,1720102582,checkpoint_000014,True,False,15,3c1c41dc,2024-07-04_16-16-22,186.39134740829468,2689.0615355968475,684443,lsrosaDiag,10.10.158.167,2689.0615355968475,15
0.11186822,800,155976,1720102763,checkpoint_000015,True,False,16,3c1c41dc,2024-07-04_16-19-23,180.83423447608948,2869.895770072937,684443,lsrosaDiag,10.10.158.167,2869.895770072937,16
0.11091659,850,155976,1720102937,checkpoint_000016,True,False,17,3c1c41dc,2024-07-04_16-22-17,174.00723576545715,3043.903005838394,684443,lsrosaDiag,10.10.158.167,3043.903005838394,17
0.108885124,900,155976,1720103117,checkpoint_000017,True,False,18,3c1c41dc,2024-07-04_16-25-17,179.95971059799194,3223.862716436386,684443,lsrosaDiag,10.10.158.167,3223.862716436386,18
0.109673366,950,155976,1720103293,checkpoint_000018,True,False,19,3c1c41dc,2024-07-04_16-28-13,176.25796508789062,3400.1206815242767,684443,lsrosaDiag,10.10.158.167,3400.1206815242767,19
0.10751651,1000,155976,1720103471,checkpoint_000019,True,True,20,3c1c41dc,2024-07-04_16-31-11,177.9716820716858,3578.0923635959625,684443,lsrosaDiag,10.10.158.167,3578.0923635959625,20
