loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.1708543,50,11400,1720159679,checkpoint_000000,True,False,1,5d3dd6da,2024-07-05_08-07-59,159.11709666252136,159.11709666252136,708490,lsrosaDiag,10.10.158.167,159.11709666252136,1
0.15187666,100,11400,1720159839,checkpoint_000001,True,False,2,5d3dd6da,2024-07-05_08-10-39,160.14407086372375,319.2611675262451,708490,lsrosaDiag,10.10.158.167,319.2611675262451,2
0.13945487,150,11400,1720159998,checkpoint_000002,True,False,3,5d3dd6da,2024-07-05_08-13-18,158.3478102684021,477.6089777946472,708490,lsrosaDiag,10.10.158.167,477.6089777946472,3
0.13224511,200,11400,1720160154,checkpoint_000003,True,False,4,5d3dd6da,2024-07-05_08-15-54,155.91004514694214,633.5190229415894,708490,lsrosaDiag,10.10.158.167,633.5190229415894,4
0.12634924,250,11400,1720160313,checkpoint_000004,True,False,5,5d3dd6da,2024-07-05_08-18-33,159.15488862991333,792.6739115715027,708490,lsrosaDiag,10.10.158.167,792.6739115715027,5
0.11803701,300,11400,1720160473,checkpoint_000005,True,False,6,5d3dd6da,2024-07-05_08-21-13,160.21526646614075,952.8891780376434,708490,lsrosaDiag,10.10.158.167,952.8891780376434,6
0.11350359,350,11400,1720160632,checkpoint_000006,True,False,7,5d3dd6da,2024-07-05_08-23-52,159.25616097450256,1112.145339012146,708490,lsrosaDiag,10.10.158.167,1112.145339012146,7
0.11060081,400,11400,1720160795,checkpoint_000007,True,False,8,5d3dd6da,2024-07-05_08-26-35,162.99556279182434,1275.1409018039703,708490,lsrosaDiag,10.10.158.167,1275.1409018039703,8
0.10777527,450,11400,1720160952,checkpoint_000008,True,False,9,5d3dd6da,2024-07-05_08-29-12,156.35128045082092,1431.4921822547913,708490,lsrosaDiag,10.10.158.167,1431.4921822547913,9
0.10526168,500,11400,1720161112,checkpoint_000009,True,False,10,5d3dd6da,2024-07-05_08-31-52,160.79040122032166,1592.282583475113,708490,lsrosaDiag,10.10.158.167,1592.282583475113,10
0.10112302,550,11400,1720161269,checkpoint_000010,True,False,11,5d3dd6da,2024-07-05_08-34-29,157.0612518787384,1749.3438353538513,708490,lsrosaDiag,10.10.158.167,1749.3438353538513,11
0.097423404,600,11400,1720161430,checkpoint_000011,True,False,12,5d3dd6da,2024-07-05_08-37-10,160.46263790130615,1909.8064732551575,708490,lsrosaDiag,10.10.158.167,1909.8064732551575,12
0.096502006,650,11400,1720161587,checkpoint_000012,True,False,13,5d3dd6da,2024-07-05_08-39-47,157.45548057556152,2067.261953830719,708490,lsrosaDiag,10.10.158.167,2067.261953830719,13
0.09555106,700,11400,1720161749,checkpoint_000013,True,False,14,5d3dd6da,2024-07-05_08-42-29,161.7044017314911,2228.96635556221,708490,lsrosaDiag,10.10.158.167,2228.96635556221,14
0.09144826,750,11400,1720161910,checkpoint_000014,True,False,15,5d3dd6da,2024-07-05_08-45-10,160.4708960056305,2389.4372515678406,708490,lsrosaDiag,10.10.158.167,2389.4372515678406,15
0.08970323,800,11400,1720162069,checkpoint_000015,True,False,16,5d3dd6da,2024-07-05_08-47-49,159.08946561813354,2548.526717185974,708490,lsrosaDiag,10.10.158.167,2548.526717185974,16
0.08938902,850,11400,1720162231,checkpoint_000016,True,False,17,5d3dd6da,2024-07-05_08-50-31,162.39110159873962,2710.9178187847137,708490,lsrosaDiag,10.10.158.167,2710.9178187847137,17
0.0881262,900,11400,1720162391,checkpoint_000017,True,False,18,5d3dd6da,2024-07-05_08-53-11,159.98380970954895,2870.9016284942627,708490,lsrosaDiag,10.10.158.167,2870.9016284942627,18
0.0873387,950,11400,1720162549,checkpoint_000018,True,False,19,5d3dd6da,2024-07-05_08-55-49,158.0511360168457,3028.9527645111084,708490,lsrosaDiag,10.10.158.167,3028.9527645111084,19
0.084523484,1000,11400,1720162710,checkpoint_000019,True,False,20,5d3dd6da,2024-07-05_08-58-30,161.39520835876465,3190.347972869873,708490,lsrosaDiag,10.10.158.167,3190.347972869873,20
0.0850619,1050,11400,1720162867,checkpoint_000020,True,False,21,5d3dd6da,2024-07-05_09-01-07,156.42648315429688,3346.77445602417,708490,lsrosaDiag,10.10.158.167,3346.77445602417,21
0.08309541,1100,11400,1720163022,checkpoint_000021,True,False,22,5d3dd6da,2024-07-05_09-03-42,154.69820928573608,3501.472665309906,708490,lsrosaDiag,10.10.158.167,3501.472665309906,22
0.08266706,1150,11400,1720163180,checkpoint_000022,True,False,23,5d3dd6da,2024-07-05_09-06-20,158.37565684318542,3659.8483221530914,708490,lsrosaDiag,10.10.158.167,3659.8483221530914,23
0.07961778,1200,11400,1720163337,checkpoint_000023,True,False,24,5d3dd6da,2024-07-05_09-08-57,156.6919720172882,3816.5402941703796,708490,lsrosaDiag,10.10.158.167,3816.5402941703796,24
0.08068436,1250,11400,1720163495,checkpoint_000024,True,False,25,5d3dd6da,2024-07-05_09-11-35,158.17330026626587,3974.7135944366455,708490,lsrosaDiag,10.10.158.167,3974.7135944366455,25
0.07913357,1300,11400,1720163652,checkpoint_000025,True,False,26,5d3dd6da,2024-07-05_09-14-12,157.60316967964172,4132.316764116287,708490,lsrosaDiag,10.10.158.167,4132.316764116287,26
0.076983124,1350,11400,1720163811,checkpoint_000026,True,False,27,5d3dd6da,2024-07-05_09-16-51,158.2949607372284,4290.611724853516,708490,lsrosaDiag,10.10.158.167,4290.611724853516,27
0.075796865,1400,11400,1720163963,checkpoint_000027,True,False,28,5d3dd6da,2024-07-05_09-19-23,152.30441093444824,4442.916135787964,708490,lsrosaDiag,10.10.158.167,4442.916135787964,28
0.07382727,1450,11400,1720164123,checkpoint_000028,True,False,29,5d3dd6da,2024-07-05_09-22-03,160.33949756622314,4603.255633354187,708490,lsrosaDiag,10.10.158.167,4603.255633354187,29
0.0736017,1500,11400,1720164286,checkpoint_000029,True,False,30,5d3dd6da,2024-07-05_09-24-46,162.38844919204712,4765.644082546234,708490,lsrosaDiag,10.10.158.167,4765.644082546234,30
0.073895976,1550,11400,1720164441,checkpoint_000030,True,False,31,5d3dd6da,2024-07-05_09-27-21,155.29435777664185,4920.938440322876,708490,lsrosaDiag,10.10.158.167,4920.938440322876,31
0.072844,1600,11400,1720164601,checkpoint_000031,True,False,32,5d3dd6da,2024-07-05_09-30-01,159.62233877182007,5080.560779094696,708490,lsrosaDiag,10.10.158.167,5080.560779094696,32
0.07206725,1650,11400,1720164754,checkpoint_000032,True,False,33,5d3dd6da,2024-07-05_09-32-34,153.09609127044678,5233.656870365143,708490,lsrosaDiag,10.10.158.167,5233.656870365143,33
0.07015523,1700,11400,1720164910,checkpoint_000033,True,False,34,5d3dd6da,2024-07-05_09-35-10,155.92998838424683,5389.58685874939,708490,lsrosaDiag,10.10.158.167,5389.58685874939,34
