loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.17698202,50,9768,1720187714,checkpoint_000000,True,False,1,b01e98b8,2024-07-05_15-55-14,163.09002041816711,163.09002041816711,719301,lsrosaDiag,10.10.158.167,163.09002041816711,1
0.16072764,100,9768,1720187879,checkpoint_000001,True,False,2,b01e98b8,2024-07-05_15-57-59,164.47979927062988,327.569819688797,719301,lsrosaDiag,10.10.158.167,327.569819688797,2
0.15227666,150,9768,1720188044,checkpoint_000002,True,False,3,b01e98b8,2024-07-05_16-00-44,165.193195104599,492.763014793396,719301,lsrosaDiag,10.10.158.167,492.763014793396,3
0.14399245,200,9768,1720188201,checkpoint_000003,True,False,4,b01e98b8,2024-07-05_16-03-21,157.54983520507812,650.3128499984741,719301,lsrosaDiag,10.10.158.167,650.3128499984741,4
0.13631377,250,9768,1720188364,checkpoint_000004,True,False,5,b01e98b8,2024-07-05_16-06-04,163.09683966636658,813.4096896648407,719301,lsrosaDiag,10.10.158.167,813.4096896648407,5
0.13090917,300,9768,1720188530,checkpoint_000005,True,False,6,b01e98b8,2024-07-05_16-08-50,165.1612410545349,978.5709307193756,719301,lsrosaDiag,10.10.158.167,978.5709307193756,6
0.12630932,350,9768,1720188690,checkpoint_000006,True,False,7,b01e98b8,2024-07-05_16-11-30,160.88998818397522,1139.4609189033508,719301,lsrosaDiag,10.10.158.167,1139.4609189033508,7
0.12124924,400,9768,1720188855,checkpoint_000007,True,False,8,b01e98b8,2024-07-05_16-14-15,164.07118773460388,1303.5321066379547,719301,lsrosaDiag,10.10.158.167,1303.5321066379547,8
0.11959586,450,9768,1720189016,checkpoint_000008,True,False,9,b01e98b8,2024-07-05_16-16-56,161.98064661026,1465.5127532482147,719301,lsrosaDiag,10.10.158.167,1465.5127532482147,9
0.11705615,500,9768,1720189180,checkpoint_000009,True,False,10,b01e98b8,2024-07-05_16-19-40,163.7495379447937,1629.2622911930084,719301,lsrosaDiag,10.10.158.167,1629.2622911930084,10
0.11427673,550,9768,1720189338,checkpoint_000010,True,False,11,b01e98b8,2024-07-05_16-22-18,157.31723713874817,1786.5795283317566,719301,lsrosaDiag,10.10.158.167,1786.5795283317566,11
0.1115381,600,9768,1720189495,checkpoint_000011,True,False,12,b01e98b8,2024-07-05_16-24-55,157.25914072990417,1943.8386690616608,719301,lsrosaDiag,10.10.158.167,1943.8386690616608,12
0.10947251,650,9768,1720189661,checkpoint_000012,True,False,13,b01e98b8,2024-07-05_16-27-41,166.1359784603119,2109.9746475219727,719301,lsrosaDiag,10.10.158.167,2109.9746475219727,13
0.107215725,700,9768,1720189815,checkpoint_000013,True,False,14,b01e98b8,2024-07-05_16-30-15,154.00060439109802,2263.9752519130707,719301,lsrosaDiag,10.10.158.167,2263.9752519130707,14
0.106270574,750,9768,1720189981,checkpoint_000014,True,False,15,b01e98b8,2024-07-05_16-33-01,166.29893469810486,2430.2741866111755,719301,lsrosaDiag,10.10.158.167,2430.2741866111755,15
0.10272244,800,9768,1720190142,checkpoint_000015,True,False,16,b01e98b8,2024-07-05_16-35-42,160.67958784103394,2590.9537744522095,719301,lsrosaDiag,10.10.158.167,2590.9537744522095,16
0.10116824,850,9768,1720190303,checkpoint_000016,True,False,17,b01e98b8,2024-07-05_16-38-23,161.1617021560669,2752.1154766082764,719301,lsrosaDiag,10.10.158.167,2752.1154766082764,17
0.09841153,900,9768,1720190465,checkpoint_000017,True,False,18,b01e98b8,2024-07-05_16-41-05,162.0263659954071,2914.1418426036835,719301,lsrosaDiag,10.10.158.167,2914.1418426036835,18
0.09644163,950,9768,1720190622,checkpoint_000018,True,False,19,b01e98b8,2024-07-05_16-43-42,156.52244544029236,3070.664288043976,719301,lsrosaDiag,10.10.158.167,3070.664288043976,19
0.09615593,1000,9768,1720190779,checkpoint_000019,True,True,20,b01e98b8,2024-07-05_16-46-19,157.74785590171814,3228.412143945694,719301,lsrosaDiag,10.10.158.167,3228.412143945694,20
