loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.17932346,50,40628,1720022466,checkpoint_000000,True,False,1,a8fa533d,2024-07-03_18-01-06,174.07724022865295,174.07724022865295,649898,lsrosaDiag,10.10.158.167,174.07724022865295,1
0.16223796,100,40628,1720022643,checkpoint_000001,True,False,2,a8fa533d,2024-07-03_18-04-03,176.85366106033325,350.9309012889862,649898,lsrosaDiag,10.10.158.167,350.9309012889862,2
0.15174614,150,40628,1720022815,checkpoint_000002,True,False,3,a8fa533d,2024-07-03_18-06-55,172.21937251091003,523.1502737998962,649898,lsrosaDiag,10.10.158.167,523.1502737998962,3
0.14154062,200,40628,1720022993,checkpoint_000003,True,False,4,a8fa533d,2024-07-03_18-09-53,178.03515315055847,701.1854269504547,649898,lsrosaDiag,10.10.158.167,701.1854269504547,4
0.13457672,250,40628,1720023169,checkpoint_000004,True,False,5,a8fa533d,2024-07-03_18-12-49,175.6768615245819,876.8622884750366,649898,lsrosaDiag,10.10.158.167,876.8622884750366,5
0.13176124,300,40628,1720023342,checkpoint_000005,True,False,6,a8fa533d,2024-07-03_18-15-42,172.9869520664215,1049.8492405414581,649898,lsrosaDiag,10.10.158.167,1049.8492405414581,6
0.12882389,350,40628,1720023520,checkpoint_000006,True,False,7,a8fa533d,2024-07-03_18-18-40,178.77333402633667,1228.6225745677948,649898,lsrosaDiag,10.10.158.167,1228.6225745677948,7
0.12696716,400,40628,1720023697,checkpoint_000007,True,False,8,a8fa533d,2024-07-03_18-21-37,176.2586805820465,1404.8812551498413,649898,lsrosaDiag,10.10.158.167,1404.8812551498413,8
0.124611065,450,40628,1720023873,checkpoint_000008,True,False,9,a8fa533d,2024-07-03_18-24-33,176.67886662483215,1581.5601217746735,649898,lsrosaDiag,10.10.158.167,1581.5601217746735,9
0.12405008,500,40628,1720024047,checkpoint_000009,True,False,10,a8fa533d,2024-07-03_18-27-27,173.82162284851074,1755.3817446231842,649898,lsrosaDiag,10.10.158.167,1755.3817446231842,10
0.120364584,550,40628,1720024224,checkpoint_000010,True,False,11,a8fa533d,2024-07-03_18-30-24,176.58297681808472,1931.964721441269,649898,lsrosaDiag,10.10.158.167,1931.964721441269,11
0.11937547,600,40628,1720024402,checkpoint_000011,True,False,12,a8fa533d,2024-07-03_18-33-22,177.9398136138916,2109.9045350551605,649898,lsrosaDiag,10.10.158.167,2109.9045350551605,12
0.11602323,650,40628,1720024576,checkpoint_000012,True,False,13,a8fa533d,2024-07-03_18-36-16,173.95592141151428,2283.860456466675,649898,lsrosaDiag,10.10.158.167,2283.860456466675,13
0.11266005,700,40628,1720024755,checkpoint_000013,True,False,14,a8fa533d,2024-07-03_18-39-15,178.9735550880432,2462.834011554718,649898,lsrosaDiag,10.10.158.167,2462.834011554718,14
0.10914401,750,40628,1720024929,checkpoint_000014,True,False,15,a8fa533d,2024-07-03_18-42-09,174.34347891807556,2637.1774904727936,649898,lsrosaDiag,10.10.158.167,2637.1774904727936,15
0.108227514,800,40628,1720025113,checkpoint_000015,True,False,16,a8fa533d,2024-07-03_18-45-13,183.89679884910583,2821.0742893218994,649898,lsrosaDiag,10.10.158.167,2821.0742893218994,16
0.103205755,850,40628,1720025290,checkpoint_000016,True,False,17,a8fa533d,2024-07-03_18-48-10,177.11449074745178,2998.188780069351,649898,lsrosaDiag,10.10.158.167,2998.188780069351,17
0.10098334,900,40628,1720025467,checkpoint_000017,True,False,18,a8fa533d,2024-07-03_18-51-07,177.01146578788757,3175.2002458572388,649898,lsrosaDiag,10.10.158.167,3175.2002458572388,18
0.09862616,950,40628,1720025645,checkpoint_000018,True,False,19,a8fa533d,2024-07-03_18-54-05,177.93161296844482,3353.1318588256836,649898,lsrosaDiag,10.10.158.167,3353.1318588256836,19
0.09688212,1000,40628,1720025823,checkpoint_000019,True,True,20,a8fa533d,2024-07-03_18-57-03,178.4492027759552,3531.581061601639,649898,lsrosaDiag,10.10.158.167,3531.581061601639,20
