loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.15089253,50,152852,1720047082,checkpoint_000000,True,False,1,dba768a6,2024-07-04_00-51-22,186.4187786579132,186.4187786579132,661640,lsrosaDiag,10.10.158.167,186.4187786579132,1
0.12996514,100,152852,1720047269,checkpoint_000001,True,False,2,dba768a6,2024-07-04_00-54-29,186.99911832809448,373.4178969860077,661640,lsrosaDiag,10.10.158.167,373.4178969860077,2
0.12357388,150,152852,1720047449,checkpoint_000002,True,False,3,dba768a6,2024-07-04_00-57-29,179.66593766212463,553.0838346481323,661640,lsrosaDiag,10.10.158.167,553.0838346481323,3
0.11855173,200,152852,1720047636,checkpoint_000003,True,False,4,dba768a6,2024-07-04_01-00-36,187.28110337257385,740.3649380207062,661640,lsrosaDiag,10.10.158.167,740.3649380207062,4
0.11180003,250,152852,1720047817,checkpoint_000004,True,False,5,dba768a6,2024-07-04_01-03-37,180.62880659103394,920.9937446117401,661640,lsrosaDiag,10.10.158.167,920.9937446117401,5
0.105930045,300,152852,1720047998,checkpoint_000005,True,False,6,dba768a6,2024-07-04_01-06-38,181.22750616073608,1102.2212507724762,661640,lsrosaDiag,10.10.158.167,1102.2212507724762,6
0.09869389,350,152852,1720048183,checkpoint_000006,True,False,7,dba768a6,2024-07-04_01-09-43,184.61665868759155,1286.8379094600677,661640,lsrosaDiag,10.10.158.167,1286.8379094600677,7
0.093312584,400,152852,1720048371,checkpoint_000007,True,False,8,dba768a6,2024-07-04_01-12-51,188.1735701560974,1475.0114796161652,661640,lsrosaDiag,10.10.158.167,1475.0114796161652,8
0.08808736,450,152852,1720048558,checkpoint_000008,True,False,9,dba768a6,2024-07-04_01-15-58,186.8962380886078,1661.907717704773,661640,lsrosaDiag,10.10.158.167,1661.907717704773,9
0.08359988,500,152852,1720048739,checkpoint_000009,True,False,10,dba768a6,2024-07-04_01-18-59,181.25282049179077,1843.1605381965637,661640,lsrosaDiag,10.10.158.167,1843.1605381965637,10
0.07958315,550,152852,1720048920,checkpoint_000010,True,False,11,dba768a6,2024-07-04_01-22-00,181.21306228637695,2024.3736004829407,661640,lsrosaDiag,10.10.158.167,2024.3736004829407,11
0.077450946,600,152852,1720049106,checkpoint_000011,True,False,12,dba768a6,2024-07-04_01-25-06,185.87756323814392,2210.2511637210846,661640,lsrosaDiag,10.10.158.167,2210.2511637210846,12
0.07506463,650,152852,1720049294,checkpoint_000012,True,False,13,dba768a6,2024-07-04_01-28-14,187.63049173355103,2397.8816554546356,661640,lsrosaDiag,10.10.158.167,2397.8816554546356,13
0.072700374,700,152852,1720049483,checkpoint_000013,True,False,14,dba768a6,2024-07-04_01-31-23,189.03188967704773,2586.9135451316833,661640,lsrosaDiag,10.10.158.167,2586.9135451316833,14
0.07030232,750,152852,1720049669,checkpoint_000014,True,False,15,dba768a6,2024-07-04_01-34-29,186.6609184741974,2773.5744636058807,661640,lsrosaDiag,10.10.158.167,2773.5744636058807,15
0.06842519,800,152852,1720049851,checkpoint_000015,True,False,16,dba768a6,2024-07-04_01-37-31,181.80263710021973,2955.3771007061005,661640,lsrosaDiag,10.10.158.167,2955.3771007061005,16
0.06671462,850,152852,1720050032,checkpoint_000016,True,False,17,dba768a6,2024-07-04_01-40-32,180.43697381019592,3135.8140745162964,661640,lsrosaDiag,10.10.158.167,3135.8140745162964,17
0.06581432,900,152852,1720050217,checkpoint_000017,True,False,18,dba768a6,2024-07-04_01-43-37,185.13640761375427,3320.9504821300507,661640,lsrosaDiag,10.10.158.167,3320.9504821300507,18
0.06408091,950,152852,1720050397,checkpoint_000018,True,False,19,dba768a6,2024-07-04_01-46-37,180.31721019744873,3501.2676923274994,661640,lsrosaDiag,10.10.158.167,3501.2676923274994,19
0.061438788,1000,152852,1720050584,checkpoint_000019,True,True,20,dba768a6,2024-07-04_01-49-44,187.35438013076782,3688.622072458267,661640,lsrosaDiag,10.10.158.167,3688.622072458267,20
