loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.29634517,50,613,1719476025,checkpoint_000000,True,False,1,3549e8c9,2024-06-27_10-13-45,121.08810591697693,121.08810591697693,424032,lsrosaDiag,10.10.158.167,121.08810591697693,1
0.2515763,100,613,1719476145,checkpoint_000001,True,False,2,3549e8c9,2024-06-27_10-15-45,120.00485849380493,241.09296441078186,424032,lsrosaDiag,10.10.158.167,241.09296441078186,2
0.23556085,150,613,1719476264,checkpoint_000002,True,False,3,3549e8c9,2024-06-27_10-17-44,119.23830485343933,360.3312692642212,424032,lsrosaDiag,10.10.158.167,360.3312692642212,3
0.22262812,200,613,1719476385,checkpoint_000003,True,False,4,3549e8c9,2024-06-27_10-19-45,121.18356585502625,481.51483511924744,424032,lsrosaDiag,10.10.158.167,481.51483511924744,4
0.2181158,250,613,1719476506,checkpoint_000004,True,False,5,3549e8c9,2024-06-27_10-21-46,120.46299409866333,601.9778292179108,424032,lsrosaDiag,10.10.158.167,601.9778292179108,5
0.21357515,300,613,1719476623,checkpoint_000005,True,False,6,3549e8c9,2024-06-27_10-23-43,117.27371335029602,719.2515425682068,424032,lsrosaDiag,10.10.158.167,719.2515425682068,6
0.21044156,350,613,1719476744,checkpoint_000006,True,False,7,3549e8c9,2024-06-27_10-25-44,120.53893446922302,839.7904770374298,424032,lsrosaDiag,10.10.158.167,839.7904770374298,7
0.20848683,400,613,1719476862,checkpoint_000007,True,False,8,3549e8c9,2024-06-27_10-27-42,118.73852133750916,958.528998374939,424032,lsrosaDiag,10.10.158.167,958.528998374939,8
0.20632672,450,613,1719476982,checkpoint_000008,True,False,9,3549e8c9,2024-06-27_10-29-42,119.7475745677948,1078.2765729427338,424032,lsrosaDiag,10.10.158.167,1078.2765729427338,9
0.20682359,500,613,1719477103,checkpoint_000009,True,False,10,3549e8c9,2024-06-27_10-31-43,120.82094979286194,1199.0975227355957,424032,lsrosaDiag,10.10.158.167,1199.0975227355957,10
0.20742027,550,613,1719477222,checkpoint_000010,True,False,11,3549e8c9,2024-06-27_10-33-42,118.58397102355957,1317.6814937591553,424032,lsrosaDiag,10.10.158.167,1317.6814937591553,11
0.20285133,600,613,1719477342,checkpoint_000011,True,False,12,3549e8c9,2024-06-27_10-35-42,120.01013326644897,1437.6916270256042,424032,lsrosaDiag,10.10.158.167,1437.6916270256042,12
0.20218506,650,613,1719477462,checkpoint_000012,True,False,13,3549e8c9,2024-06-27_10-37-42,120.06235146522522,1557.7539784908295,424032,lsrosaDiag,10.10.158.167,1557.7539784908295,13
0.19961989,700,613,1719477583,checkpoint_000013,True,False,14,3549e8c9,2024-06-27_10-39-43,120.97553133964539,1678.7295098304749,424032,lsrosaDiag,10.10.158.167,1678.7295098304749,14
0.20169826,750,613,1719477702,checkpoint_000014,True,False,15,3549e8c9,2024-06-27_10-41-42,119.49333643913269,1798.2228462696075,424032,lsrosaDiag,10.10.158.167,1798.2228462696075,15
0.19870837,800,613,1719477822,checkpoint_000015,True,False,16,3549e8c9,2024-06-27_10-43-42,119.97099995613098,1918.1938462257385,424032,lsrosaDiag,10.10.158.167,1918.1938462257385,16
0.19964214,850,613,1719477942,checkpoint_000016,True,False,17,3549e8c9,2024-06-27_10-45-42,120.04957413673401,2038.2434203624725,424032,lsrosaDiag,10.10.158.167,2038.2434203624725,17
0.20133145,900,613,1719478061,checkpoint_000017,True,False,18,3549e8c9,2024-06-27_10-47-41,119.10189461708069,2157.345314979553,424032,lsrosaDiag,10.10.158.167,2157.345314979553,18
0.20097773,950,613,1719478183,checkpoint_000018,True,False,19,3549e8c9,2024-06-27_10-49-43,121.60727834701538,2278.9525933265686,424032,lsrosaDiag,10.10.158.167,2278.9525933265686,19
0.19861074,1000,613,1719478301,checkpoint_000019,True,False,20,3549e8c9,2024-06-27_10-51-41,118.53309369087219,2397.485687017441,424032,lsrosaDiag,10.10.158.167,2397.485687017441,20
0.19761078,1050,613,1719478422,checkpoint_000020,True,False,21,3549e8c9,2024-06-27_10-53-42,120.90391945838928,2518.38960647583,424032,lsrosaDiag,10.10.158.167,2518.38960647583,21
0.19824013,1100,613,1719478543,checkpoint_000021,True,False,22,3549e8c9,2024-06-27_10-55-43,121.23441815376282,2639.624024629593,424032,lsrosaDiag,10.10.158.167,2639.624024629593,22
0.20068541,1150,613,1719478662,checkpoint_000022,True,False,23,3549e8c9,2024-06-27_10-57-42,118.1433515548706,2757.7673761844635,424032,lsrosaDiag,10.10.158.167,2757.7673761844635,23
0.20106149,1200,613,1719478782,checkpoint_000023,True,False,24,3549e8c9,2024-06-27_10-59-42,120.67310905456543,2878.440485239029,424032,lsrosaDiag,10.10.158.167,2878.440485239029,24
0.19961223,1250,613,1719478905,checkpoint_000024,True,False,25,3549e8c9,2024-06-27_11-01-45,122.72646355628967,3001.1669487953186,424032,lsrosaDiag,10.10.158.167,3001.1669487953186,25
0.19723308,1300,613,1719479024,checkpoint_000025,True,False,26,3549e8c9,2024-06-27_11-03-44,118.45178890228271,3119.6187376976013,424032,lsrosaDiag,10.10.158.167,3119.6187376976013,26
0.19711505,1350,613,1719479145,checkpoint_000026,True,False,27,3549e8c9,2024-06-27_11-05-45,121.65797924995422,3241.2767169475555,424032,lsrosaDiag,10.10.158.167,3241.2767169475555,27
0.1992499,1400,613,1719479264,checkpoint_000027,True,False,28,3549e8c9,2024-06-27_11-07-44,119.26075339317322,3360.5374703407288,424032,lsrosaDiag,10.10.158.167,3360.5374703407288,28
0.1981979,1450,613,1719479384,checkpoint_000028,True,False,29,3549e8c9,2024-06-27_11-09-44,119.11655902862549,3479.6540293693542,424032,lsrosaDiag,10.10.158.167,3479.6540293693542,29
