loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.27218208,50,7285,1719439268,checkpoint_000000,True,False,1,6376248f,2024-06-27_00-01-08,125.66487121582031,125.66487121582031,401764,lsrosaDiag,10.10.158.167,125.66487121582031,1
0.23685518,100,7285,1719439388,checkpoint_000001,True,False,2,6376248f,2024-06-27_00-03-08,120.02988266944885,245.69475388526917,401764,lsrosaDiag,10.10.158.167,245.69475388526917,2
0.22415416,150,7285,1719439511,checkpoint_000002,True,False,3,6376248f,2024-06-27_00-05-11,123.32500910758972,369.0197629928589,401764,lsrosaDiag,10.10.158.167,369.0197629928589,3
0.22110617,200,7285,1719439631,checkpoint_000003,True,False,4,6376248f,2024-06-27_00-07-11,120.1361780166626,489.1559410095215,401764,lsrosaDiag,10.10.158.167,489.1559410095215,4
0.21673787,250,7285,1719439755,checkpoint_000004,True,False,5,6376248f,2024-06-27_00-09-15,123.61571502685547,612.771656036377,401764,lsrosaDiag,10.10.158.167,612.771656036377,5
0.21199207,300,7285,1719439876,checkpoint_000005,True,False,6,6376248f,2024-06-27_00-11-16,121.26674222946167,734.0383982658386,401764,lsrosaDiag,10.10.158.167,734.0383982658386,6
0.20941713,350,7285,1719440000,checkpoint_000006,True,False,7,6376248f,2024-06-27_00-13-20,123.48231172561646,857.5207099914551,401764,lsrosaDiag,10.10.158.167,857.5207099914551,7
0.20986333,400,7285,1719440121,checkpoint_000007,True,False,8,6376248f,2024-06-27_00-15-21,121.2507221698761,978.7714321613312,401764,lsrosaDiag,10.10.158.167,978.7714321613312,8
0.20628782,450,7285,1719440243,checkpoint_000008,True,False,9,6376248f,2024-06-27_00-17-23,121.62731790542603,1100.3987500667572,401764,lsrosaDiag,10.10.158.167,1100.3987500667572,9
0.20112415,500,7285,1719440365,checkpoint_000009,True,False,10,6376248f,2024-06-27_00-19-25,122.7276451587677,1223.126395225525,401764,lsrosaDiag,10.10.158.167,1223.126395225525,10
0.20315734,550,7285,1719440485,checkpoint_000010,True,False,11,6376248f,2024-06-27_00-21-25,119.14442706108093,1342.2708222866058,401764,lsrosaDiag,10.10.158.167,1342.2708222866058,11
0.20670752,600,7285,1719440606,checkpoint_000011,True,False,12,6376248f,2024-06-27_00-23-26,121.80404806137085,1464.0748703479767,401764,lsrosaDiag,10.10.158.167,1464.0748703479767,12
0.20290756,650,7285,1719440728,checkpoint_000012,True,False,13,6376248f,2024-06-27_00-25-28,121.9089994430542,1585.9838697910309,401764,lsrosaDiag,10.10.158.167,1585.9838697910309,13
0.20264299,700,7285,1719440851,checkpoint_000013,True,False,14,6376248f,2024-06-27_00-27-31,122.92918729782104,1708.913057088852,401764,lsrosaDiag,10.10.158.167,1708.913057088852,14
0.20033243,750,7285,1719440976,checkpoint_000014,True,False,15,6376248f,2024-06-27_00-29-36,124.46165609359741,1833.3747131824493,401764,lsrosaDiag,10.10.158.167,1833.3747131824493,15
0.19917874,800,7285,1719441098,checkpoint_000015,True,False,16,6376248f,2024-06-27_00-31-38,122.42206597328186,1955.7967791557312,401764,lsrosaDiag,10.10.158.167,1955.7967791557312,16
0.19963814,850,7285,1719441222,checkpoint_000016,True,False,17,6376248f,2024-06-27_00-33-42,123.5156991481781,2079.3124783039093,401764,lsrosaDiag,10.10.158.167,2079.3124783039093,17
0.1966295,900,7285,1719441342,checkpoint_000017,True,False,18,6376248f,2024-06-27_00-35-42,120.6050033569336,2199.917481660843,401764,lsrosaDiag,10.10.158.167,2199.917481660843,18
0.19547787,950,7285,1719441466,checkpoint_000018,True,False,19,6376248f,2024-06-27_00-37-46,123.7727255821228,2323.6902072429657,401764,lsrosaDiag,10.10.158.167,2323.6902072429657,19
0.19780351,1000,7285,1719441586,checkpoint_000019,True,False,20,6376248f,2024-06-27_00-39-46,119.62158370018005,2443.3117909431458,401764,lsrosaDiag,10.10.158.167,2443.3117909431458,20
0.19433321,1050,7285,1719441710,checkpoint_000020,True,False,21,6376248f,2024-06-27_00-41-50,124.00524497032166,2567.3170359134674,401764,lsrosaDiag,10.10.158.167,2567.3170359134674,21
0.19549456,1100,7285,1719441830,checkpoint_000021,True,False,22,6376248f,2024-06-27_00-43-50,120.19656801223755,2687.513603925705,401764,lsrosaDiag,10.10.158.167,2687.513603925705,22
0.19440298,1150,7285,1719441952,checkpoint_000022,True,False,23,6376248f,2024-06-27_00-45-52,122.36393451690674,2809.8775384426117,401764,lsrosaDiag,10.10.158.167,2809.8775384426117,23
0.19570197,1200,7285,1719442073,checkpoint_000023,True,False,24,6376248f,2024-06-27_00-47-53,120.658616065979,2930.5361545085907,401764,lsrosaDiag,10.10.158.167,2930.5361545085907,24
