loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.55591786,50,6037,1719465281,checkpoint_000000,True,False,1,675529f3,2024-06-27_07-14-41,122.24177145957947,122.24177145957947,419640,lsrosaDiag,10.10.158.167,122.24177145957947,1
0.36856395,100,6037,1719465401,checkpoint_000001,True,False,2,675529f3,2024-06-27_07-16-41,120.28120994567871,242.52298140525818,419640,lsrosaDiag,10.10.158.167,242.52298140525818,2
0.29536417,150,6037,1719465519,checkpoint_000002,True,False,3,675529f3,2024-06-27_07-18-39,117.38929414749146,359.91227555274963,419640,lsrosaDiag,10.10.158.167,359.91227555274963,3
0.27093068,200,6037,1719465639,checkpoint_000003,True,False,4,675529f3,2024-06-27_07-20-39,119.98706912994385,479.8993446826935,419640,lsrosaDiag,10.10.158.167,479.8993446826935,4
0.25672895,250,6037,1719465759,checkpoint_000004,True,False,5,675529f3,2024-06-27_07-22-39,120.0351927280426,599.9345374107361,419640,lsrosaDiag,10.10.158.167,599.9345374107361,5
0.2505432,300,6037,1719465876,checkpoint_000005,True,False,6,675529f3,2024-06-27_07-24-36,117.53232979774475,717.4668672084808,419640,lsrosaDiag,10.10.158.167,717.4668672084808,6
0.2502995,350,6037,1719465997,checkpoint_000006,True,False,7,675529f3,2024-06-27_07-26-37,121.19904685020447,838.6659140586853,419640,lsrosaDiag,10.10.158.167,838.6659140586853,7
0.2490144,400,6037,1719466115,checkpoint_000007,True,False,8,675529f3,2024-06-27_07-28-35,117.74263381958008,956.4085478782654,419640,lsrosaDiag,10.10.158.167,956.4085478782654,8
0.24578495,450,6037,1719466235,checkpoint_000008,True,False,9,675529f3,2024-06-27_07-30-35,120.06702160835266,1076.475569486618,419640,lsrosaDiag,10.10.158.167,1076.475569486618,9
0.24171214,500,6037,1719466356,checkpoint_000009,True,False,10,675529f3,2024-06-27_07-32-36,120.61482000350952,1197.0903894901276,419640,lsrosaDiag,10.10.158.167,1197.0903894901276,10
0.24116048,550,6037,1719466475,checkpoint_000010,True,False,11,675529f3,2024-06-27_07-34-35,118.74843287467957,1315.8388223648071,419640,lsrosaDiag,10.10.158.167,1315.8388223648071,11
0.24068408,600,6037,1719466595,checkpoint_000011,True,False,12,675529f3,2024-06-27_07-36-35,120.17800617218018,1436.0168285369873,419640,lsrosaDiag,10.10.158.167,1436.0168285369873,12
0.23888838,650,6037,1719466715,checkpoint_000012,True,False,13,675529f3,2024-06-27_07-38-35,120.72612857818604,1556.7429571151733,419640,lsrosaDiag,10.10.158.167,1556.7429571151733,13
0.23781219,700,6037,1719466834,checkpoint_000013,True,False,14,675529f3,2024-06-27_07-40-34,118.5934202671051,1675.3363773822784,419640,lsrosaDiag,10.10.158.167,1675.3363773822784,14
0.23394242,750,6037,1719466954,checkpoint_000014,True,False,15,675529f3,2024-06-27_07-42-34,120.13456153869629,1795.4709389209747,419640,lsrosaDiag,10.10.158.167,1795.4709389209747,15
0.23241329,800,6037,1719467074,checkpoint_000015,True,False,16,675529f3,2024-06-27_07-44-34,119.8413941860199,1915.3123331069946,419640,lsrosaDiag,10.10.158.167,1915.3123331069946,16
0.22908032,850,6037,1719467193,checkpoint_000016,True,False,17,675529f3,2024-06-27_07-46-33,118.73698115348816,2034.0493142604828,419640,lsrosaDiag,10.10.158.167,2034.0493142604828,17
0.23071735,900,6037,1719467313,checkpoint_000017,True,False,18,675529f3,2024-06-27_07-48-33,120.143718957901,2154.193033218384,419640,lsrosaDiag,10.10.158.167,2154.193033218384,18
0.23053288,950,6037,1719467432,checkpoint_000018,True,False,19,675529f3,2024-06-27_07-50-32,118.64765810966492,2272.8406913280487,419640,lsrosaDiag,10.10.158.167,2272.8406913280487,19
0.22830479,1000,6037,1719467552,checkpoint_000019,True,True,20,675529f3,2024-06-27_07-52-32,120.60032796859741,2393.441019296646,419640,lsrosaDiag,10.10.158.167,2393.441019296646,20
