loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.06610562,50,2406,1719976427,checkpoint_000000,True,False,1,c9110bb7,2024-07-03_05-13-47,99.66076397895813,99.66076397895813,629242,lsrosaDiag,10.10.158.167,99.66076397895813,1
0.050042264,100,2406,1719976525,checkpoint_000001,True,False,2,c9110bb7,2024-07-03_05-15-25,98.17190885543823,197.83267283439636,629242,lsrosaDiag,10.10.158.167,197.83267283439636,2
0.043056644,150,2406,1719976623,checkpoint_000002,True,False,3,c9110bb7,2024-07-03_05-17-03,97.69677972793579,295.52945256233215,629242,lsrosaDiag,10.10.158.167,295.52945256233215,3
0.039601013,200,2406,1719976719,checkpoint_000003,True,False,4,c9110bb7,2024-07-03_05-18-39,96.22240686416626,391.7518594264984,629242,lsrosaDiag,10.10.158.167,391.7518594264984,4
0.034666486,250,2406,1719976817,checkpoint_000004,True,False,5,c9110bb7,2024-07-03_05-20-17,97.79200196266174,489.54386138916016,629242,lsrosaDiag,10.10.158.167,489.54386138916016,5
0.03103078,300,2406,1719976915,checkpoint_000005,True,False,6,c9110bb7,2024-07-03_05-21-55,97.71575140953064,587.2596127986908,629242,lsrosaDiag,10.10.158.167,587.2596127986908,6
0.027807046,350,2406,1719977012,checkpoint_000006,True,False,7,c9110bb7,2024-07-03_05-23-32,97.51986742019653,684.7794802188873,629242,lsrosaDiag,10.10.158.167,684.7794802188873,7
0.024487736,400,2406,1719977110,checkpoint_000007,True,False,8,c9110bb7,2024-07-03_05-25-10,97.4624137878418,782.2418940067291,629242,lsrosaDiag,10.10.158.167,782.2418940067291,8
0.021977639,450,2406,1719977207,checkpoint_000008,True,False,9,c9110bb7,2024-07-03_05-26-47,97.0082733631134,879.2501673698425,629242,lsrosaDiag,10.10.158.167,879.2501673698425,9
0.020756735,500,2406,1719977305,checkpoint_000009,True,False,10,c9110bb7,2024-07-03_05-28-25,98.06682443618774,977.3169918060303,629242,lsrosaDiag,10.10.158.167,977.3169918060303,10
0.019915018,550,2406,1719977401,checkpoint_000010,True,False,11,c9110bb7,2024-07-03_05-30-01,96.59498262405396,1073.9119744300842,629242,lsrosaDiag,10.10.158.167,1073.9119744300842,11
0.0184199,600,2406,1719977499,checkpoint_000011,True,False,12,c9110bb7,2024-07-03_05-31-39,97.91168904304504,1171.8236634731293,629242,lsrosaDiag,10.10.158.167,1171.8236634731293,12
0.017881567,650,2406,1719977596,checkpoint_000012,True,False,13,c9110bb7,2024-07-03_05-33-16,96.92805337905884,1268.751716852188,629242,lsrosaDiag,10.10.158.167,1268.751716852188,13
0.018157542,700,2406,1719977695,checkpoint_000013,True,False,14,c9110bb7,2024-07-03_05-34-55,98.92237281799316,1367.6740896701813,629242,lsrosaDiag,10.10.158.167,1367.6740896701813,14
0.016496068,750,2406,1719977794,checkpoint_000014,True,False,15,c9110bb7,2024-07-03_05-36-34,98.62439560890198,1466.2984852790833,629242,lsrosaDiag,10.10.158.167,1466.2984852790833,15
0.016443564,800,2406,1719977891,checkpoint_000015,True,False,16,c9110bb7,2024-07-03_05-38-11,96.83040285110474,1563.128888130188,629242,lsrosaDiag,10.10.158.167,1563.128888130188,16
0.01617464,850,2406,1719977987,checkpoint_000016,True,False,17,c9110bb7,2024-07-03_05-39-47,96.10272002220154,1659.2316081523895,629242,lsrosaDiag,10.10.158.167,1659.2316081523895,17
0.015891066,900,2406,1719978083,checkpoint_000017,True,False,18,c9110bb7,2024-07-03_05-41-23,96.64334750175476,1755.8749556541443,629242,lsrosaDiag,10.10.158.167,1755.8749556541443,18
0.016194327,950,2406,1719978180,checkpoint_000018,True,False,19,c9110bb7,2024-07-03_05-43-00,96.38914561271667,1852.264101266861,629242,lsrosaDiag,10.10.158.167,1852.264101266861,19
0.01589701,1000,2406,1719978278,checkpoint_000019,True,False,20,c9110bb7,2024-07-03_05-44-38,98.33269882202148,1950.5968000888824,629242,lsrosaDiag,10.10.158.167,1950.5968000888824,20
0.015644195,1050,2406,1719978374,checkpoint_000020,True,False,21,c9110bb7,2024-07-03_05-46-14,96.07846736907959,2046.675267457962,629242,lsrosaDiag,10.10.158.167,2046.675267457962,21
0.015465486,1100,2406,1719978472,checkpoint_000021,True,False,22,c9110bb7,2024-07-03_05-47-52,97.44604229927063,2144.1213097572327,629242,lsrosaDiag,10.10.158.167,2144.1213097572327,22
0.015362343,1150,2406,1719978571,checkpoint_000022,True,False,23,c9110bb7,2024-07-03_05-49-31,99.71628713607788,2243.8375968933105,629242,lsrosaDiag,10.10.158.167,2243.8375968933105,23
0.014702613,1200,2406,1719978669,checkpoint_000023,True,False,24,c9110bb7,2024-07-03_05-51-09,97.68349957466125,2341.521096467972,629242,lsrosaDiag,10.10.158.167,2341.521096467972,24
0.014729813,1250,2406,1719978766,checkpoint_000024,True,False,25,c9110bb7,2024-07-03_05-52-46,96.69597506523132,2438.217071533203,629242,lsrosaDiag,10.10.158.167,2438.217071533203,25
0.014153962,1300,2406,1719978865,checkpoint_000025,True,False,26,c9110bb7,2024-07-03_05-54-25,98.86565804481506,2537.082729578018,629242,lsrosaDiag,10.10.158.167,2537.082729578018,26
0.013875191,1350,2406,1719978962,checkpoint_000026,True,False,27,c9110bb7,2024-07-03_05-56-02,97.0263032913208,2634.109032869339,629242,lsrosaDiag,10.10.158.167,2634.109032869339,27
0.013493131,1400,2406,1719979059,checkpoint_000027,True,False,28,c9110bb7,2024-07-03_05-57-39,97.62406611442566,2731.7330989837646,629242,lsrosaDiag,10.10.158.167,2731.7330989837646,28
0.013657073,1450,2406,1719979157,checkpoint_000028,True,False,29,c9110bb7,2024-07-03_05-59-17,97.36936283111572,2829.1024618148804,629242,lsrosaDiag,10.10.158.167,2829.1024618148804,29
0.014001794,1500,2406,1719979257,checkpoint_000029,True,False,30,c9110bb7,2024-07-03_06-00-57,100.2858350276947,2929.388296842575,629242,lsrosaDiag,10.10.158.167,2929.388296842575,30
0.014016384,1550,2406,1719979355,checkpoint_000030,True,False,31,c9110bb7,2024-07-03_06-02-35,98.29738187789917,3027.6856787204742,629242,lsrosaDiag,10.10.158.167,3027.6856787204742,31
0.014119269,1600,2406,1719979453,checkpoint_000031,True,False,32,c9110bb7,2024-07-03_06-04-13,97.8151535987854,3125.5008323192596,629242,lsrosaDiag,10.10.158.167,3125.5008323192596,32
0.013152731,1650,2406,1719979551,checkpoint_000032,True,False,33,c9110bb7,2024-07-03_06-05-51,97.63511562347412,3223.1359479427338,629242,lsrosaDiag,10.10.158.167,3223.1359479427338,33
0.012999112,1700,2406,1719979648,checkpoint_000033,True,False,34,c9110bb7,2024-07-03_06-07-28,97.08180832862854,3320.2177562713623,629242,lsrosaDiag,10.10.158.167,3320.2177562713623,34
0.013345033,1750,2406,1719979746,checkpoint_000034,True,False,35,c9110bb7,2024-07-03_06-09-06,98.16462826728821,3418.3823845386505,629242,lsrosaDiag,10.10.158.167,3418.3823845386505,35
0.013467526,1800,2406,1719979844,checkpoint_000035,True,False,36,c9110bb7,2024-07-03_06-10-44,97.84251046180725,3516.2248950004578,629242,lsrosaDiag,10.10.158.167,3516.2248950004578,36
0.013632445,1850,2406,1719979942,checkpoint_000036,True,False,37,c9110bb7,2024-07-03_06-12-22,97.83802032470703,3614.062915325165,629242,lsrosaDiag,10.10.158.167,3614.062915325165,37
0.012839544,1900,2406,1719980039,checkpoint_000037,True,False,38,c9110bb7,2024-07-03_06-13-59,97.8708884716034,3711.933803796768,629242,lsrosaDiag,10.10.158.167,3711.933803796768,38
0.012451449,1950,2406,1719980136,checkpoint_000038,True,False,39,c9110bb7,2024-07-03_06-15-36,96.86775946617126,3808.8015632629395,629242,lsrosaDiag,10.10.158.167,3808.8015632629395,39
0.011729115,2000,2406,1719980234,checkpoint_000039,True,False,40,c9110bb7,2024-07-03_06-17-14,97.93849396705627,3906.7400572299957,629242,lsrosaDiag,10.10.158.167,3906.7400572299957,40
