loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.08248414,50,1510,1719939967,checkpoint_000000,True,False,1,ce4123be,2024-07-02_19-06-07,101.88064193725586,101.88064193725586,613627,lsrosaDiag,10.10.158.167,101.88064193725586,1
0.06577952,100,1510,1719940069,checkpoint_000001,True,False,2,ce4123be,2024-07-02_19-07-49,101.12492728233337,203.00556921958923,613627,lsrosaDiag,10.10.158.167,203.00556921958923,2
0.059805524,150,1510,1719940170,checkpoint_000002,True,False,3,ce4123be,2024-07-02_19-09-30,101.40035796165466,304.4059271812439,613627,lsrosaDiag,10.10.158.167,304.4059271812439,3
0.05572501,200,1510,1719940271,checkpoint_000003,True,False,4,ce4123be,2024-07-02_19-11-11,101.43276000022888,405.8386871814728,613627,lsrosaDiag,10.10.158.167,405.8386871814728,4
0.052073907,250,1510,1719940372,checkpoint_000004,True,False,5,ce4123be,2024-07-02_19-12-52,100.73535251617432,506.5740396976471,613627,lsrosaDiag,10.10.158.167,506.5740396976471,5
0.049315467,300,1510,1719940473,checkpoint_000005,True,False,6,ce4123be,2024-07-02_19-14-33,101.11384272575378,607.6878824234009,613627,lsrosaDiag,10.10.158.167,607.6878824234009,6
0.048300233,350,1510,1719940574,checkpoint_000006,True,False,7,ce4123be,2024-07-02_19-16-14,100.85142183303833,708.5393042564392,613627,lsrosaDiag,10.10.158.167,708.5393042564392,7
0.04511544,400,1510,1719940675,checkpoint_000007,True,False,8,ce4123be,2024-07-02_19-17-55,100.58695936203003,809.1262636184692,613627,lsrosaDiag,10.10.158.167,809.1262636184692,8
0.04322526,450,1510,1719940776,checkpoint_000008,True,False,9,ce4123be,2024-07-02_19-19-36,101.30338621139526,910.4296498298645,613627,lsrosaDiag,10.10.158.167,910.4296498298645,9
0.042171553,500,1510,1719940877,checkpoint_000009,True,False,10,ce4123be,2024-07-02_19-21-17,101.26815819740295,1011.6978080272675,613627,lsrosaDiag,10.10.158.167,1011.6978080272675,10
0.040272783,550,1510,1719940977,checkpoint_000010,True,False,11,ce4123be,2024-07-02_19-22-57,100.00158309936523,1111.6993911266327,613627,lsrosaDiag,10.10.158.167,1111.6993911266327,11
0.038229138,600,1510,1719941080,checkpoint_000011,True,False,12,ce4123be,2024-07-02_19-24-40,102.51260924339294,1214.2120003700256,613627,lsrosaDiag,10.10.158.167,1214.2120003700256,12
0.03696468,650,1510,1719941181,checkpoint_000012,True,False,13,ce4123be,2024-07-02_19-26-21,101.12162375450134,1315.333624124527,613627,lsrosaDiag,10.10.158.167,1315.333624124527,13
0.035173066,700,1510,1719941282,checkpoint_000013,True,False,14,ce4123be,2024-07-02_19-28-02,101.03005194664001,1416.363676071167,613627,lsrosaDiag,10.10.158.167,1416.363676071167,14
0.033872444,750,1510,1719941383,checkpoint_000014,True,False,15,ce4123be,2024-07-02_19-29-43,101.09423518180847,1517.4579112529755,613627,lsrosaDiag,10.10.158.167,1517.4579112529755,15
0.032428995,800,1510,1719941483,checkpoint_000015,True,False,16,ce4123be,2024-07-02_19-31-23,99.81056308746338,1617.2684743404388,613627,lsrosaDiag,10.10.158.167,1617.2684743404388,16
0.03132259,850,1510,1719941584,checkpoint_000016,True,False,17,ce4123be,2024-07-02_19-33-04,101.41428923606873,1718.6827635765076,613627,lsrosaDiag,10.10.158.167,1718.6827635765076,17
0.029967595,900,1510,1719941684,checkpoint_000017,True,False,18,ce4123be,2024-07-02_19-34-44,100.19140148162842,1818.874165058136,613627,lsrosaDiag,10.10.158.167,1818.874165058136,18
0.029569367,950,1510,1719941786,checkpoint_000018,True,False,19,ce4123be,2024-07-02_19-36-26,101.0513060092926,1919.9254710674286,613627,lsrosaDiag,10.10.158.167,1919.9254710674286,19
0.028649036,1000,1510,1719941887,checkpoint_000019,True,True,20,ce4123be,2024-07-02_19-38-07,101.69488859176636,2021.620359659195,613627,lsrosaDiag,10.10.158.167,2021.620359659195,20
