loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.08618535,50,2436,1720464015,checkpoint_000000,True,False,1,9ddeb77b,2024-07-08_20-40-15,121.13890194892883,121.13890194892883,831091,lsrosaDiag,10.10.158.167,121.13890194892883,1
0.07088479,100,2436,1720464141,checkpoint_000001,True,False,2,9ddeb77b,2024-07-08_20-42-21,125.35230541229248,246.4912073612213,831091,lsrosaDiag,10.10.158.167,246.4912073612213,2
0.06376792,150,2436,1720464263,checkpoint_000002,True,False,3,9ddeb77b,2024-07-08_20-44-23,122.1034414768219,368.5946488380432,831091,lsrosaDiag,10.10.158.167,368.5946488380432,3
0.05846109,200,2436,1720464385,checkpoint_000003,True,False,4,9ddeb77b,2024-07-08_20-46-25,122.27759599685669,490.8722448348999,831091,lsrosaDiag,10.10.158.167,490.8722448348999,4
0.054676343,250,2436,1720464510,checkpoint_000004,True,False,5,9ddeb77b,2024-07-08_20-48-30,124.9049699306488,615.7772147655487,831091,lsrosaDiag,10.10.158.167,615.7772147655487,5
0.049852777,300,2436,1720464629,checkpoint_000005,True,False,6,9ddeb77b,2024-07-08_20-50-29,118.86840081214905,734.6456155776978,831091,lsrosaDiag,10.10.158.167,734.6456155776978,6
0.046990454,350,2436,1720464754,checkpoint_000006,True,False,7,9ddeb77b,2024-07-08_20-52-34,124.54835486412048,859.1939704418182,831091,lsrosaDiag,10.10.158.167,859.1939704418182,7
0.044708747,400,2436,1720464876,checkpoint_000007,True,False,8,9ddeb77b,2024-07-08_20-54-36,122.82583594322205,982.0198063850403,831091,lsrosaDiag,10.10.158.167,982.0198063850403,8
0.042414505,450,2436,1720465000,checkpoint_000008,True,False,9,9ddeb77b,2024-07-08_20-56-40,123.61867570877075,1105.638482093811,831091,lsrosaDiag,10.10.158.167,1105.638482093811,9
0.040169325,500,2436,1720465120,checkpoint_000009,True,False,10,9ddeb77b,2024-07-08_20-58-40,120.00563645362854,1225.6441185474396,831091,lsrosaDiag,10.10.158.167,1225.6441185474396,10
0.038966235,550,2436,1720465240,checkpoint_000010,True,False,11,9ddeb77b,2024-07-08_21-00-40,119.92031073570251,1345.564429283142,831091,lsrosaDiag,10.10.158.167,1345.564429283142,11
0.036829345,600,2436,1720465363,checkpoint_000011,True,False,12,9ddeb77b,2024-07-08_21-02-43,123.52835536003113,1469.0927846431732,831091,lsrosaDiag,10.10.158.167,1469.0927846431732,12
0.036635876,650,2436,1720465482,checkpoint_000012,True,False,13,9ddeb77b,2024-07-08_21-04-42,118.22859048843384,1587.321375131607,831091,lsrosaDiag,10.10.158.167,1587.321375131607,13
0.035083245,700,2436,1720465605,checkpoint_000013,True,False,14,9ddeb77b,2024-07-08_21-06-45,123.49172806739807,1710.8131031990051,831091,lsrosaDiag,10.10.158.167,1710.8131031990051,14
0.034020804,750,2436,1720465727,checkpoint_000014,True,False,15,9ddeb77b,2024-07-08_21-08-47,121.55119895935059,1832.3643021583557,831091,lsrosaDiag,10.10.158.167,1832.3643021583557,15
0.032947157,800,2436,1720465849,checkpoint_000015,True,False,16,9ddeb77b,2024-07-08_21-10-49,122.1842999458313,1954.548602104187,831091,lsrosaDiag,10.10.158.167,1954.548602104187,16
0.031872824,850,2436,1720465970,checkpoint_000016,True,False,17,9ddeb77b,2024-07-08_21-12-50,121.18380093574524,2075.7324030399323,831091,lsrosaDiag,10.10.158.167,2075.7324030399323,17
0.030289728,900,2436,1720466092,checkpoint_000017,True,False,18,9ddeb77b,2024-07-08_21-14-52,122.16019082069397,2197.892593860626,831091,lsrosaDiag,10.10.158.167,2197.892593860626,18
0.029462302,950,2436,1720466213,checkpoint_000018,True,False,19,9ddeb77b,2024-07-08_21-16-53,120.58959078788757,2318.482184648514,831091,lsrosaDiag,10.10.158.167,2318.482184648514,19
0.02888233,1000,2436,1720466333,checkpoint_000019,True,True,20,9ddeb77b,2024-07-08_21-18-53,120.45748496055603,2438.93966960907,831091,lsrosaDiag,10.10.158.167,2438.93966960907,20
