loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.5096184,50,13580,1719734139,checkpoint_000000,True,False,1,2c3f331b,2024-06-30_09-55-39,112.14264273643494,112.14264273643494,529147,lsrosaDiag,10.10.158.167,112.14264273643494,1
0.42199832,100,13580,1719734252,checkpoint_000001,True,False,2,2c3f331b,2024-06-30_09-57-32,113.30789947509766,225.4505422115326,529147,lsrosaDiag,10.10.158.167,225.4505422115326,2
0.34550315,150,13580,1719734364,checkpoint_000002,True,False,3,2c3f331b,2024-06-30_09-59-24,112.09165954589844,337.54220175743103,529147,lsrosaDiag,10.10.158.167,337.54220175743103,3
0.2884751,200,13580,1719734479,checkpoint_000003,True,False,4,2c3f331b,2024-06-30_10-01-19,114.5932137966156,452.13541555404663,529147,lsrosaDiag,10.10.158.167,452.13541555404663,4
0.24586758,250,13580,1719734592,checkpoint_000004,True,False,5,2c3f331b,2024-06-30_10-03-12,113.3841507434845,565.5195662975311,529147,lsrosaDiag,10.10.158.167,565.5195662975311,5
0.21593514,300,13580,1719734703,checkpoint_000005,True,False,6,2c3f331b,2024-06-30_10-05-03,110.60272455215454,676.1222908496857,529147,lsrosaDiag,10.10.158.167,676.1222908496857,6
0.19987024,350,13580,1719734813,checkpoint_000006,True,False,7,2c3f331b,2024-06-30_10-06-53,110.27599382400513,786.3982846736908,529147,lsrosaDiag,10.10.158.167,786.3982846736908,7
0.18842578,400,13580,1719734925,checkpoint_000007,True,False,8,2c3f331b,2024-06-30_10-08-45,112.22617816925049,898.6244628429413,529147,lsrosaDiag,10.10.158.167,898.6244628429413,8
0.17920485,450,13580,1719735039,checkpoint_000008,True,False,9,2c3f331b,2024-06-30_10-10-39,113.6934962272644,1012.3179590702057,529147,lsrosaDiag,10.10.158.167,1012.3179590702057,9
0.17348185,500,13580,1719735152,checkpoint_000009,True,False,10,2c3f331b,2024-06-30_10-12-32,113.17343044281006,1125.4913895130157,529147,lsrosaDiag,10.10.158.167,1125.4913895130157,10
0.17118242,550,13580,1719735265,checkpoint_000010,True,False,11,2c3f331b,2024-06-30_10-14-25,112.54447984695435,1238.03586935997,529147,lsrosaDiag,10.10.158.167,1238.03586935997,11
0.16865371,600,13580,1719735377,checkpoint_000011,True,False,12,2c3f331b,2024-06-30_10-16-17,112.44318222999573,1350.4790515899658,529147,lsrosaDiag,10.10.158.167,1350.4790515899658,12
0.16649148,650,13580,1719735491,checkpoint_000012,True,False,13,2c3f331b,2024-06-30_10-18-11,113.56039476394653,1464.0394463539124,529147,lsrosaDiag,10.10.158.167,1464.0394463539124,13
0.16835204,700,13580,1719735602,checkpoint_000013,True,False,14,2c3f331b,2024-06-30_10-20-02,111.236093044281,1575.2755393981934,529147,lsrosaDiag,10.10.158.167,1575.2755393981934,14
0.16475476,750,13580,1719735715,checkpoint_000014,True,False,15,2c3f331b,2024-06-30_10-21-55,112.49787783622742,1687.7734172344208,529147,lsrosaDiag,10.10.158.167,1687.7734172344208,15
0.16133335,800,13580,1719735828,checkpoint_000015,True,False,16,2c3f331b,2024-06-30_10-23-48,113.72825217247009,1801.5016694068909,529147,lsrosaDiag,10.10.158.167,1801.5016694068909,16
0.1625248,850,13580,1719735940,checkpoint_000016,True,False,17,2c3f331b,2024-06-30_10-25-40,111.66691064834595,1913.1685800552368,529147,lsrosaDiag,10.10.158.167,1913.1685800552368,17
0.16139714,900,13580,1719736052,checkpoint_000017,True,False,18,2c3f331b,2024-06-30_10-27-32,111.85371208190918,2025.022292137146,529147,lsrosaDiag,10.10.158.167,2025.022292137146,18
0.1603233,950,13580,1719736165,checkpoint_000018,True,False,19,2c3f331b,2024-06-30_10-29-25,112.84224319458008,2137.864535331726,529147,lsrosaDiag,10.10.158.167,2137.864535331726,19
0.1594441,1000,13580,1719736277,checkpoint_000019,True,False,20,2c3f331b,2024-06-30_10-31-17,112.68757891654968,2250.5521142482758,529147,lsrosaDiag,10.10.158.167,2250.5521142482758,20
0.15787096,1050,13580,1719736389,checkpoint_000020,True,False,21,2c3f331b,2024-06-30_10-33-09,111.36933588981628,2361.921450138092,529147,lsrosaDiag,10.10.158.167,2361.921450138092,21
0.15743956,1100,13580,1719736501,checkpoint_000021,True,False,22,2c3f331b,2024-06-30_10-35-01,112.74894905090332,2474.6703991889954,529147,lsrosaDiag,10.10.158.167,2474.6703991889954,22
0.15708466,1150,13580,1719736615,checkpoint_000022,True,False,23,2c3f331b,2024-06-30_10-36-55,113.31296586990356,2587.983365058899,529147,lsrosaDiag,10.10.158.167,2587.983365058899,23
0.15487461,1200,13580,1719736727,checkpoint_000023,True,False,24,2c3f331b,2024-06-30_10-38-47,112.1986141204834,2700.1819791793823,529147,lsrosaDiag,10.10.158.167,2700.1819791793823,24
0.1550736,1250,13580,1719736839,checkpoint_000024,True,False,25,2c3f331b,2024-06-30_10-40-39,112.40318703651428,2812.5851662158966,529147,lsrosaDiag,10.10.158.167,2812.5851662158966,25
0.15565321,1300,13580,1719736950,checkpoint_000025,True,False,26,2c3f331b,2024-06-30_10-42-30,110.47421097755432,2923.059377193451,529147,lsrosaDiag,10.10.158.167,2923.059377193451,26
0.15377371,1350,13580,1719737062,checkpoint_000026,True,False,27,2c3f331b,2024-06-30_10-44-22,111.68398857116699,3034.743365764618,529147,lsrosaDiag,10.10.158.167,3034.743365764618,27
0.15517548,1400,13580,1719737173,checkpoint_000027,True,False,28,2c3f331b,2024-06-30_10-46-13,111.26734471321106,3146.010710477829,529147,lsrosaDiag,10.10.158.167,3146.010710477829,28
0.15245564,1450,13580,1719737283,checkpoint_000028,True,False,29,2c3f331b,2024-06-30_10-48-03,110.39106845855713,3256.401778936386,529147,lsrosaDiag,10.10.158.167,3256.401778936386,29
0.15450078,1500,13580,1719737397,checkpoint_000029,True,False,30,2c3f331b,2024-06-30_10-49-57,114.06406807899475,3370.465847015381,529147,lsrosaDiag,10.10.158.167,3370.465847015381,30
0.151838,1550,13580,1719737509,checkpoint_000030,True,False,31,2c3f331b,2024-06-30_10-51-49,111.74751448631287,3482.2133615016937,529147,lsrosaDiag,10.10.158.167,3482.2133615016937,31
0.15327093,1600,13580,1719737620,checkpoint_000031,True,False,32,2c3f331b,2024-06-30_10-53-40,111.03808331489563,3593.2514448165894,529147,lsrosaDiag,10.10.158.167,3593.2514448165894,32
0.15353867,1650,13580,1719737733,checkpoint_000032,True,False,33,2c3f331b,2024-06-30_10-55-33,112.92985415458679,3706.181298971176,529147,lsrosaDiag,10.10.158.167,3706.181298971176,33
0.15097836,1700,13580,1719737848,checkpoint_000033,True,False,34,2c3f331b,2024-06-30_10-57-28,115.08588814735413,3821.2671871185303,529147,lsrosaDiag,10.10.158.167,3821.2671871185303,34
0.14910093,1750,13580,1719737958,checkpoint_000034,True,False,35,2c3f331b,2024-06-30_10-59-18,110.00755047798157,3931.274737596512,529147,lsrosaDiag,10.10.158.167,3931.274737596512,35
0.14965025,1800,13580,1719738073,checkpoint_000035,True,False,36,2c3f331b,2024-06-30_11-01-13,114.40284037590027,4045.677577972412,529147,lsrosaDiag,10.10.158.167,4045.677577972412,36
0.14948286,1850,13580,1719738185,checkpoint_000036,True,False,37,2c3f331b,2024-06-30_11-03-05,112.35325407981873,4158.030832052231,529147,lsrosaDiag,10.10.158.167,4158.030832052231,37
0.14821507,1900,13580,1719738296,checkpoint_000037,True,False,38,2c3f331b,2024-06-30_11-04-56,111.27557277679443,4269.306404829025,529147,lsrosaDiag,10.10.158.167,4269.306404829025,38
0.14893064,1950,13580,1719738410,checkpoint_000038,True,False,39,2c3f331b,2024-06-30_11-06-50,113.88786745071411,4383.194272279739,529147,lsrosaDiag,10.10.158.167,4383.194272279739,39
0.14893954,2000,13580,1719738522,checkpoint_000039,True,False,40,2c3f331b,2024-06-30_11-08-42,111.61270213127136,4494.806974411011,529147,lsrosaDiag,10.10.158.167,4494.806974411011,40
