loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.4756291,50,26060,1719723148,checkpoint_000000,True,False,1,f9cd9eda,2024-06-30_06-52-28,111.25686883926392,111.25686883926392,524785,lsrosaDiag,10.10.158.167,111.25686883926392,1
0.4369687,100,26060,1719723259,checkpoint_000001,True,False,2,f9cd9eda,2024-06-30_06-54-19,111.08005785942078,222.3369266986847,524785,lsrosaDiag,10.10.158.167,222.3369266986847,2
0.40329838,150,26060,1719723370,checkpoint_000002,True,False,3,f9cd9eda,2024-06-30_06-56-10,110.99848508834839,333.3354117870331,524785,lsrosaDiag,10.10.158.167,333.3354117870331,3
0.37035748,200,26060,1719723481,checkpoint_000003,True,False,4,f9cd9eda,2024-06-30_06-58-01,110.77588415145874,444.1112959384918,524785,lsrosaDiag,10.10.158.167,444.1112959384918,4
0.33684897,250,26060,1719723590,checkpoint_000004,True,False,5,f9cd9eda,2024-06-30_06-59-50,108.55165719985962,552.6629531383514,524785,lsrosaDiag,10.10.158.167,552.6629531383514,5
0.31359348,300,26060,1719723701,checkpoint_000005,True,False,6,f9cd9eda,2024-06-30_07-01-41,110.76490426063538,663.4278573989868,524785,lsrosaDiag,10.10.158.167,663.4278573989868,6
0.29550046,350,26060,1719723811,checkpoint_000006,True,False,7,f9cd9eda,2024-06-30_07-03-31,110.48864817619324,773.91650557518,524785,lsrosaDiag,10.10.158.167,773.91650557518,7
0.27485776,400,26060,1719723919,checkpoint_000007,True,False,8,f9cd9eda,2024-06-30_07-05-19,108.02556490898132,881.9420704841614,524785,lsrosaDiag,10.10.158.167,881.9420704841614,8
0.25961134,450,26060,1719724029,checkpoint_000008,True,False,9,f9cd9eda,2024-06-30_07-07-09,110.23960995674133,992.1816804409027,524785,lsrosaDiag,10.10.158.167,992.1816804409027,9
0.24520338,500,26060,1719724142,checkpoint_000009,True,False,10,f9cd9eda,2024-06-30_07-09-02,112.52198576927185,1104.7036662101746,524785,lsrosaDiag,10.10.158.167,1104.7036662101746,10
0.23523578,550,26060,1719724251,checkpoint_000010,True,False,11,f9cd9eda,2024-06-30_07-10-51,109.29331517219543,1213.99698138237,524785,lsrosaDiag,10.10.158.167,1213.99698138237,11
0.2273968,600,26060,1719724360,checkpoint_000011,True,False,12,f9cd9eda,2024-06-30_07-12-40,109.19897317886353,1323.1959545612335,524785,lsrosaDiag,10.10.158.167,1323.1959545612335,12
