loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.29179737,50,2799,1719710479,checkpoint_000000,True,False,1,06f0be16,2024-06-30_03-21-19,118.37240624427795,118.37240624427795,519733,lsrosaDiag,10.10.158.167,118.37240624427795,1
0.21602912,100,2799,1719710594,checkpoint_000001,True,False,2,06f0be16,2024-06-30_03-23-14,114.74037504196167,233.11278128623962,519733,lsrosaDiag,10.10.158.167,233.11278128623962,2
0.20051773,150,2799,1719710708,checkpoint_000002,True,False,3,06f0be16,2024-06-30_03-25-08,114.31890034675598,347.4316816329956,519733,lsrosaDiag,10.10.158.167,347.4316816329956,3
0.1893645,200,2799,1719710823,checkpoint_000003,True,False,4,06f0be16,2024-06-30_03-27-03,114.74884915351868,462.1805307865143,519733,lsrosaDiag,10.10.158.167,462.1805307865143,4
0.1839781,250,2799,1719710939,checkpoint_000004,True,False,5,06f0be16,2024-06-30_03-28-59,115.74846005439758,577.9289908409119,519733,lsrosaDiag,10.10.158.167,577.9289908409119,5
0.17853759,300,2799,1719711052,checkpoint_000005,True,False,6,06f0be16,2024-06-30_03-30-52,113.70832633972168,691.6373171806335,519733,lsrosaDiag,10.10.158.167,691.6373171806335,6
0.1750655,350,2799,1719711166,checkpoint_000006,True,False,7,06f0be16,2024-06-30_03-32-46,113.71213889122009,805.3494560718536,519733,lsrosaDiag,10.10.158.167,805.3494560718536,7
0.1704005,400,2799,1719711281,checkpoint_000007,True,False,8,06f0be16,2024-06-30_03-34-41,114.74968242645264,920.0991384983063,519733,lsrosaDiag,10.10.158.167,920.0991384983063,8
0.16835788,450,2799,1719711397,checkpoint_000008,True,False,9,06f0be16,2024-06-30_03-36-37,116.45544171333313,1036.5545802116394,519733,lsrosaDiag,10.10.158.167,1036.5545802116394,9
0.16794439,500,2799,1719711511,checkpoint_000009,True,False,10,06f0be16,2024-06-30_03-38-31,113.9548556804657,1150.509435892105,519733,lsrosaDiag,10.10.158.167,1150.509435892105,10
0.16722101,550,2799,1719711625,checkpoint_000010,True,False,11,06f0be16,2024-06-30_03-40-25,113.9056077003479,1264.415043592453,519733,lsrosaDiag,10.10.158.167,1264.415043592453,11
0.16001633,600,2799,1719711739,checkpoint_000011,True,False,12,06f0be16,2024-06-30_03-42-19,114.0959734916687,1378.5110170841217,519733,lsrosaDiag,10.10.158.167,1378.5110170841217,12
0.16059773,650,2799,1719711856,checkpoint_000012,True,False,13,06f0be16,2024-06-30_03-44-16,116.85787200927734,1495.368889093399,519733,lsrosaDiag,10.10.158.167,1495.368889093399,13
0.15685031,700,2799,1719711969,checkpoint_000013,True,False,14,06f0be16,2024-06-30_03-46-09,112.66055679321289,1608.029445886612,519733,lsrosaDiag,10.10.158.167,1608.029445886612,14
0.15630916,750,2799,1719712084,checkpoint_000014,True,False,15,06f0be16,2024-06-30_03-48-04,115.23675489425659,1723.2662007808685,519733,lsrosaDiag,10.10.158.167,1723.2662007808685,15
0.1550665,800,2799,1719712200,checkpoint_000015,True,False,16,06f0be16,2024-06-30_03-50-00,116.0514702796936,1839.3176710605621,519733,lsrosaDiag,10.10.158.167,1839.3176710605621,16
0.15224743,850,2799,1719712313,checkpoint_000016,True,False,17,06f0be16,2024-06-30_03-51-53,112.90568208694458,1952.2233531475067,519733,lsrosaDiag,10.10.158.167,1952.2233531475067,17
0.15159799,900,2799,1719712427,checkpoint_000017,True,False,18,06f0be16,2024-06-30_03-53-47,114.21776485443115,2066.441118001938,519733,lsrosaDiag,10.10.158.167,2066.441118001938,18
0.1501395,950,2799,1719712543,checkpoint_000018,True,False,19,06f0be16,2024-06-30_03-55-43,116.09125208854675,2182.5323700904846,519733,lsrosaDiag,10.10.158.167,2182.5323700904846,19
0.1477388,1000,2799,1719712659,checkpoint_000019,True,False,20,06f0be16,2024-06-30_03-57-39,115.20639276504517,2297.73876285553,519733,lsrosaDiag,10.10.158.167,2297.73876285553,20
0.14753313,1050,2799,1719712771,checkpoint_000020,True,False,21,06f0be16,2024-06-30_03-59-31,112.32621455192566,2410.0649774074554,519733,lsrosaDiag,10.10.158.167,2410.0649774074554,21
0.14473915,1100,2799,1719712886,checkpoint_000021,True,False,22,06f0be16,2024-06-30_04-01-26,115.03529167175293,2525.1002690792084,519733,lsrosaDiag,10.10.158.167,2525.1002690792084,22
0.14347783,1150,2799,1719713004,checkpoint_000022,True,False,23,06f0be16,2024-06-30_04-03-24,117.92502546310425,2643.0252945423126,519733,lsrosaDiag,10.10.158.167,2643.0252945423126,23
0.14014846,1200,2799,1719713120,checkpoint_000023,True,False,24,06f0be16,2024-06-30_04-05-20,116.49422955513,2759.5195240974426,519733,lsrosaDiag,10.10.158.167,2759.5195240974426,24
0.13978258,1250,2799,1719713232,checkpoint_000024,True,False,25,06f0be16,2024-06-30_04-07-12,112.0668134689331,2871.5863375663757,519733,lsrosaDiag,10.10.158.167,2871.5863375663757,25
0.13787685,1300,2799,1719713347,checkpoint_000025,True,False,26,06f0be16,2024-06-30_04-09-07,114.56708884239197,2986.1534264087677,519733,lsrosaDiag,10.10.158.167,2986.1534264087677,26
0.13714202,1350,2799,1719713462,checkpoint_000026,True,False,27,06f0be16,2024-06-30_04-11-02,115.2635293006897,3101.4169557094574,519733,lsrosaDiag,10.10.158.167,3101.4169557094574,27
0.13409202,1400,2799,1719713577,checkpoint_000027,True,False,28,06f0be16,2024-06-30_04-12-57,114.25418186187744,3215.671137571335,519733,lsrosaDiag,10.10.158.167,3215.671137571335,28
0.13319296,1450,2799,1719713689,checkpoint_000028,True,False,29,06f0be16,2024-06-30_04-14-49,112.82148718833923,3328.492624759674,519733,lsrosaDiag,10.10.158.167,3328.492624759674,29
0.13268755,1500,2799,1719713805,checkpoint_000029,True,False,30,06f0be16,2024-06-30_04-16-45,115.61833572387695,3444.110960483551,519733,lsrosaDiag,10.10.158.167,3444.110960483551,30
0.12998429,1550,2799,1719713922,checkpoint_000030,True,False,31,06f0be16,2024-06-30_04-18-42,116.7678496837616,3560.8788101673126,519733,lsrosaDiag,10.10.158.167,3560.8788101673126,31
0.12953644,1600,2799,1719714036,checkpoint_000031,True,False,32,06f0be16,2024-06-30_04-20-36,114.35377168655396,3675.2325818538666,519733,lsrosaDiag,10.10.158.167,3675.2325818538666,32
0.12724955,1650,2799,1719714150,checkpoint_000032,True,False,33,06f0be16,2024-06-30_04-22-30,114.20436358451843,3789.436945438385,519733,lsrosaDiag,10.10.158.167,3789.436945438385,33
0.12748739,1700,2799,1719714267,checkpoint_000033,True,False,34,06f0be16,2024-06-30_04-24-27,116.39157271385193,3905.828518152237,519733,lsrosaDiag,10.10.158.167,3905.828518152237,34
0.12388017,1750,2799,1719714382,checkpoint_000034,True,False,35,06f0be16,2024-06-30_04-26-22,115.03298544883728,4020.861503601074,519733,lsrosaDiag,10.10.158.167,4020.861503601074,35
0.12273918,1800,2799,1719714496,checkpoint_000035,True,False,36,06f0be16,2024-06-30_04-28-16,114.69128465652466,4135.552788257599,519733,lsrosaDiag,10.10.158.167,4135.552788257599,36
0.120823905,1850,2799,1719714613,checkpoint_000036,True,False,37,06f0be16,2024-06-30_04-30-13,116.97516536712646,4252.527953624725,519733,lsrosaDiag,10.10.158.167,4252.527953624725,37
0.11856072,1900,2799,1719714728,checkpoint_000037,True,False,38,06f0be16,2024-06-30_04-32-08,114.45460247993469,4366.98255610466,519733,lsrosaDiag,10.10.158.167,4366.98255610466,38
0.11757563,1950,2799,1719714841,checkpoint_000038,True,False,39,06f0be16,2024-06-30_04-34-01,112.64819693565369,4479.630753040314,519733,lsrosaDiag,10.10.158.167,4479.630753040314,39
0.11728372,2000,2799,1719714955,checkpoint_000039,True,False,40,06f0be16,2024-06-30_04-35-55,114.93922686576843,4594.569979906082,519733,lsrosaDiag,10.10.158.167,4594.569979906082,40
