loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.34218755,50,2799,1719664311,checkpoint_000000,True,False,1,31c6f6f9,2024-06-29_14-31-51,115.83982014656067,115.83982014656067,501529,lsrosaDiag,10.10.158.167,115.83982014656067,1
0.24038562,100,2799,1719664426,checkpoint_000001,True,False,2,31c6f6f9,2024-06-29_14-33-46,115.41224002838135,231.25206017494202,501529,lsrosaDiag,10.10.158.167,231.25206017494202,2
0.211865,150,2799,1719664540,checkpoint_000002,True,False,3,31c6f6f9,2024-06-29_14-35-40,114.38606262207031,345.63812279701233,501529,lsrosaDiag,10.10.158.167,345.63812279701233,3
0.20040348,200,2799,1719664654,checkpoint_000003,True,False,4,31c6f6f9,2024-06-29_14-37-34,113.53512191772461,459.17324471473694,501529,lsrosaDiag,10.10.158.167,459.17324471473694,4
0.19257185,250,2799,1719664768,checkpoint_000004,True,False,5,31c6f6f9,2024-06-29_14-39-28,114.50121426582336,573.6744589805603,501529,lsrosaDiag,10.10.158.167,573.6744589805603,5
0.18721703,300,2799,1719664883,checkpoint_000005,True,False,6,31c6f6f9,2024-06-29_14-41-23,114.70256519317627,688.3770241737366,501529,lsrosaDiag,10.10.158.167,688.3770241737366,6
0.18294081,350,2799,1719664996,checkpoint_000006,True,False,7,31c6f6f9,2024-06-29_14-43-16,112.33870911598206,800.7157332897186,501529,lsrosaDiag,10.10.158.167,800.7157332897186,7
0.1799205,400,2799,1719665109,checkpoint_000007,True,False,8,31c6f6f9,2024-06-29_14-45-09,113.34577465057373,914.0615079402924,501529,lsrosaDiag,10.10.158.167,914.0615079402924,8
0.17513427,450,2799,1719665222,checkpoint_000008,True,False,9,31c6f6f9,2024-06-29_14-47-02,113.10168194770813,1027.1631898880005,501529,lsrosaDiag,10.10.158.167,1027.1631898880005,9
0.17409,500,2799,1719665338,checkpoint_000009,True,False,10,31c6f6f9,2024-06-29_14-48-58,115.96358942985535,1143.1267793178558,501529,lsrosaDiag,10.10.158.167,1143.1267793178558,10
0.17062736,550,2799,1719665453,checkpoint_000010,True,False,11,31c6f6f9,2024-06-29_14-50-53,115.00468611717224,1258.131465435028,501529,lsrosaDiag,10.10.158.167,1258.131465435028,11
0.16793337,600,2799,1719665566,checkpoint_000011,True,False,12,31c6f6f9,2024-06-29_14-52-46,113.14012503623962,1371.2715904712677,501529,lsrosaDiag,10.10.158.167,1371.2715904712677,12
0.16719553,650,2799,1719665681,checkpoint_000012,True,False,13,31c6f6f9,2024-06-29_14-54-41,115.07046365737915,1486.3420541286469,501529,lsrosaDiag,10.10.158.167,1486.3420541286469,13
0.16528003,700,2799,1719665796,checkpoint_000013,True,False,14,31c6f6f9,2024-06-29_14-56-36,114.95096230506897,1601.2930164337158,501529,lsrosaDiag,10.10.158.167,1601.2930164337158,14
0.16491856,750,2799,1719665909,checkpoint_000014,True,False,15,31c6f6f9,2024-06-29_14-58-29,113.30611157417297,1714.5991280078888,501529,lsrosaDiag,10.10.158.167,1714.5991280078888,15
0.15996586,800,2799,1719666023,checkpoint_000015,True,False,16,31c6f6f9,2024-06-29_15-00-23,113.45872688293457,1828.0578548908234,501529,lsrosaDiag,10.10.158.167,1828.0578548908234,16
0.15898682,850,2799,1719666136,checkpoint_000016,True,False,17,31c6f6f9,2024-06-29_15-02-16,113.29902195930481,1941.3568768501282,501529,lsrosaDiag,10.10.158.167,1941.3568768501282,17
0.15828922,900,2799,1719666251,checkpoint_000017,True,False,18,31c6f6f9,2024-06-29_15-04-11,114.60246467590332,2055.9593415260315,501529,lsrosaDiag,10.10.158.167,2055.9593415260315,18
0.15661106,950,2799,1719666368,checkpoint_000018,True,False,19,31c6f6f9,2024-06-29_15-06-08,117.18916177749634,2173.148503303528,501529,lsrosaDiag,10.10.158.167,2173.148503303528,19
0.15628114,1000,2799,1719666480,checkpoint_000019,True,False,20,31c6f6f9,2024-06-29_15-08-00,112.34557223320007,2285.494075536728,501529,lsrosaDiag,10.10.158.167,2285.494075536728,20
0.15493666,1050,2799,1719666595,checkpoint_000020,True,False,21,31c6f6f9,2024-06-29_15-09-55,114.78245687484741,2400.2765324115753,501529,lsrosaDiag,10.10.158.167,2400.2765324115753,21
0.15472539,1100,2799,1719666711,checkpoint_000021,True,False,22,31c6f6f9,2024-06-29_15-11-51,115.45144414901733,2515.7279765605927,501529,lsrosaDiag,10.10.158.167,2515.7279765605927,22
0.15329711,1150,2799,1719666823,checkpoint_000022,True,False,23,31c6f6f9,2024-06-29_15-13-44,112.8940782546997,2628.6220548152924,501529,lsrosaDiag,10.10.158.167,2628.6220548152924,23
0.15393853,1200,2799,1719666938,checkpoint_000023,True,False,24,31c6f6f9,2024-06-29_15-15-38,114.5363118648529,2743.1583666801453,501529,lsrosaDiag,10.10.158.167,2743.1583666801453,24
0.15221176,1250,2799,1719667053,checkpoint_000024,True,False,25,31c6f6f9,2024-06-29_15-17-33,114.6866660118103,2857.8450326919556,501529,lsrosaDiag,10.10.158.167,2857.8450326919556,25
0.15133594,1300,2799,1719667166,checkpoint_000025,True,False,26,31c6f6f9,2024-06-29_15-19-26,113.6551685333252,2971.5002012252808,501529,lsrosaDiag,10.10.158.167,2971.5002012252808,26
0.15041019,1350,2799,1719667278,checkpoint_000026,True,False,27,31c6f6f9,2024-06-29_15-21-18,111.63049173355103,3083.130692958832,501529,lsrosaDiag,10.10.158.167,3083.130692958832,27
0.14720456,1400,2799,1719667391,checkpoint_000027,True,False,28,31c6f6f9,2024-06-29_15-23-11,113.45568466186523,3196.586377620697,501529,lsrosaDiag,10.10.158.167,3196.586377620697,28
0.14734781,1450,2799,1719667506,checkpoint_000028,True,False,29,31c6f6f9,2024-06-29_15-25-06,114.45111393928528,3311.0374915599823,501529,lsrosaDiag,10.10.158.167,3311.0374915599823,29
0.14742553,1500,2799,1719667620,checkpoint_000029,True,False,30,31c6f6f9,2024-06-29_15-27-00,113.74856090545654,3424.786052465439,501529,lsrosaDiag,10.10.158.167,3424.786052465439,30
0.14692284,1550,2799,1719667734,checkpoint_000030,True,False,31,31c6f6f9,2024-06-29_15-28-54,114.49706244468689,3539.2831149101257,501529,lsrosaDiag,10.10.158.167,3539.2831149101257,31
0.14639848,1600,2799,1719667850,checkpoint_000031,True,False,32,31c6f6f9,2024-06-29_15-30-50,115.44077658653259,3654.7238914966583,501529,lsrosaDiag,10.10.158.167,3654.7238914966583,32
0.14231423,1650,2799,1719667962,checkpoint_000032,True,False,33,31c6f6f9,2024-06-29_15-32-42,112.11453151702881,3766.838423013687,501529,lsrosaDiag,10.10.158.167,3766.838423013687,33
0.14212175,1700,2799,1719668077,checkpoint_000033,True,False,34,31c6f6f9,2024-06-29_15-34-37,114.93385577201843,3881.7722787857056,501529,lsrosaDiag,10.10.158.167,3881.7722787857056,34
0.13970354,1750,2799,1719668193,checkpoint_000034,True,False,35,31c6f6f9,2024-06-29_15-36-33,116.50671458244324,3998.278993368149,501529,lsrosaDiag,10.10.158.167,3998.278993368149,35
