loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.23438983,50,615,1719687346,checkpoint_000000,True,False,1,bc3afcd7,2024-06-29_20-55-46,118.50263905525208,118.50263905525208,510412,lsrosaDiag,10.10.158.167,118.50263905525208,1
0.19384776,100,615,1719687463,checkpoint_000001,True,False,2,bc3afcd7,2024-06-29_20-57-43,116.45751476287842,234.9601538181305,510412,lsrosaDiag,10.10.158.167,234.9601538181305,2
0.17934288,150,615,1719687578,checkpoint_000002,True,False,3,bc3afcd7,2024-06-29_20-59-38,115.07055687904358,350.0307106971741,510412,lsrosaDiag,10.10.158.167,350.0307106971741,3
0.17262617,200,615,1719687694,checkpoint_000003,True,False,4,bc3afcd7,2024-06-29_21-01-34,116.58760166168213,466.6183123588562,510412,lsrosaDiag,10.10.158.167,466.6183123588562,4
0.16757725,250,615,1719687811,checkpoint_000004,True,False,5,bc3afcd7,2024-06-29_21-03-31,116.90214776992798,583.5204601287842,510412,lsrosaDiag,10.10.158.167,583.5204601287842,5
0.16572377,300,615,1719687927,checkpoint_000005,True,False,6,bc3afcd7,2024-06-29_21-05-27,115.60671305656433,699.1271731853485,510412,lsrosaDiag,10.10.158.167,699.1271731853485,6
0.163377,350,615,1719688046,checkpoint_000006,True,False,7,bc3afcd7,2024-06-29_21-07-26,118.71252727508545,817.839700460434,510412,lsrosaDiag,10.10.158.167,817.839700460434,7
0.15970907,400,615,1719688160,checkpoint_000007,True,False,8,bc3afcd7,2024-06-29_21-09-20,114.05787873268127,931.8975791931152,510412,lsrosaDiag,10.10.158.167,931.8975791931152,8
0.15875801,450,615,1719688278,checkpoint_000008,True,False,9,bc3afcd7,2024-06-29_21-11-18,118.5798180103302,1050.4773972034454,510412,lsrosaDiag,10.10.158.167,1050.4773972034454,9
0.16051103,500,615,1719688397,checkpoint_000009,True,False,10,bc3afcd7,2024-06-29_21-13-17,118.42806053161621,1168.9054577350616,510412,lsrosaDiag,10.10.158.167,1168.9054577350616,10
0.15874471,550,615,1719688512,checkpoint_000010,True,False,11,bc3afcd7,2024-06-29_21-15-12,115.5335443019867,1284.4390020370483,510412,lsrosaDiag,10.10.158.167,1284.4390020370483,11
0.15959962,600,615,1719688629,checkpoint_000011,True,False,12,bc3afcd7,2024-06-29_21-17-09,116.41937327384949,1400.8583753108978,510412,lsrosaDiag,10.10.158.167,1400.8583753108978,12
0.15935993,650,615,1719688742,checkpoint_000012,True,False,13,bc3afcd7,2024-06-29_21-19-02,113.64113402366638,1514.4995093345642,510412,lsrosaDiag,10.10.158.167,1514.4995093345642,13
0.15691192,700,615,1719688859,checkpoint_000013,True,False,14,bc3afcd7,2024-06-29_21-20-59,116.37340664863586,1630.8729159832,510412,lsrosaDiag,10.10.158.167,1630.8729159832,14
0.15721737,750,615,1719688975,checkpoint_000014,True,False,15,bc3afcd7,2024-06-29_21-22-55,116.68487668037415,1747.5577926635742,510412,lsrosaDiag,10.10.158.167,1747.5577926635742,15
0.15719363,800,615,1719689091,checkpoint_000015,True,False,16,bc3afcd7,2024-06-29_21-24-51,115.31597828865051,1862.8737709522247,510412,lsrosaDiag,10.10.158.167,1862.8737709522247,16
0.15597907,850,615,1719689206,checkpoint_000016,True,False,17,bc3afcd7,2024-06-29_21-26-46,115.67612624168396,1978.5498971939087,510412,lsrosaDiag,10.10.158.167,1978.5498971939087,17
0.15591355,900,615,1719689322,checkpoint_000017,True,False,18,bc3afcd7,2024-06-29_21-28-42,115.93457269668579,2094.4844698905945,510412,lsrosaDiag,10.10.158.167,2094.4844698905945,18
0.15535952,950,615,1719689440,checkpoint_000018,True,False,19,bc3afcd7,2024-06-29_21-30-40,117.74652671813965,2212.230996608734,510412,lsrosaDiag,10.10.158.167,2212.230996608734,19
0.15517373,1000,615,1719689555,checkpoint_000019,True,False,20,bc3afcd7,2024-06-29_21-32-35,115.01579737663269,2327.246793985367,510412,lsrosaDiag,10.10.158.167,2327.246793985367,20
0.15527317,1050,615,1719689670,checkpoint_000020,True,False,21,bc3afcd7,2024-06-29_21-34-30,115.10930848121643,2442.3561024665833,510412,lsrosaDiag,10.10.158.167,2442.3561024665833,21
0.15560113,1100,615,1719689786,checkpoint_000021,True,False,22,bc3afcd7,2024-06-29_21-36-26,115.74893736839294,2558.105039834976,510412,lsrosaDiag,10.10.158.167,2558.105039834976,22
0.1531878,1150,615,1719689903,checkpoint_000022,True,False,23,bc3afcd7,2024-06-29_21-38-23,116.84494543075562,2674.949985265732,510412,lsrosaDiag,10.10.158.167,2674.949985265732,23
0.15374295,1200,615,1719690018,checkpoint_000023,True,False,24,bc3afcd7,2024-06-29_21-40-18,114.94906377792358,2789.8990490436554,510412,lsrosaDiag,10.10.158.167,2789.8990490436554,24
0.15401635,1250,615,1719690136,checkpoint_000024,True,False,25,bc3afcd7,2024-06-29_21-42-16,118.34453845024109,2908.2435874938965,510412,lsrosaDiag,10.10.158.167,2908.2435874938965,25
0.153469,1300,615,1719690253,checkpoint_000025,True,False,26,bc3afcd7,2024-06-29_21-44-13,117.21495223045349,3025.45853972435,510412,lsrosaDiag,10.10.158.167,3025.45853972435,26
