loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.404529,50,471,1719619391,checkpoint_000000,True,False,1,fc9dcc2b,2024-06-29_02-03-11,114.01198506355286,114.01198506355286,483336,lsrosaDiag,10.10.158.167,114.01198506355286,1
0.36136222,100,471,1719619505,checkpoint_000001,True,False,2,fc9dcc2b,2024-06-29_02-05-05,113.37868881225586,227.39067387580872,483336,lsrosaDiag,10.10.158.167,227.39067387580872,2
0.332897,150,471,1719619620,checkpoint_000002,True,False,3,fc9dcc2b,2024-06-29_02-07-00,115.17031025886536,342.5609841346741,483336,lsrosaDiag,10.10.158.167,342.5609841346741,3
0.30369985,200,471,1719619732,checkpoint_000003,True,False,4,fc9dcc2b,2024-06-29_02-08-52,112.19276165962219,454.75374579429626,483336,lsrosaDiag,10.10.158.167,454.75374579429626,4
0.28474832,250,471,1719619846,checkpoint_000004,True,False,5,fc9dcc2b,2024-06-29_02-10-46,114.36077332496643,569.1145191192627,483336,lsrosaDiag,10.10.158.167,569.1145191192627,5
0.2676701,300,471,1719619961,checkpoint_000005,True,False,6,fc9dcc2b,2024-06-29_02-12-41,114.67882251739502,683.7933416366577,483336,lsrosaDiag,10.10.158.167,683.7933416366577,6
0.25563592,350,471,1719620073,checkpoint_000006,True,False,7,fc9dcc2b,2024-06-29_02-14-33,111.75127005577087,795.5446116924286,483336,lsrosaDiag,10.10.158.167,795.5446116924286,7
0.24022035,400,471,1719620186,checkpoint_000007,True,False,8,fc9dcc2b,2024-06-29_02-16-26,112.63467454910278,908.1792862415314,483336,lsrosaDiag,10.10.158.167,908.1792862415314,8
0.23212793,450,471,1719620300,checkpoint_000008,True,False,9,fc9dcc2b,2024-06-29_02-18-20,114.37547636032104,1022.5547626018524,483336,lsrosaDiag,10.10.158.167,1022.5547626018524,9
0.22758922,500,471,1719620411,checkpoint_000009,True,False,10,fc9dcc2b,2024-06-29_02-20-11,111.35344696044922,1133.9082095623016,483336,lsrosaDiag,10.10.158.167,1133.9082095623016,10
0.216314,550,471,1719620526,checkpoint_000010,True,False,11,fc9dcc2b,2024-06-29_02-22-06,115.12673377990723,1249.0349433422089,483336,lsrosaDiag,10.10.158.167,1249.0349433422089,11
0.21354882,600,471,1719620641,checkpoint_000011,True,False,12,fc9dcc2b,2024-06-29_02-24-01,114.852863073349,1363.8878064155579,483336,lsrosaDiag,10.10.158.167,1363.8878064155579,12
