loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.18561679,50,2136,1720114234,checkpoint_000000,True,False,1,b5103eb2,2024-07-04_19-30-34,149.07358384132385,149.07358384132385,689850,lsrosaDiag,10.10.158.167,149.07358384132385,1
0.16495332,100,2136,1720114386,checkpoint_000001,True,False,2,b5103eb2,2024-07-04_19-33-06,152.0462770462036,301.11986088752747,689850,lsrosaDiag,10.10.158.167,301.11986088752747,2
0.1569414,150,2136,1720114533,checkpoint_000002,True,False,3,b5103eb2,2024-07-04_19-35-33,147.3798577785492,448.49971866607666,689850,lsrosaDiag,10.10.158.167,448.49971866607666,3
0.14667627,200,2136,1720114687,checkpoint_000003,True,False,4,b5103eb2,2024-07-04_19-38-07,154.0266351699829,602.5263538360596,689850,lsrosaDiag,10.10.158.167,602.5263538360596,4
0.13736062,250,2136,1720114837,checkpoint_000004,True,False,5,b5103eb2,2024-07-04_19-40-37,149.72183394432068,752.2481877803802,689850,lsrosaDiag,10.10.158.167,752.2481877803802,5
0.13416275,300,2136,1720114989,checkpoint_000005,True,False,6,b5103eb2,2024-07-04_19-43-09,151.58646607398987,903.8346538543701,689850,lsrosaDiag,10.10.158.167,903.8346538543701,6
0.1309936,350,2136,1720115139,checkpoint_000006,True,False,7,b5103eb2,2024-07-04_19-45-39,150.12430620193481,1053.958960056305,689850,lsrosaDiag,10.10.158.167,1053.958960056305,7
0.12758861,400,2136,1720115288,checkpoint_000007,True,False,8,b5103eb2,2024-07-04_19-48-08,149.0533938407898,1203.0123538970947,689850,lsrosaDiag,10.10.158.167,1203.0123538970947,8
0.12254511,450,2136,1720115434,checkpoint_000008,True,False,9,b5103eb2,2024-07-04_19-50-34,146.4858865737915,1349.4982404708862,689850,lsrosaDiag,10.10.158.167,1349.4982404708862,9
0.11767582,500,2136,1720115585,checkpoint_000009,True,False,10,b5103eb2,2024-07-04_19-53-05,150.47242760658264,1499.9706680774689,689850,lsrosaDiag,10.10.158.167,1499.9706680774689,10
0.115280114,550,2136,1720115737,checkpoint_000010,True,False,11,b5103eb2,2024-07-04_19-55-37,152.67849493026733,1652.6491630077362,689850,lsrosaDiag,10.10.158.167,1652.6491630077362,11
0.11226114,600,2136,1720115886,checkpoint_000011,True,False,12,b5103eb2,2024-07-04_19-58-06,148.30581164360046,1800.9549746513367,689850,lsrosaDiag,10.10.158.167,1800.9549746513367,12
0.11023484,650,2136,1720116036,checkpoint_000012,True,False,13,b5103eb2,2024-07-04_20-00-36,149.7457890510559,1950.7007637023926,689850,lsrosaDiag,10.10.158.167,1950.7007637023926,13
0.10736146,700,2136,1720116182,checkpoint_000013,True,False,14,b5103eb2,2024-07-04_20-03-02,146.91230845451355,2097.613072156906,689850,lsrosaDiag,10.10.158.167,2097.613072156906,14
0.1057111,750,2136,1720116332,checkpoint_000014,True,False,15,b5103eb2,2024-07-04_20-05-32,149.33324813842773,2246.946320295334,689850,lsrosaDiag,10.10.158.167,2246.946320295334,15
0.10349713,800,2136,1720116482,checkpoint_000015,True,False,16,b5103eb2,2024-07-04_20-08-02,150.49708151817322,2397.443401813507,689850,lsrosaDiag,10.10.158.167,2397.443401813507,16
0.10343224,850,2136,1720116630,checkpoint_000016,True,False,17,b5103eb2,2024-07-04_20-10-30,148.04057908058167,2545.4839808940887,689850,lsrosaDiag,10.10.158.167,2545.4839808940887,17
