loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.26244274,50,578,1719601550,checkpoint_000000,True,False,1,3d152298,2024-06-28_21-05-50,119.87599849700928,119.87599849700928,475480,lsrosaDiag,10.10.158.167,119.87599849700928,1
0.22503325,100,578,1719601671,checkpoint_000001,True,False,2,3d152298,2024-06-28_21-07-51,120.7966091632843,240.67260766029358,475480,lsrosaDiag,10.10.158.167,240.67260766029358,2
0.20830087,150,578,1719601792,checkpoint_000002,True,False,3,3d152298,2024-06-28_21-09-52,120.80623030662537,361.47883796691895,475480,lsrosaDiag,10.10.158.167,361.47883796691895,3
0.19789107,200,578,1719601913,checkpoint_000003,True,False,4,3d152298,2024-06-28_21-11-53,120.90700817108154,482.3858461380005,475480,lsrosaDiag,10.10.158.167,482.3858461380005,4
0.19276932,250,578,1719602033,checkpoint_000004,True,False,5,3d152298,2024-06-28_21-13-53,120.12416791915894,602.5100140571594,475480,lsrosaDiag,10.10.158.167,602.5100140571594,5
0.19161324,300,578,1719602153,checkpoint_000005,True,False,6,3d152298,2024-06-28_21-15-53,120.29030919075012,722.8003232479095,475480,lsrosaDiag,10.10.158.167,722.8003232479095,6
0.19164872,350,578,1719602274,checkpoint_000006,True,False,7,3d152298,2024-06-28_21-17-54,120.50528717041016,843.3056104183197,475480,lsrosaDiag,10.10.158.167,843.3056104183197,7
0.18644765,400,578,1719602394,checkpoint_000007,True,False,8,3d152298,2024-06-28_21-19-54,119.97789669036865,963.2835071086884,475480,lsrosaDiag,10.10.158.167,963.2835071086884,8
0.18837968,450,578,1719602514,checkpoint_000008,True,False,9,3d152298,2024-06-28_21-21-54,120.46102142333984,1083.7445285320282,475480,lsrosaDiag,10.10.158.167,1083.7445285320282,9
0.18655656,500,578,1719602633,checkpoint_000009,True,False,10,3d152298,2024-06-28_21-23-53,118.91408967971802,1202.6586182117462,475480,lsrosaDiag,10.10.158.167,1202.6586182117462,10
0.18566212,550,578,1719602754,checkpoint_000010,True,False,11,3d152298,2024-06-28_21-25-54,120.59290671348572,1323.251524925232,475480,lsrosaDiag,10.10.158.167,1323.251524925232,11
0.18412891,600,578,1719602876,checkpoint_000011,True,False,12,3d152298,2024-06-28_21-27-56,122.70468640327454,1445.9562113285065,475480,lsrosaDiag,10.10.158.167,1445.9562113285065,12
0.18140502,650,578,1719602995,checkpoint_000012,True,False,13,3d152298,2024-06-28_21-29-55,118.78578281402588,1564.7419941425323,475480,lsrosaDiag,10.10.158.167,1564.7419941425323,13
0.18245146,700,578,1719603114,checkpoint_000013,True,False,14,3d152298,2024-06-28_21-31-54,118.28571820259094,1683.0277123451233,475480,lsrosaDiag,10.10.158.167,1683.0277123451233,14
0.18256599,750,578,1719603232,checkpoint_000014,True,False,15,3d152298,2024-06-28_21-33-52,118.97147488594055,1801.9991872310638,475480,lsrosaDiag,10.10.158.167,1801.9991872310638,15
0.18089324,800,578,1719603354,checkpoint_000015,True,False,16,3d152298,2024-06-28_21-35-54,121.46477437019348,1923.4639616012573,475480,lsrosaDiag,10.10.158.167,1923.4639616012573,16
0.18272544,850,578,1719603472,checkpoint_000016,True,False,17,3d152298,2024-06-28_21-37-52,117.73265528678894,2041.1966168880463,475480,lsrosaDiag,10.10.158.167,2041.1966168880463,17
0.18129751,900,578,1719603592,checkpoint_000017,True,False,18,3d152298,2024-06-28_21-39-52,120.00208163261414,2161.1986985206604,475480,lsrosaDiag,10.10.158.167,2161.1986985206604,18
0.1806452,950,578,1719603713,checkpoint_000018,True,False,19,3d152298,2024-06-28_21-41-53,121.08348107337952,2282.28217959404,475480,lsrosaDiag,10.10.158.167,2282.28217959404,19
0.18208449,1000,578,1719603832,checkpoint_000019,True,True,20,3d152298,2024-06-28_21-43-52,119.52691054344177,2401.8090901374817,475480,lsrosaDiag,10.10.158.167,2401.8090901374817,20
