loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.33778563,50,2930,1719586505,checkpoint_000000,True,False,1,7f4c8d92,2024-06-28_16-55-05,120.78571915626526,120.78571915626526,469760,lsrosaDiag,10.10.158.167,120.78571915626526,1
0.25337476,100,2930,1719586623,checkpoint_000001,True,False,2,7f4c8d92,2024-06-28_16-57-03,118.2672553062439,239.05297446250916,469760,lsrosaDiag,10.10.158.167,239.05297446250916,2
0.23086579,150,2930,1719586743,checkpoint_000002,True,False,3,7f4c8d92,2024-06-28_16-59-03,119.71745371818542,358.7704281806946,469760,lsrosaDiag,10.10.158.167,358.7704281806946,3
0.21800725,200,2930,1719586862,checkpoint_000003,True,False,4,7f4c8d92,2024-06-28_17-01-02,119.05991506576538,477.83034324645996,469760,lsrosaDiag,10.10.158.167,477.83034324645996,4
0.2135975,250,2930,1719586983,checkpoint_000004,True,False,5,7f4c8d92,2024-06-28_17-03-03,121.25225472450256,599.0825979709625,469760,lsrosaDiag,10.10.158.167,599.0825979709625,5
0.21112247,300,2930,1719587102,checkpoint_000005,True,False,6,7f4c8d92,2024-06-28_17-05-02,118.55527758598328,717.6378755569458,469760,lsrosaDiag,10.10.158.167,717.6378755569458,6
0.20347269,350,2930,1719587222,checkpoint_000006,True,False,7,7f4c8d92,2024-06-28_17-07-02,119.60106086730957,837.2389364242554,469760,lsrosaDiag,10.10.158.167,837.2389364242554,7
0.20247738,400,2930,1719587338,checkpoint_000007,True,False,8,7f4c8d92,2024-06-28_17-08-58,116.76612973213196,954.0050661563873,469760,lsrosaDiag,10.10.158.167,954.0050661563873,8
0.20083351,450,2930,1719587460,checkpoint_000008,True,False,9,7f4c8d92,2024-06-28_17-11-00,122.01306247711182,1076.0181286334991,469760,lsrosaDiag,10.10.158.167,1076.0181286334991,9
0.19506785,500,2930,1719587580,checkpoint_000009,True,False,10,7f4c8d92,2024-06-28_17-13-00,119.16611051559448,1195.1842391490936,469760,lsrosaDiag,10.10.158.167,1195.1842391490936,10
0.19496982,550,2930,1719587698,checkpoint_000010,True,False,11,7f4c8d92,2024-06-28_17-14-58,118.80173134803772,1313.9859704971313,469760,lsrosaDiag,10.10.158.167,1313.9859704971313,11
0.19371757,600,2930,1719587817,checkpoint_000011,True,False,12,7f4c8d92,2024-06-28_17-16-57,118.85591888427734,1432.8418893814087,469760,lsrosaDiag,10.10.158.167,1432.8418893814087,12
0.19438866,650,2930,1719587936,checkpoint_000012,True,False,13,7f4c8d92,2024-06-28_17-18-56,118.71075534820557,1551.5526447296143,469760,lsrosaDiag,10.10.158.167,1551.5526447296143,13
0.18776529,700,2930,1719588055,checkpoint_000013,True,False,14,7f4c8d92,2024-06-28_17-20-55,119.07130026817322,1670.6239449977875,469760,lsrosaDiag,10.10.158.167,1670.6239449977875,14
0.1883585,750,2930,1719588174,checkpoint_000014,True,False,15,7f4c8d92,2024-06-28_17-22-54,119.16350889205933,1789.7874538898468,469760,lsrosaDiag,10.10.158.167,1789.7874538898468,15
0.1874943,800,2930,1719588292,checkpoint_000015,True,False,16,7f4c8d92,2024-06-28_17-24-52,117.86863803863525,1907.656091928482,469760,lsrosaDiag,10.10.158.167,1907.656091928482,16
0.1889306,850,2930,1719588413,checkpoint_000016,True,False,17,7f4c8d92,2024-06-28_17-26-53,120.80117750167847,2028.4572694301605,469760,lsrosaDiag,10.10.158.167,2028.4572694301605,17
0.18196407,900,2930,1719588530,checkpoint_000017,True,False,18,7f4c8d92,2024-06-28_17-28-50,117.67481541633606,2146.1320848464966,469760,lsrosaDiag,10.10.158.167,2146.1320848464966,18
0.18515036,950,2930,1719588648,checkpoint_000018,True,False,19,7f4c8d92,2024-06-28_17-30-48,117.33702754974365,2263.4691123962402,469760,lsrosaDiag,10.10.158.167,2263.4691123962402,19
0.18362033,1000,2930,1719588767,checkpoint_000019,True,True,20,7f4c8d92,2024-06-28_17-32-47,119.34652018547058,2382.815632581711,469760,lsrosaDiag,10.10.158.167,2382.815632581711,20
