loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.42629296,50,1778,1719508421,checkpoint_000000,True,False,1,abb1cfea,2024-06-27_19-13-41,119.09036016464233,119.09036016464233,437878,lsrosaDiag,10.10.158.167,119.09036016464233,1
0.36811644,100,1778,1719508541,checkpoint_000001,True,False,2,abb1cfea,2024-06-27_19-15-41,120.46508049964905,239.55544066429138,437878,lsrosaDiag,10.10.158.167,239.55544066429138,2
0.3278263,150,1778,1719508659,checkpoint_000002,True,False,3,abb1cfea,2024-06-27_19-17-39,118.06924390792847,357.62468457221985,437878,lsrosaDiag,10.10.158.167,357.62468457221985,3
0.30191964,200,1778,1719508777,checkpoint_000003,True,False,4,abb1cfea,2024-06-27_19-19-37,117.53899192810059,475.16367650032043,437878,lsrosaDiag,10.10.158.167,475.16367650032043,4
0.2803194,250,1778,1719508898,checkpoint_000004,True,False,5,abb1cfea,2024-06-27_19-21-38,121.53654837608337,596.7002248764038,437878,lsrosaDiag,10.10.158.167,596.7002248764038,5
0.27014017,300,1778,1719509015,checkpoint_000005,True,False,6,abb1cfea,2024-06-27_19-23-35,116.93449544906616,713.63472032547,437878,lsrosaDiag,10.10.158.167,713.63472032547,6
0.25715762,350,1778,1719509135,checkpoint_000006,True,False,7,abb1cfea,2024-06-27_19-25-35,119.60882902145386,833.2435493469238,437878,lsrosaDiag,10.10.158.167,833.2435493469238,7
0.24809845,400,1778,1719509252,checkpoint_000007,True,False,8,abb1cfea,2024-06-27_19-27-32,117.4687442779541,950.7122936248779,437878,lsrosaDiag,10.10.158.167,950.7122936248779,8
0.24152799,450,1778,1719509371,checkpoint_000008,True,False,9,abb1cfea,2024-06-27_19-29-31,118.25101375579834,1068.9633073806763,437878,lsrosaDiag,10.10.158.167,1068.9633073806763,9
0.23576859,500,1778,1719509489,checkpoint_000009,True,False,10,abb1cfea,2024-06-27_19-31-29,118.20782542228699,1187.1711328029633,437878,lsrosaDiag,10.10.158.167,1187.1711328029633,10
0.23033087,550,1778,1719509609,checkpoint_000010,True,False,11,abb1cfea,2024-06-27_19-33-29,120.36292791366577,1307.534060716629,437878,lsrosaDiag,10.10.158.167,1307.534060716629,11
0.22622213,600,1778,1719509730,checkpoint_000011,True,False,12,abb1cfea,2024-06-27_19-35-30,120.51833176612854,1428.0523924827576,437878,lsrosaDiag,10.10.158.167,1428.0523924827576,12
0.22395054,650,1778,1719509848,checkpoint_000012,True,False,13,abb1cfea,2024-06-27_19-37-28,118.13711881637573,1546.1895112991333,437878,lsrosaDiag,10.10.158.167,1546.1895112991333,13
0.22184059,700,1778,1719509967,checkpoint_000013,True,False,14,abb1cfea,2024-06-27_19-39-27,119.3402738571167,1665.52978515625,437878,lsrosaDiag,10.10.158.167,1665.52978515625,14
0.21878381,750,1778,1719510086,checkpoint_000014,True,False,15,abb1cfea,2024-06-27_19-41-26,118.62796020507812,1784.1577453613281,437878,lsrosaDiag,10.10.158.167,1784.1577453613281,15
0.2166009,800,1778,1719510204,checkpoint_000015,True,False,16,abb1cfea,2024-06-27_19-43-24,118.47469782829285,1902.632443189621,437878,lsrosaDiag,10.10.158.167,1902.632443189621,16
0.21310921,850,1778,1719510325,checkpoint_000016,True,False,17,abb1cfea,2024-06-27_19-45-25,120.82488656044006,2023.457329750061,437878,lsrosaDiag,10.10.158.167,2023.457329750061,17
0.21356583,900,1778,1719510443,checkpoint_000017,True,False,18,abb1cfea,2024-06-27_19-47-23,118.40256261825562,2141.8598923683167,437878,lsrosaDiag,10.10.158.167,2141.8598923683167,18
0.21235633,950,1778,1719510559,checkpoint_000018,True,False,19,abb1cfea,2024-06-27_19-49-19,115.91996335983276,2257.7798557281494,437878,lsrosaDiag,10.10.158.167,2257.7798557281494,19
0.20820288,1000,1778,1719510679,checkpoint_000019,True,False,20,abb1cfea,2024-06-27_19-51-19,119.64236903190613,2377.4222247600555,437878,lsrosaDiag,10.10.158.167,2377.4222247600555,20
0.20837355,1050,1778,1719510799,checkpoint_000020,True,False,21,abb1cfea,2024-06-27_19-53-19,119.68314123153687,2497.1053659915924,437878,lsrosaDiag,10.10.158.167,2497.1053659915924,21
0.20628002,1100,1778,1719510918,checkpoint_000021,True,False,22,abb1cfea,2024-06-27_19-55-18,118.88637065887451,2615.991736650467,437878,lsrosaDiag,10.10.158.167,2615.991736650467,22
0.20239048,1150,1778,1719511034,checkpoint_000022,True,False,23,abb1cfea,2024-06-27_19-57-14,116.44875693321228,2732.440493583679,437878,lsrosaDiag,10.10.158.167,2732.440493583679,23
0.2046663,1200,1778,1719511153,checkpoint_000023,True,False,24,abb1cfea,2024-06-27_19-59-13,118.51732754707336,2850.9578211307526,437878,lsrosaDiag,10.10.158.167,2850.9578211307526,24
0.20430918,1250,1778,1719511274,checkpoint_000024,True,False,25,abb1cfea,2024-06-27_20-01-14,121.82875370979309,2972.7865748405457,437878,lsrosaDiag,10.10.158.167,2972.7865748405457,25
0.20236926,1300,1778,1719511393,checkpoint_000025,True,False,26,abb1cfea,2024-06-27_20-03-13,118.67039680480957,3091.456971645355,437878,lsrosaDiag,10.10.158.167,3091.456971645355,26
0.19933164,1350,1778,1719511514,checkpoint_000026,True,False,27,abb1cfea,2024-06-27_20-05-14,120.5755717754364,3212.0325434207916,437878,lsrosaDiag,10.10.158.167,3212.0325434207916,27
0.20207687,1400,1778,1719511631,checkpoint_000027,True,False,28,abb1cfea,2024-06-27_20-07-11,117.63092494010925,3329.663468360901,437878,lsrosaDiag,10.10.158.167,3329.663468360901,28
0.19789198,1450,1778,1719511750,checkpoint_000028,True,False,29,abb1cfea,2024-06-27_20-09-10,118.27294397354126,3447.936412334442,437878,lsrosaDiag,10.10.158.167,3447.936412334442,29
0.19864513,1500,1778,1719511866,checkpoint_000029,True,False,30,abb1cfea,2024-06-27_20-11-06,116.0336639881134,3563.9700763225555,437878,lsrosaDiag,10.10.158.167,3563.9700763225555,30
0.20194058,1550,1778,1719511986,checkpoint_000030,True,False,31,abb1cfea,2024-06-27_20-13-06,119.91402006149292,3683.8840963840485,437878,lsrosaDiag,10.10.158.167,3683.8840963840485,31
0.19430946,1600,1778,1719512105,checkpoint_000031,True,False,32,abb1cfea,2024-06-27_20-15-05,119.55536699295044,3803.439463376999,437878,lsrosaDiag,10.10.158.167,3803.439463376999,32
0.19463834,1650,1778,1719512223,checkpoint_000032,True,False,33,abb1cfea,2024-06-27_20-17-03,117.74850630760193,3921.187969684601,437878,lsrosaDiag,10.10.158.167,3921.187969684601,33
0.19724673,1700,1778,1719512340,checkpoint_000033,True,False,34,abb1cfea,2024-06-27_20-19-00,116.90365266799927,4038.0916223526,437878,lsrosaDiag,10.10.158.167,4038.0916223526,34
0.19603792,1750,1778,1719512458,checkpoint_000034,True,False,35,abb1cfea,2024-06-27_20-20-58,118.00817131996155,4156.099793672562,437878,lsrosaDiag,10.10.158.167,4156.099793672562,35
0.19579819,1800,1778,1719512576,checkpoint_000035,True,False,36,abb1cfea,2024-06-27_20-22-56,118.47491908073425,4274.574712753296,437878,lsrosaDiag,10.10.158.167,4274.574712753296,36
0.1950099,1850,1778,1719512696,checkpoint_000036,True,False,37,abb1cfea,2024-06-27_20-24-56,119.84146809577942,4394.416180849075,437878,lsrosaDiag,10.10.158.167,4394.416180849075,37
0.19686463,1900,1778,1719512813,checkpoint_000037,True,False,38,abb1cfea,2024-06-27_20-26-53,117.2384684085846,4511.65464925766,437878,lsrosaDiag,10.10.158.167,4511.65464925766,38
0.19179602,1950,1778,1719512930,checkpoint_000038,True,False,39,abb1cfea,2024-06-27_20-28-50,116.46047949790955,4628.1151287555695,437878,lsrosaDiag,10.10.158.167,4628.1151287555695,39
0.19356604,2000,1778,1719513049,checkpoint_000039,True,False,40,abb1cfea,2024-06-27_20-30-49,119.4366774559021,4747.551806211472,437878,lsrosaDiag,10.10.158.167,4747.551806211472,40
