loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.33463687,50,613,1719470020,checkpoint_000000,True,False,1,24671a86,2024-06-27_08-33-40,119.8486979007721,119.8486979007721,421584,lsrosaDiag,10.10.158.167,119.8486979007721,1
0.28611052,100,613,1719470137,checkpoint_000001,True,False,2,24671a86,2024-06-27_08-35-37,117.97087574005127,237.81957364082336,421584,lsrosaDiag,10.10.158.167,237.81957364082336,2
0.26606238,150,613,1719470260,checkpoint_000002,True,False,3,24671a86,2024-06-27_08-37-40,122.17370414733887,359.99327778816223,421584,lsrosaDiag,10.10.158.167,359.99327778816223,3
0.2459732,200,613,1719470377,checkpoint_000003,True,False,4,24671a86,2024-06-27_08-39-37,117.69081425666809,477.6840920448303,421584,lsrosaDiag,10.10.158.167,477.6840920448303,4
0.23387507,250,613,1719470496,checkpoint_000004,True,False,5,24671a86,2024-06-27_08-41-36,118.16722011566162,595.851312160492,421584,lsrosaDiag,10.10.158.167,595.851312160492,5
0.22891057,300,613,1719470616,checkpoint_000005,True,False,6,24671a86,2024-06-27_08-43-36,120.23240208625793,716.0837142467499,421584,lsrosaDiag,10.10.158.167,716.0837142467499,6
0.22425663,350,613,1719470734,checkpoint_000006,True,False,7,24671a86,2024-06-27_08-45-34,118.16454768180847,834.2482619285583,421584,lsrosaDiag,10.10.158.167,834.2482619285583,7
0.21640027,400,613,1719470852,checkpoint_000007,True,False,8,24671a86,2024-06-27_08-47-32,118.26670670509338,952.5149686336517,421584,lsrosaDiag,10.10.158.167,952.5149686336517,8
0.21245208,450,613,1719470972,checkpoint_000008,True,False,9,24671a86,2024-06-27_08-49-32,120.24323201179504,1072.7582006454468,421584,lsrosaDiag,10.10.158.167,1072.7582006454468,9
0.21382084,500,613,1719471092,checkpoint_000009,True,False,10,24671a86,2024-06-27_08-51-32,119.44512248039246,1192.2033231258392,421584,lsrosaDiag,10.10.158.167,1192.2033231258392,10
0.20979917,550,613,1719471210,checkpoint_000010,True,False,11,24671a86,2024-06-27_08-53-30,118.38252639770508,1310.5858495235443,421584,lsrosaDiag,10.10.158.167,1310.5858495235443,11
0.21038604,600,613,1719471331,checkpoint_000011,True,False,12,24671a86,2024-06-27_08-55-31,120.9642071723938,1431.550056695938,421584,lsrosaDiag,10.10.158.167,1431.550056695938,12
0.21067488,650,613,1719471450,checkpoint_000012,True,False,13,24671a86,2024-06-27_08-57-30,118.71203422546387,1550.262090921402,421584,lsrosaDiag,10.10.158.167,1550.262090921402,13
0.20938723,700,613,1719471567,checkpoint_000013,True,False,14,24671a86,2024-06-27_08-59-27,116.77076363563538,1667.0328545570374,421584,lsrosaDiag,10.10.158.167,1667.0328545570374,14
0.2091445,750,613,1719471685,checkpoint_000014,True,False,15,24671a86,2024-06-27_09-01-25,118.03967928886414,1785.0725338459015,421584,lsrosaDiag,10.10.158.167,1785.0725338459015,15
0.20803194,800,613,1719471804,checkpoint_000015,True,False,16,24671a86,2024-06-27_09-03-24,118.7219614982605,1903.794495344162,421584,lsrosaDiag,10.10.158.167,1903.794495344162,16
0.20657687,850,613,1719471926,checkpoint_000016,True,False,17,24671a86,2024-06-27_09-05-26,122.01538372039795,2025.80987906456,421584,lsrosaDiag,10.10.158.167,2025.80987906456,17
0.20403388,900,613,1719472044,checkpoint_000017,True,False,18,24671a86,2024-06-27_09-07-24,118.86854004859924,2144.678419113159,421584,lsrosaDiag,10.10.158.167,2144.678419113159,18
0.20456433,950,613,1719472163,checkpoint_000018,True,False,19,24671a86,2024-06-27_09-09-23,118.2826337814331,2262.9610528945923,421584,lsrosaDiag,10.10.158.167,2262.9610528945923,19
0.20294559,1000,613,1719472282,checkpoint_000019,True,True,20,24671a86,2024-06-27_09-11-22,119.24571943283081,2382.206772327423,421584,lsrosaDiag,10.10.158.167,2382.206772327423,20
