loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.28614533,50,613,1719480837,checkpoint_000000,True,False,1,4f197c6b,2024-06-27_11-33-57,121.3188943862915,121.3188943862915,425811,lsrosaDiag,10.10.158.167,121.3188943862915,1
0.24653089,100,613,1719480959,checkpoint_000001,True,False,2,4f197c6b,2024-06-27_11-35-59,121.96521306037903,243.28410744667053,425811,lsrosaDiag,10.10.158.167,243.28410744667053,2
0.23031457,150,613,1719481079,checkpoint_000002,True,False,3,4f197c6b,2024-06-27_11-37-59,120.21297526359558,363.4970827102661,425811,lsrosaDiag,10.10.158.167,363.4970827102661,3
0.22292247,200,613,1719481199,checkpoint_000003,True,False,4,4f197c6b,2024-06-27_11-39-59,120.1483461856842,483.6454288959503,425811,lsrosaDiag,10.10.158.167,483.6454288959503,4
0.2131896,250,613,1719481321,checkpoint_000004,True,False,5,4f197c6b,2024-06-27_11-42-01,121.68756318092346,605.3329920768738,425811,lsrosaDiag,10.10.158.167,605.3329920768738,5
0.21064273,300,613,1719481440,checkpoint_000005,True,False,6,4f197c6b,2024-06-27_11-44-00,118.81831073760986,724.1513028144836,425811,lsrosaDiag,10.10.158.167,724.1513028144836,6
0.20684823,350,613,1719481560,checkpoint_000006,True,False,7,4f197c6b,2024-06-27_11-46-00,119.61638474464417,843.7676875591278,425811,lsrosaDiag,10.10.158.167,843.7676875591278,7
0.20573017,400,613,1719481682,checkpoint_000007,True,False,8,4f197c6b,2024-06-27_11-48-02,122.10210824012756,965.8697957992554,425811,lsrosaDiag,10.10.158.167,965.8697957992554,8
0.20481816,450,613,1719481801,checkpoint_000008,True,False,9,4f197c6b,2024-06-27_11-50-01,119.87644481658936,1085.7462406158447,425811,lsrosaDiag,10.10.158.167,1085.7462406158447,9
0.20612621,500,613,1719481922,checkpoint_000009,True,False,10,4f197c6b,2024-06-27_11-52-02,120.29593825340271,1206.0421788692474,425811,lsrosaDiag,10.10.158.167,1206.0421788692474,10
0.20379548,550,613,1719482044,checkpoint_000010,True,False,11,4f197c6b,2024-06-27_11-54-04,121.98247504234314,1328.0246539115906,425811,lsrosaDiag,10.10.158.167,1328.0246539115906,11
0.20336051,600,613,1719482163,checkpoint_000011,True,False,12,4f197c6b,2024-06-27_11-56-03,119.17057371139526,1447.1952276229858,425811,lsrosaDiag,10.10.158.167,1447.1952276229858,12
0.20331895,650,613,1719482285,checkpoint_000012,True,False,13,4f197c6b,2024-06-27_11-58-05,122.26803636550903,1569.4632639884949,425811,lsrosaDiag,10.10.158.167,1569.4632639884949,13
0.19820951,700,613,1719482408,checkpoint_000013,True,False,14,4f197c6b,2024-06-27_12-00-08,122.38678073883057,1691.8500447273254,425811,lsrosaDiag,10.10.158.167,1691.8500447273254,14
0.20167053,750,613,1719482528,checkpoint_000014,True,False,15,4f197c6b,2024-06-27_12-02-08,120.69064474105835,1812.5406894683838,425811,lsrosaDiag,10.10.158.167,1812.5406894683838,15
0.20498006,800,613,1719482653,checkpoint_000015,True,False,16,4f197c6b,2024-06-27_12-04-13,125.10486578941345,1937.6455552577972,425811,lsrosaDiag,10.10.158.167,1937.6455552577972,16
0.20076057,850,613,1719482773,checkpoint_000016,True,False,17,4f197c6b,2024-06-27_12-06-13,119.74772715568542,2057.3932824134827,425811,lsrosaDiag,10.10.158.167,2057.3932824134827,17
0.20041975,900,613,1719482895,checkpoint_000017,True,False,18,4f197c6b,2024-06-27_12-08-15,121.45509052276611,2178.848372936249,425811,lsrosaDiag,10.10.158.167,2178.848372936249,18
0.19902728,950,613,1719483015,checkpoint_000018,True,False,19,4f197c6b,2024-06-27_12-10-15,120.31889486312866,2299.1672677993774,425811,lsrosaDiag,10.10.158.167,2299.1672677993774,19
0.19949146,1000,613,1719483134,checkpoint_000019,True,False,20,4f197c6b,2024-06-27_12-12-14,119.48238444328308,2418.6496522426605,425811,lsrosaDiag,10.10.158.167,2418.6496522426605,20
0.20216194,1050,613,1719483259,checkpoint_000020,True,False,21,4f197c6b,2024-06-27_12-14-19,124.50375413894653,2543.153406381607,425811,lsrosaDiag,10.10.158.167,2543.153406381607,21
0.20220578,1100,613,1719483378,checkpoint_000021,True,False,22,4f197c6b,2024-06-27_12-16-18,118.70863056182861,2661.8620369434357,425811,lsrosaDiag,10.10.158.167,2661.8620369434357,22
0.19886456,1150,613,1719483500,checkpoint_000022,True,False,23,4f197c6b,2024-06-27_12-18-20,122.55183863639832,2784.413875579834,425811,lsrosaDiag,10.10.158.167,2784.413875579834,23
0.19960469,1200,613,1719483621,checkpoint_000023,True,False,24,4f197c6b,2024-06-27_12-20-21,121.01818442344666,2905.4320600032806,425811,lsrosaDiag,10.10.158.167,2905.4320600032806,24
0.20020223,1250,613,1719483741,checkpoint_000024,True,False,25,4f197c6b,2024-06-27_12-22-21,120.12729930877686,3025.5593593120575,425811,lsrosaDiag,10.10.158.167,3025.5593593120575,25
0.19745609,1300,613,1719483863,checkpoint_000025,True,False,26,4f197c6b,2024-06-27_12-24-23,121.39511108398438,3146.954470396042,425811,lsrosaDiag,10.10.158.167,3146.954470396042,26
0.19747399,1350,613,1719483983,checkpoint_000026,True,False,27,4f197c6b,2024-06-27_12-26-23,120.46779012680054,3267.4222605228424,425811,lsrosaDiag,10.10.158.167,3267.4222605228424,27
0.20027289,1400,613,1719484104,checkpoint_000027,True,False,28,4f197c6b,2024-06-27_12-28-24,120.78275656700134,3388.2050170898438,425811,lsrosaDiag,10.10.158.167,3388.2050170898438,28
0.19716704,1450,613,1719484224,checkpoint_000028,True,False,29,4f197c6b,2024-06-27_12-30-24,120.14374160766602,3508.3487586975098,425811,lsrosaDiag,10.10.158.167,3508.3487586975098,29
0.20035085,1500,613,1719484343,checkpoint_000029,True,False,30,4f197c6b,2024-06-27_12-32-23,118.96367692947388,3627.3124356269836,425811,lsrosaDiag,10.10.158.167,3627.3124356269836,30
0.19961269,1550,613,1719484467,checkpoint_000030,True,False,31,4f197c6b,2024-06-27_12-34-27,123.50294828414917,3750.815383911133,425811,lsrosaDiag,10.10.158.167,3750.815383911133,31
0.19683076,1600,613,1719484587,checkpoint_000031,True,False,32,4f197c6b,2024-06-27_12-36-27,120.27576923370361,3871.0911531448364,425811,lsrosaDiag,10.10.158.167,3871.0911531448364,32
0.1996573,1650,613,1719484706,checkpoint_000032,True,False,33,4f197c6b,2024-06-27_12-38-26,118.7696442604065,3989.860797405243,425811,lsrosaDiag,10.10.158.167,3989.860797405243,33
0.2007974,1700,613,1719484830,checkpoint_000033,True,False,34,4f197c6b,2024-06-27_12-40-30,124.60305500030518,4114.463852405548,425811,lsrosaDiag,10.10.158.167,4114.463852405548,34
0.1986738,1750,613,1719484948,checkpoint_000034,True,False,35,4f197c6b,2024-06-27_12-42-28,118.00637221336365,4232.470224618912,425811,lsrosaDiag,10.10.158.167,4232.470224618912,35
0.19638547,1800,613,1719485071,checkpoint_000035,True,False,36,4f197c6b,2024-06-27_12-44-31,122.6868908405304,4355.157115459442,425811,lsrosaDiag,10.10.158.167,4355.157115459442,36
0.1963234,1850,613,1719485191,checkpoint_000036,True,False,37,4f197c6b,2024-06-27_12-46-31,119.49356079101562,4474.650676250458,425811,lsrosaDiag,10.10.158.167,4474.650676250458,37
0.19766532,1900,613,1719485311,checkpoint_000037,True,False,38,4f197c6b,2024-06-27_12-48-31,120.33897471427917,4594.989650964737,425811,lsrosaDiag,10.10.158.167,4594.989650964737,38
0.19752505,1950,613,1719485434,checkpoint_000038,True,False,39,4f197c6b,2024-06-27_12-50-34,123.2947347164154,4718.284385681152,425811,lsrosaDiag,10.10.158.167,4718.284385681152,39
0.20022924,2000,613,1719485553,checkpoint_000039,True,False,40,4f197c6b,2024-06-27_12-52-33,119.04274702072144,4837.327132701874,425811,lsrosaDiag,10.10.158.167,4837.327132701874,40
