loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.3822732,50,6229,1719473618,checkpoint_000000,True,False,1,5d45c155,2024-06-27_09-33-38,120.14380025863647,120.14380025863647,423113,lsrosaDiag,10.10.158.167,120.14380025863647,1
0.3124878,100,6229,1719473739,checkpoint_000001,True,False,2,5d45c155,2024-06-27_09-35-39,121.82738327980042,241.9711835384369,423113,lsrosaDiag,10.10.158.167,241.9711835384369,2
0.28047663,150,6229,1719473859,checkpoint_000002,True,False,3,5d45c155,2024-06-27_09-37-39,120.00543212890625,361.97661566734314,423113,lsrosaDiag,10.10.158.167,361.97661566734314,3
0.26281345,200,6229,1719473980,checkpoint_000003,True,False,4,5d45c155,2024-06-27_09-39-40,120.26563549041748,482.2422511577606,423113,lsrosaDiag,10.10.158.167,482.2422511577606,4
0.25094986,250,6229,1719474100,checkpoint_000004,True,False,5,5d45c155,2024-06-27_09-41-40,119.85008716583252,602.0923383235931,423113,lsrosaDiag,10.10.158.167,602.0923383235931,5
0.2480259,300,6229,1719474219,checkpoint_000005,True,False,6,5d45c155,2024-06-27_09-43-39,119.29882884025574,721.3911671638489,423113,lsrosaDiag,10.10.158.167,721.3911671638489,6
0.23919313,350,6229,1719474339,checkpoint_000006,True,False,7,5d45c155,2024-06-27_09-45-39,120.10568928718567,841.4968564510345,423113,lsrosaDiag,10.10.158.167,841.4968564510345,7
0.23207316,400,6229,1719474458,checkpoint_000007,True,False,8,5d45c155,2024-06-27_09-47-38,118.54036331176758,960.0372197628021,423113,lsrosaDiag,10.10.158.167,960.0372197628021,8
0.23148577,450,6229,1719474578,checkpoint_000008,True,False,9,5d45c155,2024-06-27_09-49-38,120.79504442214966,1080.8322641849518,423113,lsrosaDiag,10.10.158.167,1080.8322641849518,9
0.2246546,500,6229,1719474699,checkpoint_000009,True,False,10,5d45c155,2024-06-27_09-51-39,120.85039234161377,1201.6826565265656,423113,lsrosaDiag,10.10.158.167,1201.6826565265656,10
0.22505908,550,6229,1719474818,checkpoint_000010,True,False,11,5d45c155,2024-06-27_09-53-38,118.59422135353088,1320.2768778800964,423113,lsrosaDiag,10.10.158.167,1320.2768778800964,11
0.22571786,600,6229,1719474940,checkpoint_000011,True,False,12,5d45c155,2024-06-27_09-55-40,122.10766649246216,1442.3845443725586,423113,lsrosaDiag,10.10.158.167,1442.3845443725586,12
0.22213788,650,6229,1719475059,checkpoint_000012,True,False,13,5d45c155,2024-06-27_09-57-39,119.1757481098175,1561.560292482376,423113,lsrosaDiag,10.10.158.167,1561.560292482376,13
0.22127998,700,6229,1719475179,checkpoint_000013,True,False,14,5d45c155,2024-06-27_09-59-39,120.40210437774658,1681.9623968601227,423113,lsrosaDiag,10.10.158.167,1681.9623968601227,14
0.22117993,750,6229,1719475301,checkpoint_000014,True,False,15,5d45c155,2024-06-27_10-01-41,121.87095284461975,1803.8333497047424,423113,lsrosaDiag,10.10.158.167,1803.8333497047424,15
0.2173496,800,6229,1719475421,checkpoint_000015,True,False,16,5d45c155,2024-06-27_10-03-41,119.93062210083008,1923.7639718055725,423113,lsrosaDiag,10.10.158.167,1923.7639718055725,16
0.21571502,850,6229,1719475542,checkpoint_000016,True,False,17,5d45c155,2024-06-27_10-05-42,120.27839970588684,2044.0423715114594,423113,lsrosaDiag,10.10.158.167,2044.0423715114594,17
0.21479216,900,6229,1719475662,checkpoint_000017,True,False,18,5d45c155,2024-06-27_10-07-42,120.46112966537476,2164.503501176834,423113,lsrosaDiag,10.10.158.167,2164.503501176834,18
0.21699741,950,6229,1719475783,checkpoint_000018,True,False,19,5d45c155,2024-06-27_10-09-43,120.54442882537842,2285.0479300022125,423113,lsrosaDiag,10.10.158.167,2285.0479300022125,19
0.21345799,1000,6229,1719475902,checkpoint_000019,True,True,20,5d45c155,2024-06-27_10-11-42,119.42568683624268,2404.473616838455,423113,lsrosaDiag,10.10.158.167,2404.473616838455,20
